Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	MSI level	Comment	Mannually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3
0	5.703	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.58	190715_Poo_TruePooFK180310_Full3	60.04518:1167030 61.04853:426495 62.05189:3123042		44146	87104	100001	1167030
1	9.734	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.2	190715_Poo_TruePooFK180310_Full3	60.04518:725537 61.04853:377151 62.05189:5559226		44248	75631	63758	725537
2	20.098	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.15	190715_Poo_TruePooFK180310_Full3	60.04518:1579407 61.04853:487592 62.05189:1984809		159740	134636	202540	1579407
3	0.185	60.0452	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.99	190715_Poo_TruePooFK180310_Full3	60.0452:489248 61.04855:309261 62.05191:1197852		54959	244676	135219	489248
4	18.127	60.05643	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.32	190715_Poo_TruePooFK180310_Full3	60.05643:94305 61.05978:88860 62.06314:2482948		47998	32961	56905	94305
5	10.132	60.05815	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.07	190715_Blk_KM1906U14-Blk_C	60.05815:80906 61.0615:0 62.06486:1343981		80906	56635	67091	79387
6	9.329	60.05817	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	21.69	190715_Poo_TruePooFK180310_Full2	60.05817:276791 61.06152:45748 62.06488:324095		20011	274215	276791	312558
7	20.976	60.06446	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.23	190715_Poo_TruePooFK180310_Full1	60.06446:63789 61.06781:0 62.07117:1933134		28547	63789	23190	80445
8	11.253	60.06454	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.67	190715_Poo_TruePooFK180310_Full2	60.06454:154941 61.06789:0 62.07125:1300347		128760	120448	154941	267688
9	0.223	60.06454	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.66	190715_Poo_TruePooFK180310_Full3	60.06454:80031 61.06789:0 62.07125:1086408		13282	35901	70363	80031
