"","Metabolite.Name","Run.Type","Blk.min","Blk.max"
"1","4-Hydroxyisoleucine","blk",719930,719930
"2","Acetyl-L-carnitine","blk",16412541,16412541
"3","Adenine","blk",13612290,13612290
"4","Adenosine","blk",40765,40765
"5","Adenosine Monophosphate, 15N5","blk",10909724,10909724
"6","Allopurinol","blk",111664,111664
"7","Aminobutyric Acid","blk",26525432,26525432
"8","AMP","blk",0,0
"9","Arginine","blk",2122699,2122699
"10","Asparagine","blk",834329,834329
"11","Aspartic acid","blk",15430,15430
"12","beta-Alanine","blk",2047141,2047141
"13","Betaine","blk",2992218,2992218
"14","Betonicine","blk",754688,754688
"15","Choline","blk",13155,13155
"16","Citrulline","blk",801130,801130
"17","Creatine","blk",4954034,4954034
"18","Cystathionine","blk",0,0
"19","Cystine","blk",2353111,2353111
"20","Cytidine","blk",0,0
"21","Cytosine","blk",1415822,1415822
"22","Deoxyadenosine","blk",715025,715025
"23","DHPS","blk",0,0
"24","DL-Alanine, D3","blk",17191784,17191784
"25","DL-Histidine, 15N","blk",31089340,31089340
"26","DL-Proline, D7","blk",40440088,40440088
"27","DL-Valine, D8","blk",15189689,15189689
"28","DMSP","blk",56006532,56006532
"29","Ectoine","blk",1300111,1300111
"30","Fumaric Acid","blk",4577218,4577218
"31","Glucosamine","blk",298761,298761
"32","Glucosylglycerol","blk",613027,613027
"33","Glutamic acid","blk",5606890,5606890
"34","Glutamine","blk",15327696,15327696
"35","glycerol 3 phosphate","blk",2762717,2762717
"36","Guanine","blk",136241,136241
"37","Guanosine","blk",0,20197
"38","Guanosine Monophosphate, 15N5","blk",973273,973273
"39","Histidine","blk",3143753,3143753
"40","Homoserine","blk",101164,101164
"41","Hordenine","blk",3621089,3621089
"42","Hydroxylysine","blk",938038,938038
"43","Inosine","blk",18425,49463
"44","Isethionic Acid","blk",5864015,5864015
"45","Isethionic Acid, 13C2","blk",8678792,8678792
"46","L-Isoleucine, 15N","blk",13975086,13975086
"47","L-Pyroglutamic acid","blk",8151292,8151292
"48","Lysine","blk",184957,184957
"49","Melamine","blk",60644736,60644736
"50","Methionine","blk",148205,148205
"51","Methylphosphonic Acid","blk",34141628,34141628
"52","N(e)-Acetyl-Lysine","blk",138797,138797
"53","Oxalic Acid","blk",0,0
"54","Propionyl-L-carnitine","blk",483507,483507
"55","Salicylic Acid","blk",7246808,7246808
"56","Serine","blk",2568340,2568340
"57","Shikimic Acid","blk",469318,469318
"58","Succinic Acid","blk",4727158,4727158
"59","Succinic Acid, D4","blk",36154664,36154664
"60","Sulfanilic Acid","blk",0,0
"61","Sulfolactic Acid, 13C3","blk",2983624,2983624
"62","Taurine","blk",2076496,2076496
"63","Thymine","blk",1178410,1178410
"64","Turicine","blk",1290274,1290274
"65","Tyrosine","blk",421821,421821
"66","Uridine","blk",42583,42583
"67","Vitamin B3","blk",83721272,83721272
