																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_QC-KM1906_D	190715_Poo_QC-KM1906_E	190715_Poo_QC-KM1906_F	190715_Poo_TruePooFK180310_DDApos20	190715_Poo_TruePooFK180310_DDApos35	190715_Poo_TruePooFK180310_DDApos50	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3	190715_Poo_TruePooFK180310_Fullpos60	190715_Poo_TruePooFK180310_Fullpos120	190715_Poo_TruePooFK180310_Fullpos240	190715_Poo_TruePooFK180310_Half1	190715_Poo_TruePooFK180310_Half2	190715_Poo_TruePooFK180310_Half3	190715_Smp_FK180310S62C1-25m_A	190715_Smp_FK180310S62C1-25m_B	190715_Smp_FK180310S62C1-25m_C	190715_Smp_FK180310S62C1-DCM_A	190715_Smp_FK180310S62C1-DCM_B	190715_Smp_FK180310S62C1-DCM_C	190715_Smp_FK180310S64C1-25m_A	190715_Smp_FK180310S64C1-25m_B	190715_Smp_FK180310S64C1-25m_C	190715_Smp_FK180310S64C1-DCM_A	190715_Smp_FK180310S64C1-DCM_B	190715_Smp_FK180310S64C1-DCM_C	190715_Smp_FK180310S77C1-25m_A	190715_Smp_FK180310S77C1-25m_B	190715_Smp_FK180310S77C1-25m_C	190715_Smp_FK180310S77C1-DCM_A	190715_Smp_FK180310S77C1-DCM_B	190715_Smp_FK180310S77C1-DCM_C	190715_Smp_FK180310S80C1-25m_A	190715_Smp_FK180310S80C1-25m_B	190715_Smp_FK180310S80C1-25m_C	190715_Smp_FK180310S80C1-DCM_A	190715_Smp_FK180310S80C1-DCM_B	190715_Smp_FK180310S80C1-DCM_C	190715_Std_4uMStdsMix1InH2O_1	190715_Std_4uMStdsMix1InH2O_2	190715_Std_4uMStdsMix1InMatrix_1	190715_Std_4uMStdsMix1InMatrix_2	190715_Std_4uMStdsMix2InH2O_1	190715_Std_4uMStdsMix2InH2O_2	190715_Std_4uMStdsMix2InMatrix_1	190715_Std_4uMStdsMix2InMatrix_2	190715_Std_H2OinMatrix_1	190715_Std_H2OinMatrix_2	1	1
0	7.258	80.13167	Unknown	[M+H]+		0.82	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	96.57	190715_Smp_FK180310S62C1-DCM_B	80.13167:442453 81.13502:21328 82.13838:0		5997998	5251362	5865350	6983802	388898	240541	209566	6492594	4517400	5466612	74432	259432	3014354	2869558	2097426	2487243	5583168	6651170	5804221	6843244	9474042	6431094	7192634	5542782	5358502	5533164	6164316	7222365	5379916	4260475	5335445	6612372	5682978	6394848	5812380	7071776	5796193	4764478	5966637	5086358	0	0	3637246	2769173	11304	13306	3655707	2771327	3853278	2937431	4356597.91429687	2461362.09006467
1	9.701	80.94845	Unknown	[M+H]+		0.26	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	90.04	190715_Smp_FK180310S77C1-25m_C	80.94845:4646072 81.9518:0 82.95516:6462527		38614	53597	95574	13386	57160	66640	117767	56967	2099938	187212	37418	56083	45763	104714	3701048	71523	57188	188499	164712	249659	477730	6514309	212208	3604528	909180	491493	3007546	269851	156249	2581663	16954584	50378	1653462	37105	743935	60482	85530	180243	18026	185815	0	0	223846	22666	0	21191	1343364	73047	76561	201170	952392.503574219	2627531.47683616
2	10.317	84.01188	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.88	190715_Std_H2OinMatrix_2	84.01188:724658 85.01523:0 86.01859:0		8237853	11847262	2679730	1715562	648240	276859	241601	2947694	3851484	1538026	250150	149400	836668	4763410	4465352	1331358	3158496	595251	1511069	1623418	648286	1898877	757626	808979	2023191	4807980	1491228	852065	1377323	2939132	3016556	685456	838534	1562905	1527724	2626639	2392033	3072382	500037	1563146	5771440	14277212	8145312	3003376	3383986	5827926	3832506	5112998	9091562	6103080	3052167.62125	3009698.47036066
3	13.236	84.01189	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.9	190715_Std_4uMStdsMix1InH2O_2	84.01189:664509 85.01524:19545 86.0186:0		3386949	6082645	881747	306048	192151	186537	98528	1449702	1439374	314868	53128	113380	213156	1754907	727340	673322	1616003	543405	3229616	181538	231074	288646	211517	274101	1394585	4220498	2590638	263621	400275	669095	654917	238786	225439	1243593	591447	755088	3804272	970236	286135	5386202	5498040	4622849	3638014	4573534	5525639	6386176	8062480	7805891	3613580	8682117	2131056.63429687	2434746.22605458
4	10.795	84.04496	Unknown	[M+H]+	found in higher mz's MsMs_243	0.8	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23.86	190715_Std_4uMStdsMix1InMatrix_1	84.04496:2493002 85.04831:294430 86.05167:207219		6045548	30189774	25045886	30299200	1998534	2477322	2073188	11695062	9627028	12438427	766514	3114630	5142082	11518095	5534157	7533000	14869814	14432115	12915681	10884341	23999576	13078804	15236485	13173030	9593479	10231075	8930764	11021641	12234374	6451286	8602377	12345835	10798312	12336942	5524694	11867795	10689762	6653566	13710543	14248202	15367808	12996968	36080208	27361202	795794	1498053	23133136	20451078	24956382	18893550	12617262.415	8148158.9576979
5	10.17	84.04503	Unknown	[M+H]+	adduct linked to 45_[M+NH4]+	0.78	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	32.54	190715_Smp_FK180310S62C1-25m_A	84.04503:2368059 85.04838:278247 86.05174:90251		989418	20250046	36194096	39787308	5379153	2916664	3436645	16963406	15652900	18341854	381458	4090392	9279500	1488261	9551827	13652774	42665248	33207982	41176264	8552282	17735974	10186491	19689428	19513214	21793992	6148828	9564312	8896789	22863478	19455944	21998014	9996973	7900528	8736288	17654140	24917196	21379620	516280	9407443	9272146	15816686	1136726	27426216	803539	776692	803388	3136149	14058769	17128668	13216938	14117766.498125	11130990.4698246
6	6.953	85.02898	Unknown	[M+H]+		0.26	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	18.13	190715_Std_4uMStdsMix2InH2O_1	85.02898:1033400 86.03233:51047 87.03569:1330204		333113	2059740	2192375	2669089	101395	153716	77862	918490	1017109	792520	134650	158215	151773	233693	334753	958494	2268935	887022	901426	457776	370651	422643	1730010	1663363	354355	464814	467307	476358	759315	327562	1205786	411081	389604	453550	681501	802055	1412656	462143	714652	273470	9107147	18827250	15008902	18724918	18498722	5029510	14867958	6584502	419561	263233	2759534.5321875	5160817.06493262
7	10.244	85.02904	Unknown	[M+H]+		0.4	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.6	190715_Std_4uMStdsMix2InH2O_2	85.02904:281164 86.03239:0 87.03575:644567		147391	2906562	186414	256641	38922	49574	51520	493579	269973	1292433	32863	80347	117387	104354	154136	204384	218557	276966	326225	247507	981960	257698	2548586	4198188	3283192	493976	301634	135558	618374	1029870	1828018	266742	386616	332899	1454935	4427462	1532303	316206	1246507	1032502	2583999	1191226	286295	142024	475916	3651454	2763970	1733551	3385848	1576581	1038396.5290625	1208635.63638294
8	8.768	85.07663	Unknown	[M+H]+		0.28	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.92	190715_Poo_TruePooFK180310_Fullpos60	85.07663:426520 86.07998:211599 87.08334:1003486		574845	526656	642337	216278	523248	690551	1386851	1496302	382350	429905	1236848	1207284	1016489	933421	774583	590815	1163234	365729	645969	371899	278576	251474	356889	1114458	366392	298600	713219	592280	514786	1315778	400375	307540	1145152	879172	669678	694205	807700	752366	268154	463452	396463	2992943	2008624	2733054	555322	192498	891132	203681	796158	347867	769671.7053125	580179.798289659
9	9.2	86.06058	Unknown	[M+H]+		0.3	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.02	190715_Std_4uMStdsMix1InMatrix_1	86.06058:204962 87.06393:248436 88.06729:725460		940475	953031	382671	393870	80811	145824	148927	1577226	296731	1725261	103004	129970	128564	1005172	361864	339514	485870	1131548	1575462	1738726	672856	499776	1350038	1636752	579557	1494052	1425647	508809	1322372	1216436	653824	392782	339068	482005	1247574	1692017	281508	1349315	295817	363622	2171518	962172	1310723	913686	859727	644955	1015895	492013	565972	777436	823248.85375	542855.047538121
10	10.395	86.06058	Unknown	[M+H]+	similar chromatogram in higher mz_517; similar chromatogram in higher mz_644	0.6	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	27.09	190715_Std_4uMStdsMix1InMatrix_1	86.06058:2355086 87.06393:2611594 88.06729:449014		716318	4534371	3470808	4921343	227807	413585	423902	1602688	3264156	3491931	214821	282384	982406	560977	2466577	909115	4143394	3748350	5858520	5155630	6423515	3862230	5696124	5557004	6287374	3888851	1434735	5035703	959228	4830361	6011107	5731938	2797212	1318068	4802053	3198575	2504782	636920	4205210	2758435	34358756	29741660	34255824	30376140	810946	770094	3697483	537688	3521066	1011540	5288194.0884375	8262135.85105902
11	5.95	86.09697	Unknown	[M+H]+		0.42	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	38.29	190715_Std_4uMStdsMix1InH2O_1	86.09697:1947711 87.10032:171829 88.10368:483797		1129965	9930911	8470611	9947625	502061	97555	158449	3641562	262525	305686	154076	165117	123495	101474	125913	331186	3459683	1967111	3073418	913652	7228596	1683645	408549	209062	1569211	144817	610872	2449009	765190	258384	3487200	367910	71227	2797808	270420	6084124	8596835	200114	197498	1629650	41264108	35407748	42413440	38204604	59366	45577	4859570	3823173	6850596	5252597	5241459.4928125	10559202.6790546
12	10.196	87.04456	Unknown	[M+H]+	adduct linked to 57_[M+NH4]+	0.84	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	32.46	190715_Std_4uMStdsMix2InMatrix_1	87.04456:2516755 88.04791:211731 89.05127:77958		398246	4817150	2691636	3170186	186788	88936	297580	2443733	2199721	3165896	159198	392203	899297	850865	1657486	1967328	2645560	2922545	3713468	2921130	5006944	3676705	3425970	3508094	3787637	1803599	2682732	3023919	1433657	3625943	3336632	3633554	2086764	2362486	2536766	1904066	1634850	844974	2448177	2676954	33649348	27633652	33201642	3046655	44293448	30683168	45588672	27527864	2109551	3552489	6886317.32296875	11670192.9322675
13	8.774	87.04462	Unknown	[M+H]+		0.52	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	32.38	190715_Std_4uMStdsMix2InH2O_2	87.04462:2587831 88.04797:175611 89.05133:64810		446303	241236	5249746	7468298	257406	443411	347170	1178118	1299850	1562316	122834	235559	188273	535861	1312268	937791	6437188	2764100	2028259	269013	1047302	576599	4306808	2404855	3401690	120258	523438	666885	324583	468271	651191	267155	122978	504284	1234524	1956216	2169148	202695	878940	761253	8191226	7943678	7637332	6396268	17856722	77435920	17162608	7662464	4545496	130633	4217528.35953125	11271737.156338
