"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49","NA.","NA..1"
"1",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","File type","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample",NA,NA
"2",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50",NA,NA
"3",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Average","Stdev"
"4",4,"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","190715_Blk_KM1906U14-Blk_C","190715_Poo_QC-KM1906_D","190715_Poo_QC-KM1906_E","190715_Poo_QC-KM1906_F","190715_Poo_TruePooFK180310_DDAneg20","190715_Poo_TruePooFK180310_DDAneg35","190715_Poo_TruePooFK180310_DDAneg50","190715_Poo_TruePooFK180310_Full1","190715_Poo_TruePooFK180310_Full2","190715_Poo_TruePooFK180310_Full3","190715_Poo_TruePooFK180310_Fullneg60","190715_Poo_TruePooFK180310_Fullneg120","190715_Poo_TruePooFK180310_Fullneg240","190715_Poo_TruePooFK180310_Half1","190715_Poo_TruePooFK180310_Half2","190715_Poo_TruePooFK180310_Half3","190715_Smp_FK180310S62C1-25m_A","190715_Smp_FK180310S62C1-25m_B","190715_Smp_FK180310S62C1-25m_C","190715_Smp_FK180310S62C1-DCM_A","190715_Smp_FK180310S62C1-DCM_B","190715_Smp_FK180310S62C1-DCM_C","190715_Smp_FK180310S64C1-25m_A","190715_Smp_FK180310S64C1-25m_B","190715_Smp_FK180310S64C1-25m_C","190715_Smp_FK180310S64C1-DCM_A","190715_Smp_FK180310S64C1-DCM_B","190715_Smp_FK180310S64C1-DCM_C","190715_Smp_FK180310S77C1-25m_A","190715_Smp_FK180310S77C1-25m_B","190715_Smp_FK180310S77C1-25m_C","190715_Smp_FK180310S77C1-DCM_A","190715_Smp_FK180310S77C1-DCM_B","190715_Smp_FK180310S77C1-DCM_C","190715_Smp_FK180310S80C1-25m_A","190715_Smp_FK180310S80C1-25m_B","190715_Smp_FK180310S80C1-25m_C","190715_Smp_FK180310S80C1-DCM_A","190715_Smp_FK180310S80C1-DCM_B","190715_Smp_FK180310S80C1-DCM_C","190715_Std_4uMStdsMix1InH2O_1","190715_Std_4uMStdsMix1InH2O_2","190715_Std_4uMStdsMix1InMatrix_1","190715_Std_4uMStdsMix1InMatrix_2","190715_Std_4uMStdsMix2InH2O_1","190715_Std_4uMStdsMix2InH2O_2","190715_Std_4uMStdsMix2InMatrix_1","190715_Std_4uMStdsMix2InMatrix_2","190715_Std_H2OinMatrix_1","190715_Std_H2OinMatrix_2","1","1"
"5",5,"0","13.374","79.95612","Unknown","[M-H]-","","0.96","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","185.56","190715_Poo_TruePooFK180310_DDAneg50","79.95622:6159947 80.95957:207618 81.96293:373792","50.17709:7215 55.12908:6338 56.22123:7002 59.91065:7112 67.47611:6502 79.95621:1409416","163329984","88695952","98874744","117182808","28678460","32389204","30815184","251198112","115025712","277951232","36906752","16355067","108729536","119328232","134074760","157186304","173058880","282908768","211004848","228046416","347521376","223583328","307503776","277902944","240040704","243515824","319057504","219164576","329944192","296917728","247961200","70571784","154747920","249341296","283525472","217829120","230244960","13860927","264103680","191745328","54028","0","62184448","50947144","852608","1217742","64872136","56366416","61709880","55708180","155094743.5125","106508354.540584"
"6",6,"1","19.726","80.01059","Unknown","[M-H]-","","0.24","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","57.51","190715_Poo_TruePooFK180310_DDAneg50","80.01061:3642071 81.01396:0 82.01732:828988","51.22599:6443 51.46507:7627 55.08298:6933 61.34069:7194 61.37937:6208 61.53903:6607 67.46432:7228 76.56756:6993","78839848","814486","2125101","2193802","988971","805346","25824834","1743910","1456148","1020261","582427","643389","596490","296172","1825991","1270198","1496595","2178740","2133817","103673816","75457728","2286444","109204816","102531336","62423464","113043600","31469938","3048322","88139080","46793348","69742472","1769986","1640905","3026641","2404168","1846869","60050132","107698104","1135610","1315532","1694562","1033457","1373077","502666","1429122","846082","1569825","534926","1640793","1189122","22547049.349375","37288317.2153349"
"7",7,"2","7.768","80.91563","Unknown","[M-H]-","","0.96","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","647.58","190715_Smp_FK180310S64C1-DCM_B","80.91563:93417416 81.91898:0 82.92234:0","","2243157248","1580772096","1391235968","1782093184","24876818","343684096","23023872","2841363968","2876435456","3600612608","26967166","457248832","1100099712","1940246272","1816155392","2249991424","2173739520","3436864512","2434099456","2472442368","3539145728","3030396416","3504169216","3014904576","2888083712","2693388800","3867522048","2807036416","4084126976","3617904896","168985760","1626393856","2638051072","3260427520","1250099072","2435698944","2549098752","3206223872","1146155008","2315017472","215830","736722","755572544","1135266688","67883408","78568056","1138908928","1180092672","1123510784","1152366464","1901821243.53","1220461091.6303"
"8",8,"3","9.712","80.91567","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.15","190715_Poo_TruePooFK180310_Fullneg120","80.91567:3287196 81.91902:0 82.92238:0","","1376348","397983","2916399","1512199","1059241","1587537","1219270","4191764","3680470","12417235","5233066","33557928","2644826","796075","3498152","3326386","1568079","11381626","2044396","2956377","5460122","6349626","13710086","10560506","6451889","3868816","11605696","9687821","5440697","5929968","3718912","2421940","3411432","14696255","12077523","7501882","4687754","3978659","10246118","4831319","160993","738221","618542","511142","301841","627464","1584842","604815","603252","388862","5002847.014375","5752430.86746892"
"9",9,"4","13.327","81.95194","Unknown","[M-H]-","similar chromatogram in higher mz_475","0.8","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8132.89","190715_Poo_TruePooFK180310_DDAneg20","81.95202:750908 82.95537:0 83.95873:0","50.4233:7075 56.52736:6686 62.76855:7476 67.14742:8312 75.00687:7152 81.95203:623155 81.96045:69665 82.02873:48419 82.0399:43932","5637766","0","5409798","5202570","2416298","1474136","2768742","11621521","9910506","12081873","812914","1114559","964659","3931331","7017880","5410336","4323482","8079910","8881006","7233732","19406784","7341280","4611164","15620562","9795255","7231931","13160753","7575842","12851866","10493885","9585849","6620512","5104966","8142288","10594118","4823440","13618648","7129400","10978706","8290560","0","0","1657295","1346826","0","0","1656389","3033106","3199061","3751372","6238297.53875","4582766.16899585"
"10",10,"5","3.913","82.953","Unknown","[M-H]-","","0.64","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3145.3","190715_Poo_TruePooFK180310_DDAneg50","82.953:3803242 83.95635:0 84.95971:1317158","50.96307:13348 55.16494:7926 56.00043:9085 66.95807:833443 68.00053:13190 76.73399:9411 82.91349:8493 82.95302:12126325 83.02395:528882 83.04906:18960","3668653","1953916","1573459","1999981","3144598","1987270","16689871","5494447","922498","3771815","968507","1439510","1418639","2750704","438555","1226352","310468","1483007","395467","1328239","38241280","2516247","56133784","48226","695833","367501","551277","2136663","2749213","1086140","1046120","11071131","268409","6746792","3570370","368189","2729234","2787054","3852924","4185585","87833","51572","780738","1474488","125660","66268","556471","948120","931495","248550","3987782.47226562","9533419.89664929"
"11",11,"6","3.754","84.95004","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4180.04","190715_Poo_TruePooFK180310_DDAneg50","84.95004:1307274 85.95339:0 86.95675:0","52.96024:15524 55.69277:7671 57.5937:8900 58.7117:8591 66.95821:7291 67.56465:7595 68.95514:252116 71.5498:7243 84.95008:4239522 85.02839:27368","1000992","54365","124639","197499","780043","871094","6084296","1501133","220982","419808","281158","616868","392772","408160","92215","54230","78773","167564","49765","69142","12456140","557709","21599918","0","0","0","0","839410","846512","118818","43794","2446592","0","1030971","1026737","69884","62522","265734","1215595","1209243","57387","0","0","177894","0","0","57929","0","149348","133116","1156615.05085937","3529843.90621053"
"12",12,"7","19.727","84.98954","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1002.02","190715_Poo_TruePooFK180310_DDAneg35","84.98952:787015 85.99287:0 86.99623:331194","52.34473:6736 56.78606:6796 61.03242:6405 74.23157:7176 81.97176:7209 83.39713:6567 85.02826:18665","202357","61991","143428","135891","714711","3082120","6960182","54377","4669852","324074","1082432","113549","418649","65060","55603","555804","61630","430565","60741","5776850","9579641","391898","24781022","8465834","9838342","11883194","19844684","475206","28886660","6419107","10330355","49139","166967","204257","135999","0","9165466","3949640","597003","125218","77354","84365","68333","61438","71764","62323","124294","46390","69990","61695","3419748.82304688","6425680.07504712"
