																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_QC-KM1906_D	190715_Poo_QC-KM1906_E	190715_Poo_QC-KM1906_F	190715_Poo_TruePooFK180310_DDApos20	190715_Poo_TruePooFK180310_DDApos35	190715_Poo_TruePooFK180310_DDApos50	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3	190715_Poo_TruePooFK180310_Fullpos60	190715_Poo_TruePooFK180310_Fullpos120	190715_Poo_TruePooFK180310_Fullpos240	190715_Poo_TruePooFK180310_Half1	190715_Poo_TruePooFK180310_Half2	190715_Poo_TruePooFK180310_Half3	190715_Smp_FK180310S62C1-25m_A	190715_Smp_FK180310S62C1-25m_B	190715_Smp_FK180310S62C1-25m_C	190715_Smp_FK180310S62C1-DCM_A	190715_Smp_FK180310S62C1-DCM_B	190715_Smp_FK180310S62C1-DCM_C	190715_Smp_FK180310S64C1-25m_A	190715_Smp_FK180310S64C1-25m_B	190715_Smp_FK180310S64C1-25m_C	190715_Smp_FK180310S64C1-DCM_A	190715_Smp_FK180310S64C1-DCM_B	190715_Smp_FK180310S64C1-DCM_C	190715_Smp_FK180310S77C1-25m_A	190715_Smp_FK180310S77C1-25m_B	190715_Smp_FK180310S77C1-25m_C	190715_Smp_FK180310S77C1-DCM_A	190715_Smp_FK180310S77C1-DCM_B	190715_Smp_FK180310S77C1-DCM_C	190715_Smp_FK180310S80C1-25m_A	190715_Smp_FK180310S80C1-25m_B	190715_Smp_FK180310S80C1-25m_C	190715_Smp_FK180310S80C1-DCM_A	190715_Smp_FK180310S80C1-DCM_B	190715_Smp_FK180310S80C1-DCM_C	190715_Std_4uMStdsMix1InH2O_1	190715_Std_4uMStdsMix1InH2O_2	190715_Std_4uMStdsMix1InMatrix_1	190715_Std_4uMStdsMix1InMatrix_2	190715_Std_4uMStdsMix2InH2O_1	190715_Std_4uMStdsMix2InH2O_2	190715_Std_4uMStdsMix2InMatrix_1	190715_Std_4uMStdsMix2InMatrix_2	190715_Std_H2OinMatrix_1	190715_Std_H2OinMatrix_2
0	7.258	80.13167	Unknown	[M+H]+		0.82	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	96.57	190715_Smp_FK180310S62C1-DCM_B	80.13167:442453 81.13502:21328 82.13838:0		80.13158	80.13161	80.13164	80.13163	80.13167	80.13167	80.13167	80.13164	80.13165	80.13165	80.13167	80.13167	80.13165	80.13168	80.13163	80.13165	80.13165	80.13163	80.13165	80.13168	80.13167	80.13161	80.13161	80.13164	80.13165	80.13168	80.13168	80.13163	80.1316	80.13162	80.13168	80.13165	80.13162	80.13157	80.13159	80.13165	80.13165	80.13166	80.13159	80.13166	80.13167	80.13167	80.13155	80.13159	80.13167	80.13167	80.13158	80.13159	80.13161	80.13159
1	9.701	80.94845	Unknown	[M+H]+		0.26	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	90.04	190715_Smp_FK180310S77C1-25m_C	80.94845:4646072 81.9518:0 82.95516:6462527		80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94851	80.94845	80.94849	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94842	80.94845	80.94852	80.94849	80.94852	80.94849	80.94845	80.94845	80.94849	80.94845	80.94845	80.94849	80.94845	80.94843	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94845	80.94841	80.94845	80.94845	80.94845
2	10.317	84.01188	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.88	190715_Std_H2OinMatrix_2	84.01188:724658 85.01523:0 86.01859:0		84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01196	84.01188	84.01188	84.01188	84.01188	84.01188	84.01196	84.01188	84.01188	84.01188	84.01188	84.01188	84.01198	84.01188	84.01188	84.01188	84.01195	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01188	84.01189	84.01188	84.01188	84.01188	84.01189	84.01189	84.01188	84.01188	84.01188	84.01188	84.01188	84.01187	84.01188
3	13.236	84.01189	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.9	190715_Std_4uMStdsMix1InH2O_2	84.01189:664509 85.01524:19545 86.0186:0		84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01191	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.012	84.0119	84.01189	84.01189	84.01189	84.01189	84.01189	84.01189	84.01185	84.01189	84.01189	84.01193	84.01189	84.01189	84.01194	84.01189	84.01189	84.01188	84.01189	84.01189	84.01189	84.01188	84.01189	84.01189	84.01189
4	10.795	84.04496	Unknown	[M+H]+	found in higher mz's MsMs_243	0.8	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23.86	190715_Std_4uMStdsMix1InMatrix_1	84.04496:2493002 85.04831:294430 86.05167:207219		84.04496	84.04495	84.04501	84.04504	84.04496	84.045	84.04496	84.04501	84.04505	84.04501	84.04496	84.04497	84.04501	84.04502	84.04496	84.04502	84.04506	84.04501	84.04498	84.0451	84.04505	84.04495	84.04499	84.04501	84.04502	84.04501	84.045	84.04496	84.04494	84.04496	84.04496	84.04501	84.04498	84.04494	84.04498	84.04503	84.04501	84.04496	84.04501	84.04501	84.04498	84.04498	84.04496	84.04499	84.04496	84.04496	84.04494	84.04497	84.04496	84.04499
