"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49"
"1",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","File type","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"2",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"3",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4",4,"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","190715_Blk_KM1906U14-Blk_C","190715_Poo_QC-KM1906_D","190715_Poo_QC-KM1906_E","190715_Poo_QC-KM1906_F","190715_Poo_TruePooFK180310_DDAneg20","190715_Poo_TruePooFK180310_DDAneg35","190715_Poo_TruePooFK180310_DDAneg50","190715_Poo_TruePooFK180310_Full1","190715_Poo_TruePooFK180310_Full2","190715_Poo_TruePooFK180310_Full3","190715_Poo_TruePooFK180310_Fullneg60","190715_Poo_TruePooFK180310_Fullneg120","190715_Poo_TruePooFK180310_Fullneg240","190715_Poo_TruePooFK180310_Half1","190715_Poo_TruePooFK180310_Half2","190715_Poo_TruePooFK180310_Half3","190715_Smp_FK180310S62C1-25m_A","190715_Smp_FK180310S62C1-25m_B","190715_Smp_FK180310S62C1-25m_C","190715_Smp_FK180310S62C1-DCM_A","190715_Smp_FK180310S62C1-DCM_B","190715_Smp_FK180310S62C1-DCM_C","190715_Smp_FK180310S64C1-25m_A","190715_Smp_FK180310S64C1-25m_B","190715_Smp_FK180310S64C1-25m_C","190715_Smp_FK180310S64C1-DCM_A","190715_Smp_FK180310S64C1-DCM_B","190715_Smp_FK180310S64C1-DCM_C","190715_Smp_FK180310S77C1-25m_A","190715_Smp_FK180310S77C1-25m_B","190715_Smp_FK180310S77C1-25m_C","190715_Smp_FK180310S77C1-DCM_A","190715_Smp_FK180310S77C1-DCM_B","190715_Smp_FK180310S77C1-DCM_C","190715_Smp_FK180310S80C1-25m_A","190715_Smp_FK180310S80C1-25m_B","190715_Smp_FK180310S80C1-25m_C","190715_Smp_FK180310S80C1-DCM_A","190715_Smp_FK180310S80C1-DCM_B","190715_Smp_FK180310S80C1-DCM_C","190715_Std_4uMStdsMix1InH2O_1","190715_Std_4uMStdsMix1InH2O_2","190715_Std_4uMStdsMix1InMatrix_1","190715_Std_4uMStdsMix1InMatrix_2","190715_Std_4uMStdsMix2InH2O_1","190715_Std_4uMStdsMix2InH2O_2","190715_Std_4uMStdsMix2InMatrix_1","190715_Std_4uMStdsMix2InMatrix_2","190715_Std_H2OinMatrix_1","190715_Std_H2OinMatrix_2"
"5",5,"0","13.374","79.95612","Unknown","[M-H]-","","0.96","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","185.56","190715_Poo_TruePooFK180310_DDAneg50","79.95622:6159947 80.95957:207618 81.96293:373792","50.17709:7215 55.12908:6338 56.22123:7002 59.91065:7112 67.47611:6502 79.95621:1409416","79.95614","79.95612","79.95612","79.95615","79.95619","79.95621","79.95622","79.95611","79.95614","79.95619","79.95615","79.95618","79.95616","79.95612","79.95612","79.95621","79.95614","79.95617","79.95611","79.95618","79.95614","79.95613","79.95615","79.95611","79.95614","79.95617","79.95615","79.95615","79.95612","79.95612","79.95612","79.95613","79.95616","79.95612","79.95613","79.95611","79.95615","79.95614","79.95614","79.95614","79.95612","79.95612","79.95613","79.9561","79.95615","79.95606","79.95613","79.95609","79.95614","79.95609"
"6",6,"1","19.726","80.01059","Unknown","[M-H]-","","0.24","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","57.51","190715_Poo_TruePooFK180310_DDAneg50","80.01061:3642071 81.01396:0 82.01732:828988","51.22599:6443 51.46507:7627 55.08298:6933 61.34069:7194 61.37937:6208 61.53903:6607 67.46432:7228 76.56756:6993","80.01057","80.01059","80.01059","80.01059","80.01059","80.01059","80.01061","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01054","80.01059","80.01059","80.01056","80.01057","80.01058","80.01059","80.01058","80.01059","80.01055","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01058","80.01057","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059","80.01059"
"7",7,"2","7.768","80.91563","Unknown","[M-H]-","","0.96","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","647.58","190715_Smp_FK180310S64C1-DCM_B","80.91563:93417416 81.91898:0 82.92234:0","","80.91563","80.91563","80.91563","80.91566","80.91569","80.91566","80.91568","80.91562","80.91562","80.91567","80.91566","80.91564","80.91565","80.91562","80.91563","80.91568","80.91564","80.91562","80.9156","80.91567","80.91563","80.91563","80.91561","80.91561","80.91563","80.91565","80.91563","80.91564","80.91559","80.9156","80.91564","80.91563","80.91563","80.9156","80.91558","80.91563","80.91564","80.9156","80.91563","80.91564","80.91563","80.91563","80.91563","80.9156","80.91565","80.9156","80.91564","80.91558","80.91566","80.9156"
"8",8,"3","9.712","80.91567","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.15","190715_Poo_TruePooFK180310_Fullneg120","80.91567:3287196 81.91902:0 82.92238:0","","80.91571","80.91567","80.91562","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91563","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91571","80.91567","80.91567","80.91567","80.91563","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91565","80.91565","80.91564","80.91567","80.91564","80.91562","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567","80.91567"
"9",9,"4","13.327","81.95194","Unknown","[M-H]-","similar chromatogram in higher mz_475","0.8","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8132.89","190715_Poo_TruePooFK180310_DDAneg20","81.95202:750908 82.95537:0 83.95873:0","50.4233:7075 56.52736:6686 62.76855:7476 67.14742:8312 75.00687:7152 81.95203:623155 81.96045:69665 82.02873:48419 82.0399:43932","81.95187","81.95194","81.95192","81.95197","81.95202","81.95194","81.95194","81.95191","81.95194","81.95201","81.95194","81.95197","81.95194","81.95197","81.95197","81.95199","81.9519","81.95195","81.95189","81.95198","81.95194","81.95199","81.95193","81.95193","81.95196","81.95198","81.9519","81.95193","81.9519","81.95194","81.9519","81.95193","81.95193","81.95184","81.95186","81.95187","81.95195","81.95187","81.95189","81.95189","81.95194","81.95194","81.95185","81.95188","81.95194","81.95194","81.95194","81.95188","81.95199","81.9519"
"10",10,"5","3.913","82.953","Unknown","[M-H]-","","0.64","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3145.3","190715_Poo_TruePooFK180310_DDAneg50","82.953:3803242 83.95635:0 84.95971:1317158","50.96307:13348 55.16494:7926 56.00043:9085 66.95807:833443 68.00053:13190 76.73399:9411 82.91349:8493 82.95302:12126325 83.02395:528882 83.04906:18960","82.95296","82.9529","82.95297","82.95297","82.953","82.953","82.953","82.95295","82.953","82.95302","82.953","82.953","82.953","82.95295","82.953","82.95303","82.953","82.95297","82.953","82.95297","82.95295","82.953","82.95295","82.953","82.9529","82.95306","82.953","82.953","82.95295","82.95293","82.95293","82.95298","82.95299","82.95296","82.95292","82.953","82.95294","82.95293","82.95297","82.953","82.953","82.953","82.95301","82.95303","82.953","82.953","82.95287","82.95295","82.95305","82.953"
