"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49"
"1",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","File type","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"2",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"3",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4",4,"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","190715_Blk_KM1906U14-Blk_C","190715_Poo_QC-KM1906_D","190715_Poo_QC-KM1906_E","190715_Poo_QC-KM1906_F","190715_Poo_TruePooFK180310_DDAneg20","190715_Poo_TruePooFK180310_DDAneg35","190715_Poo_TruePooFK180310_DDAneg50","190715_Poo_TruePooFK180310_Full1","190715_Poo_TruePooFK180310_Full2","190715_Poo_TruePooFK180310_Full3","190715_Poo_TruePooFK180310_Fullneg60","190715_Poo_TruePooFK180310_Fullneg120","190715_Poo_TruePooFK180310_Fullneg240","190715_Poo_TruePooFK180310_Half1","190715_Poo_TruePooFK180310_Half2","190715_Poo_TruePooFK180310_Half3","190715_Smp_FK180310S62C1-25m_A","190715_Smp_FK180310S62C1-25m_B","190715_Smp_FK180310S62C1-25m_C","190715_Smp_FK180310S62C1-DCM_A","190715_Smp_FK180310S62C1-DCM_B","190715_Smp_FK180310S62C1-DCM_C","190715_Smp_FK180310S64C1-25m_A","190715_Smp_FK180310S64C1-25m_B","190715_Smp_FK180310S64C1-25m_C","190715_Smp_FK180310S64C1-DCM_A","190715_Smp_FK180310S64C1-DCM_B","190715_Smp_FK180310S64C1-DCM_C","190715_Smp_FK180310S77C1-25m_A","190715_Smp_FK180310S77C1-25m_B","190715_Smp_FK180310S77C1-25m_C","190715_Smp_FK180310S77C1-DCM_A","190715_Smp_FK180310S77C1-DCM_B","190715_Smp_FK180310S77C1-DCM_C","190715_Smp_FK180310S80C1-25m_A","190715_Smp_FK180310S80C1-25m_B","190715_Smp_FK180310S80C1-25m_C","190715_Smp_FK180310S80C1-DCM_A","190715_Smp_FK180310S80C1-DCM_B","190715_Smp_FK180310S80C1-DCM_C","190715_Std_4uMStdsMix1InH2O_1","190715_Std_4uMStdsMix1InH2O_2","190715_Std_4uMStdsMix1InMatrix_1","190715_Std_4uMStdsMix1InMatrix_2","190715_Std_4uMStdsMix2InH2O_1","190715_Std_4uMStdsMix2InH2O_2","190715_Std_4uMStdsMix2InMatrix_1","190715_Std_4uMStdsMix2InMatrix_2","190715_Std_H2OinMatrix_1","190715_Std_H2OinMatrix_2"
"5",5,"0","13.374","79.95612","Unknown","[M-H]-","","0.96","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","185.56","190715_Poo_TruePooFK180310_DDAneg50","79.95622:6159947 80.95957:207618 81.96293:373792","50.17709:7215 55.12908:6338 56.22123:7002 59.91065:7112 67.47611:6502 79.95621:1409416","13.973","14.196","13.284","13.312","13.155","13.213","13.053","12.971","13.092","13.154","13.048","13.269","13.184","13.829","13.242","13.243","13.235","13.186","13.065","13.238","13.135","13.216","13.153","13.193","13.223","13.227","13.214","13.241","13.097","13.1","13.191","13.096","13.219","13.162","13.152","13.011","13.242","13.869","13.116","13.153","12.692","13.374","13.935","14.062","13.874","14.095","13.906","14.016","13.917","14.181"
"6",6,"1","19.726","80.01059","Unknown","[M-H]-","","0.24","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","57.51","190715_Poo_TruePooFK180310_DDAneg50","80.01061:3642071 81.01396:0 82.01732:828988","51.22599:6443 51.46507:7627 55.08298:6933 61.34069:7194 61.37937:6208 61.53903:6607 67.46432:7228 76.56756:6993","19.841","19.741","19.742","19.733","19.668","19.586","19.956","19.89","19.491","19.472","19.717","19.621","19.627","19.747","19.658","19.664","19.746","19.39","19.683","20.052","19.85","19.745","19.984","19.829","19.723","19.922","19.969","18.265","19.957","19.887","19.78","19.733","19.68","19.549","19.487","19.713","19.809","19.765","19.643","19.66","19.705","19.648","19.746","19.75","19.748","19.67","19.726","19.691","19.667","19.765"
"7",7,"2","7.768","80.91563","Unknown","[M-H]-","","0.96","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","647.58","190715_Smp_FK180310S64C1-DCM_B","80.91563:93417416 81.91898:0 82.92234:0","","8.322","8.333","7.501","7.49","8.823","7.546","8.826","7.468","7.518","7.501","8.981","7.468","7.429","8.19","7.538","7.463","7.552","7.513","7.486","7.564","7.49","7.485","7.514","7.506","7.555","7.561","7.524","7.494","7.486","7.472","8.536","7.528","7.479","7.47","7.465","7.466","7.564","7.435","7.471","7.49","7.704","7.799","8.15","8.229","8.029","8.144","8.162","8.2","8.148","8.297"
"8",8,"3","9.712","80.91567","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.15","190715_Poo_TruePooFK180310_Fullneg120","80.91567:3287196 81.91902:0 82.92238:0","","10.369","9.988","9.907","9.691","9.722","9.724","9.696","9.664","9.715","9.894","9.234","9.001","9.835","10.021","9.633","9.719","9.734","9.769","9.738","9.827","9.835","9.684","9.829","9.391","9.77","9.758","9.846","9.728","9.787","9.783","9.744","9.692","9.681","9.867","9.788","9.628","9.801","9.741","9.786","9.792","9.663","9.697","9.701","9.661","9.652","9.709","9.779","9.624","9.681","9.749"
"9",9,"4","13.327","81.95194","Unknown","[M-H]-","similar chromatogram in higher mz_475","0.8","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8132.89","190715_Poo_TruePooFK180310_DDAneg20","81.95202:750908 82.95537:0 83.95873:0","50.4233:7075 56.52736:6686 62.76855:7476 67.14742:8312 75.00687:7152 81.95203:623155 81.96045:69665 82.02873:48419 82.0399:43932","13.988","13.327","13.314","13.312","13.163","13.355","13.326","12.986","13.108","13.229","13.326","13.102","13.334","13.922","13.257","13.229","13.325","13.171","13.065","13.223","13.105","13.202","13.153","13.193","13.223","13.304","13.214","13.272","13.097","13.1","13.206","13.096","13.234","13.132","13.152","13.071","13.227","13.08","13.101","13.257","13.327","13.327","14.026","14.062","13.327","13.327","13.891","14.046","13.932","14.196"
"10",10,"5","3.913","82.953","Unknown","[M-H]-","","0.64","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3145.3","190715_Poo_TruePooFK180310_DDAneg50","82.953:3803242 83.95635:0 84.95971:1317158","50.96307:13348 55.16494:7926 56.00043:9085 66.95807:833443 68.00053:13190 76.73399:9411 82.91349:8493 82.95302:12126325 83.02395:528882 83.04906:18960","4.235","4.224","3.852","3.854","3.914","3.909","2.827","3.872","3.882","3.856","3.917","3.912","3.941","4.109","3.881","3.87","3.903","3.864","3.859","3.874","3.869","3.846","3.852","3.955","3.891","3.89","3.855","3.971","3.872","3.866","3.885","3.849","3.838","3.858","3.841","3.863","3.899","3.824","3.853","3.868","3.257","4.379","4.19","4.169","3.484","3.656","4.188","4.154","4.145","4.234"
