"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","File type","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","190715_Blk_KM1906U14-Blk_C","190715_Poo_QC-KM1906_D","190715_Poo_QC-KM1906_E","190715_Poo_QC-KM1906_F","190715_Poo_TruePooFK180310_DDAneg20","190715_Poo_TruePooFK180310_DDAneg35","190715_Poo_TruePooFK180310_DDAneg50","190715_Poo_TruePooFK180310_Full1","190715_Poo_TruePooFK180310_Full2","190715_Poo_TruePooFK180310_Full3","190715_Poo_TruePooFK180310_Fullneg60","190715_Poo_TruePooFK180310_Fullneg120","190715_Poo_TruePooFK180310_Fullneg240","190715_Poo_TruePooFK180310_Half1","190715_Poo_TruePooFK180310_Half2","190715_Poo_TruePooFK180310_Half3","190715_Smp_FK180310S62C1-25m_A","190715_Smp_FK180310S62C1-25m_B","190715_Smp_FK180310S62C1-25m_C","190715_Smp_FK180310S62C1-DCM_A","190715_Smp_FK180310S62C1-DCM_B","190715_Smp_FK180310S62C1-DCM_C","190715_Smp_FK180310S64C1-25m_A","190715_Smp_FK180310S64C1-25m_B","190715_Smp_FK180310S64C1-25m_C","190715_Smp_FK180310S64C1-DCM_A","190715_Smp_FK180310S64C1-DCM_B","190715_Smp_FK180310S64C1-DCM_C","190715_Smp_FK180310S77C1-25m_A","190715_Smp_FK180310S77C1-25m_B","190715_Smp_FK180310S77C1-25m_C","190715_Smp_FK180310S77C1-DCM_A","190715_Smp_FK180310S77C1-DCM_B","190715_Smp_FK180310S77C1-DCM_C","190715_Smp_FK180310S80C1-25m_A","190715_Smp_FK180310S80C1-25m_B","190715_Smp_FK180310S80C1-25m_C","190715_Smp_FK180310S80C1-DCM_A","190715_Smp_FK180310S80C1-DCM_B","190715_Smp_FK180310S80C1-DCM_C","190715_Std_4uMStdsMix1InH2O_1","190715_Std_4uMStdsMix1InH2O_2","190715_Std_4uMStdsMix1InMatrix_1","190715_Std_4uMStdsMix1InMatrix_2","190715_Std_4uMStdsMix2InH2O_1","190715_Std_4uMStdsMix2InH2O_2","190715_Std_4uMStdsMix2InMatrix_1","190715_Std_4uMStdsMix2InMatrix_2","190715_Std_H2OinMatrix_1","190715_Std_H2OinMatrix_2"
"0","13.374","79.95612","Unknown","[M-H]-","","0.96","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","185.56","190715_Poo_TruePooFK180310_DDAneg50","79.95622:6159947 80.95957:207618 81.96293:373792","50.17709:7215 55.12908:6338 56.22123:7002 59.91065:7112 67.47611:6502 79.95621:1409416","283.2","135","159","161.7","17.3","40","189.3","320.9","151.1","171.8","259","19.1","431.9","176.1","102.1","149.6","224.3","353.1","227.1","248.7","406.4","189.1","377.4","128","142.4","160.4","194.5","91.1","317","130.3","137","265.9","189.4","348.5","145.7","290.7","234.1","48.4","314.1","271.7","0.4","0","150.8","132","2.7","5.3","70.5","124.6","126.4","92.2"
"1","19.726","80.01059","Unknown","[M-H]-","","0.24","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","57.51","190715_Poo_TruePooFK180310_DDAneg50","80.01061:3642071 81.01396:0 82.01732:828988","51.22599:6443 51.46507:7627 55.08298:6933 61.34069:7194 61.37937:6208 61.53903:6607 67.46432:7228 76.56756:6993","178.9","0.1","1.1","1.2","1.3","0.9","31.8","3.1","0.7","0.1","2.1","1.8","0.6","0.8","0.7","0.4","1","1","1.2","89.5","22.2","1.1","99.7","54","59.7","82.8","3","5.4","93.2","5.6","84.3","1.2","1.4","1.7","2","0.7","93.1","150.6","0.1","0.4","1.1","1.6","0.9","0.2","0.6","2.3","1","1.2","1","0.7"
"2","7.768","80.91563","Unknown","[M-H]-","","0.96","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","647.58","190715_Smp_FK180310S64C1-DCM_B","80.91563:93417416 81.91898:0 82.92234:0","","836","571.5","492.4","360.9","32","180.9","40.2","938.4","953.2","604.7","40.5","169.9","2193.7","650.9","555.5","421.6","807.7","725.7","898","810.1","1232.1","627.7","904.8","981.5","890.2","879.9","921.6","638.7","741.5","1270.4","122.4","713.5","1118.3","566.3","695.1","788.1","791.2","948.2","569.5","788.2","0.3","0.5","401.8","443.7","52.8","96.1","357.6","339.9","352.1","566.8"
"3","9.712","80.91567","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.15","190715_Poo_TruePooFK180310_Fullneg120","80.91567:3287196 81.91902:0 82.92238:0","","0.5","0","5.5","0.5","0.7","0.4","1.5","2.3","2.3","1.7","11.2","70","1.2","0.5","0.8","0.8","0.5","3","0.5","1.1","2.5","1.9","3.6","12.8","2.6","2.6","3.4","2.4","3.3","2.8","2.4","0.5","2.1","2.2","1.5","3.1","2.2","2.7","3","1.3","0.1","0.3","0.5","0.3","0.7","0.7","0.7","0.2","0.3","0.1"
"4","13.327","81.95194","Unknown","[M-H]-","similar chromatogram in higher mz_475","0.8","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8132.89","190715_Poo_TruePooFK180310_DDAneg20","81.95202:750908 82.95537:0 83.95873:0","50.4233:7075 56.52736:6686 62.76855:7476 67.14742:8312 75.00687:7152 81.95203:623155 81.96045:69665 82.02873:48419 82.0399:43932","8734.6","0","7435.6","5322.5","19.7","18.9","38.3","16636.4","13414.2","10728.2","19.4","11.6","19.8","2388.5","9537.6","10216.8","4041.3","14199.8","12021.6","11415.7","16862","11131.4","1483.9","14703.5","94","7170.1","9013.7","10748.5","7.1","5738.8","6155.7","12628.7","4061.3","12069","14066.3","3085.1","12767.3","11878.9","14249","6989.5","0","0","2997.2","4753","0","0","85.7","4979.1","5773.6","5784.9"
"5","3.913","82.953","Unknown","[M-H]-","","0.64","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3145.3","190715_Poo_TruePooFK180310_DDAneg50","82.953:3803242 83.95635:0 84.95971:1317158","50.96307:13348 55.16494:7926 56.00043:9085 66.95807:833443 68.00053:13190 76.73399:9411 82.91349:8493 82.95302:12126325 83.02395:528882 83.04906:18960","5294.1","15.6","2843","18.3","5.9","4.2","17","6930","6.9","21.5","5.4","3.8","3.1","3690.9","3.5","10","2.6","11.2","2.7","2562","44776.7","14.5","15.9","0.8","7.8","1319.9","3.8","13.6","25.6","9.7","2546.4","12523.8","1054.7","28.8","21.9","3.5","3563.1","13.1","7481.8","20.8","1.3","0.8","8.3","2329.8","1","1","1251.2","2210.4","12.5","2.2"
"6","3.754","84.95004","Unknown","[M-H]-","","0.2","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4180.04","190715_Poo_TruePooFK180310_DDAneg50","84.95004:1307274 85.95339:0 86.95675:0","52.96024:15524 55.69277:7671 57.5937:8900 58.7117:8591 66.95821:7291 67.56465:7595 68.95514:252116 71.5498:7243 84.95008:4239522 85.02839:27368","16.7","2.6","4.6","5.7","10.3","8","66.4","3116.6","7.8","12.2","4.4","9.4","5.3","10.2","4.3","2.5","3.7","5","2.3","3.2","81.5","13.5","23610.1","0","0","0","0","2141.1","1927.8","3.7","2.4","5389","0","2645.3","2818.5","3.3","2.9","8.8","4","26.2","2.7","0","0","6.8","0","0","2.7","0","5.4","4.8"
