																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_QC-KM1906_D	190715_Poo_QC-KM1906_E	190715_Poo_QC-KM1906_F	190715_Poo_TruePooFK180310_DDApos20	190715_Poo_TruePooFK180310_DDApos35	190715_Poo_TruePooFK180310_DDApos50	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3	190715_Poo_TruePooFK180310_Fullpos60	190715_Poo_TruePooFK180310_Fullpos120	190715_Poo_TruePooFK180310_Fullpos240	190715_Poo_TruePooFK180310_Half1	190715_Poo_TruePooFK180310_Half2	190715_Poo_TruePooFK180310_Half3	190715_Smp_FK180310S62C1-25m_A	190715_Smp_FK180310S62C1-25m_B	190715_Smp_FK180310S62C1-25m_C	190715_Smp_FK180310S62C1-DCM_A	190715_Smp_FK180310S62C1-DCM_B	190715_Smp_FK180310S62C1-DCM_C	190715_Smp_FK180310S64C1-25m_A	190715_Smp_FK180310S64C1-25m_B	190715_Smp_FK180310S64C1-25m_C	190715_Smp_FK180310S64C1-DCM_A	190715_Smp_FK180310S64C1-DCM_B	190715_Smp_FK180310S64C1-DCM_C	190715_Smp_FK180310S77C1-25m_A	190715_Smp_FK180310S77C1-25m_B	190715_Smp_FK180310S77C1-25m_C	190715_Smp_FK180310S77C1-DCM_A	190715_Smp_FK180310S77C1-DCM_B	190715_Smp_FK180310S77C1-DCM_C	190715_Smp_FK180310S80C1-25m_A	190715_Smp_FK180310S80C1-25m_B	190715_Smp_FK180310S80C1-25m_C	190715_Smp_FK180310S80C1-DCM_A	190715_Smp_FK180310S80C1-DCM_B	190715_Smp_FK180310S80C1-DCM_C	190715_Std_4uMStdsMix1InH2O_1	190715_Std_4uMStdsMix1InH2O_2	190715_Std_4uMStdsMix1InMatrix_1	190715_Std_4uMStdsMix1InMatrix_2	190715_Std_4uMStdsMix2InH2O_1	190715_Std_4uMStdsMix2InH2O_2	190715_Std_4uMStdsMix2InMatrix_1	190715_Std_4uMStdsMix2InMatrix_2	190715_Std_H2OinMatrix_1	190715_Std_H2OinMatrix_2
0	7.258	80.13167	Unknown	[M+H]+		0.82	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	96.57	190715_Smp_FK180310S62C1-DCM_B	80.13167:442453 81.13502:21328 82.13838:0		31.2	24.2	18.3	17.9	3.5	2.1	2	28.6	18	13.2	0.4	1.8	29.2	14.2	78.2	2774.5	19.6	17.7	33.1	26	34.4	20.2	25.4	16	23.9	18.3	19.9	21.2	18.4	18.5	16.4	32.7	28.6	17.2	124.8	38.9	25.5	173.3	20.7	23.5	0	0	14.8	15.5	0.3	0.3	21.1	11.5	22.3	12.5
1	9.701	80.94845	Unknown	[M+H]+		0.26	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	90.04	190715_Smp_FK180310S77C1-25m_C	80.94845:4646072 81.9518:0 82.95516:6462527		0.6	1	2.5	0.4	2.7	1.5	10.2	1.1	20.8	2	1.8	1.4	1	1.4	111.3	0.8	1.4	1.3	0.8	2.7	4.1	273.9	2.1	24.2	26.6	7.3	41.9	1.9	2	11.4	543.1	0.1	16.7	0.3	15.4	1.2	1.6	2	0.5	2	0	0	1.9	0.4	0	0.5	67.8	1.1	1.5	1.2
2	10.317	84.01188	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.88	190715_Std_H2OinMatrix_2	84.01188:724658 85.01523:0 86.01859:0		20.3	18.4	1	0.7	1.3	0.4	0.3	1.3	1	0.4	0.4	0.1	0.8	8.4	1.4	0.9	1.1	0.1	0.6	2.9	0.2	1.4	0.5	0.4	0.4	13.6	0.6	0.4	0.3	1.9	0.9	0.3	0.4	0.8	0.5	1.3	1.3	2.6	0.1	0.4	1	2.1	12	0.7	0.7	2.6	1.6	2.3	12.5	1.7
3	13.236	84.01189	Unknown	[M+H]+		0.2	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.9	190715_Std_4uMStdsMix1InH2O_2	84.01189:664509 85.01524:19545 86.0186:0		1.1	3.1	0.3	0.1	0.4	0.4	0.2	1	1	0.4	0.1	0.4	0.3	0.5	0.3	0.8	0.8	0.4	2.9	0.1	0.2	0.3	0.4	0.3	1	8.5	6.9	0.2	0.5	0.5	0.2	0.1	0.1	2.3	0.5	0.5	7.8	0.5	0.2	9	2.2	1.9	1.4	3.3	1.8	2.4	5.6	2.9	1	2.9
4	10.795	84.04496	Unknown	[M+H]+	found in higher mz's MsMs_243	0.8	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23.86	190715_Std_4uMStdsMix1InMatrix_1	84.04496:2493002 85.04831:294430 86.05167:207219		5.2	26.1	49.8	54.9	7.3	12.5	8.2	17	13.2	15.1	1.1	9.6	17.9	12	7.1	12.5	15	22.4	20	16	53.1	18.5	27.1	28.6	15.2	12.9	19.7	20.4	16	7	9.6	27.9	28	15.1	11	22.1	12.7	10.4	30.1	25.3	20.6	18	73.7	43.6	0.5	0.7	30.1	11.7	39.1	19.6
