"feature","mzmed","rtmed","avginto"
"FT006",75.100441113824,543.146545410156,3860452.77968045
"FT010",77.0733817904549,312.278352,3955417.0955455
"FT011",77.0796731070098,312.848846435547,35712480.6004016
"FT013",78.0806109793286,312.962768554688,2102711.40263916
"FT034",104.071037835995,615.974243164062,31795189.1717359
"FT036",105.110736739125,554.68115234375,6266273.00655562
"FT042",113.054211845344,323.85400390625,6053311.65988447
"FT047",117.048646940113,325.443603515625,149953902.297509
"FT050",117.074233539655,449.189422607422,5029356.02459097
"FT052",118.05201551516,325.443603515625,2556709.41331405
"FT057",119.052849356816,325.347137451172,1861506.70320297
"FT058",119.083534883676,345.799911499024,15163828.4642812
"FT059",119.089839107927,345.717742919922,241175605.306749
"FT064",120.090725877672,345.75341796875,17880026.0419198
"FT065",120.093158528019,345.729064941406,4843385.64699231
"FT068",121.039911327442,187.776519775391,14577832.7225574
"FT071",122.031558800721,415.904800415039,1971804.6810187
"FT072",122.035383123539,415.892395019531,12791503.5839187
"FT075",123.02787459767,415.798065185547,12905515.8995566
"FT082",124.100250336383,345.801818847656,513405400.76385
"FT083",124.118098279291,450.814453125,2832114.80736833
"FT091",130.06937282419,500.046966552734,2758078.31385711
"FT093",131.053425981896,599.473449707031,2231587.38443062
"FT104",133.105388037388,476.281005859375,33905553.8031107
"FT105",133.105409281608,306.678649902344,6286509.97947654
"FT109",134.106223840704,477.061584472656,1514493.05639464
"FT110",135.023640945012,788.898620605469,17200583.0885912
"FT113",136.047028997528,493.303802490234,8157322.84424021
"FT114",136.050830954959,493.584533691406,58574110.617146
"FT119",137.043274085914,493.307495117188,54522155.4447128
"FT125",137.065210439917,230.80989074707,14420037.3959194
"FT126",138.04674984149,493.293151855469,2731681.12035477
"FT128",138.05586704461,230.858413696289,499015410.741153
"FT133",139.052934476834,230.876571655273,6429574.77239204
"FT134",139.058379525798,379.655944824219,17539383.4259962
"FT135",139.058370450475,260.037506103516,16452211.4534934
"FT136",139.059223626923,230.887466430664,24660213.082787
"FT139",141.006484019548,578.545654296875,54030101.9459601
"FT142",143.003716574391,578.369873046875,19536127.8232065
"FT146",144.084846039652,473.338134765625,34594180.8636898
"FT151",145.105315687313,300.008819580078,6330632.38947663
"FT152",145.105325936295,462.691864013672,2713145.80714755
"FT153",145.985527334574,182.225204467773,6560817.30265332
"FT160",147.047485602227,416.924163818359,28208581.1860191
"FT161",147.076453553814,599.473449707031,79696740.0777175
"FT165",147.12098428819,498.562629451172,11673794.1788685
"FT168",148.050817383045,416.994774080078,1486681.88781712
"FT171",148.07982503342,599.394897460938,4030570.26605581
"FT175",149.043324894235,416.909500122071,926331.852079155
"FT176",149.063911190572,651.642761230469,2179781.45150385
"FT178",149.100289874344,410.428726196289,2813594.93217093
"FT179",149.109381566488,533.7265625,3415463.12713413
"FT180",149.109306371714,523.534545898438,2963799.94413387
"FT188",152.056739332855,403.323181152344,272928839.022096
"FT192",153.060079274191,403.264770507812,15012125.8350409
"FT193",153.073870100095,192.34440612793,23936279.033414
"FT194",153.077215695167,358.970428466797,18792363.683307
"FT197",154.077157961149,191.406509399414,1633874.25504333
"FT199",155.05413385338,403.351165771484,98127280.4668455
"FT201",156.05750180676,403.161865234375,3991484.80620705
"FT203",156.084958174969,438.680511474609,12940558.2573127
"FT204",156.984073336343,570.867340087891,18065328.9471879
"FT220",161.100218496184,418.606567382812,20381196.6948682
"FT224",163.115837882067,403.291900634766,12039955.4451223
"FT225",163.11583426079,493.307495117188,9776803.90924507
"FT227",165.13252109518,534.012329101562,7064853.11780869
"FT228",165.13249014947,532.389709472656,6251345.86116409
"FT232",167.053772002244,416.10270690918,1673347.86885901
"FT236",168.123130830681,134.630584716797,5670037.26584576
"FT247",175.042119922285,402.418212890625,2535749.68130954
"FT249",175.107861503363,394.402770996094,18873542.0108933
"FT253",176.1031139249,644.415893554688,5031037.75839779
"FT265",180.008227960491,332.977966308594,20472396.340304
"FT267",180.076998055839,495.960784912109,2757702.27131947
"FT268",180.076975558957,569.300048828125,6381788.36749639
"FT269",180.076954827658,572.095275878906,3130316.12169675
"FT271",181.011492651315,332.775268554688,852757629.329421
"FT273",181.069454547694,495.915084838867,1459633.43664412
"FT274",181.069426312391,569.300048828125,3489068.48294675
"FT275",181.069416777484,573.249572753906,1867636.08569502
"FT278",181.105143662848,413.719543457031,2045814.38902439
"FT279",181.127404571821,209.971664428711,6176246.288225
"FT281",182.01478091804,332.775268554688,25575201.5612249
"FT286",184.03027855966,577.665832519531,58971743.5723965
"FT290",184.9560165148,451.157562255859,9121083.34579018
"FT292",186.953918901642,451.157562255859,10707347.9830944
"FT306",194.056386830047,583.171081542969,2675289.70235754
"FT308",194.092825834631,496.01661682129,1685897.1022194
"FT320",202.997110521003,792.083557128906,129418232.689949
"FT343",226.180228807606,112.453918457031,5417430.4756883
"FT344",227.183516603616,111.265037536621,617665.426698608
"FT345",227.98042153398,452.207122802734,28012823.786943
"FT347",229.978169988801,452.365081787109,3172025.62602161
"FT348",230.995147712785,788.898620605469,41505248.4864221
"FT369",247.100599296874,513.471099853516,2025126.1070118
"FT370",248.021711949658,789.432556152344,173057474.228269
"FT371",250.017570779638,788.822814941406,15291959.3579021
"FT376",253.147850508989,554.752197265625,3911623.87606806
"FT377",256.175490553649,119.239639282227,2832065.34496288
"FT386",269.107577018856,213.90380859375,20220825.9183803
"FT392",277.965242063836,791.0771484375,10738987.2226798
"FT393",278.961376080796,791.803771972656,14670671.6639748
"FT400",287.043980619347,554.789184570312,14127737.6425292
"FT404",293.990978734627,789.2724609375,8989888.48257609
"FT406",300.092455963321,157.74870300293,17046760.8618259
"FT417",334.132881011375,608.22705078125,5012199.05325722
"FT418",338.050152333163,553.825744628906,61934440.1623882
"FT419",340.047303208124,555.593658447266,43140693.9029991
"FT420",344.228014536413,112.456077575684,6588448.72516871
"FT422",350.931872334796,789.455078125,56227718.232844
"FT423",351.932429664375,789.938354492188,9435918.39268294
"FT424",352.928168989147,789.687133789062,16637729.2562197
"FT429",365.010832550873,789.207885742188,8546088.37808594
"FT431",367.95856933377,789.854248046875,10535749.9637553
"FT433",372.190435550273,606.052490234375,8741950.78599248
"FT442",392.959141697255,789.455078125,16504735.7372329
"FT443",393.954726355199,789.71466,27475678.2593407
"FT452",444.056787474064,554.694091796875,32673523.7865624
"FT455",466.926489773236,789.791748046875,26171891.7965086
"FT456",467.922339015463,789.779052734375,46020068.1168801
"FT458",478.009713179307,789.71466,51818247.926075
"FT459",480.004886892611,789.470825195312,8464867.12763617
"FT464",581.920371625609,789.889404296875,9446564.69253173
"FT465",582.916517359175,789.692077636719,19679864.5826206
"FT466",593.00356398155,789.791748046875,48165139.2477199
"FT467",594.00246694923,789.352508544922,3789114.07179693
"FT468",594.99961808941,789.220275878906,10694395.9646874
"FT471",696.914384864827,789.833557128906,8829073.91384293
"FT472",697.910788411796,789.687133789062,20000365.1345338
"FT474",709.994203314424,789.470825195312,8631704.19081902
"FT477",812.904880164334,789.687133789062,7342732.78530096
"FT479",824.988199296461,789.101989746094,4482130.78717034
