"","feature","mzmed","rtmed","avgarea","formula"
"1","FT002",63.0270316120598,493.771423339844,4927806.40508151,"C2H6S"
"2","FT003",70.0658201288959,448.888397216797,12015906.274211,"C4H7N"
"3","FT004",72.0814611871385,422.611419677734,9897809.51376827,"C4H9N"
"4","FT005",74.0970861231854,542.670837402344,96179715.6021021,"C4H11N"
"5","FT007",76.0399688618242,627.572143554688,5442516.98646909,"C2H5NO2"
"6","FT008",76.0763258236447,312.959838867188,1054538965.22525,"C3H9NO"
"7","FT015",84.0449919850937,652.12646484375,8131694.42665127,"C4H5NO"
"8","FT016",84.0449965809106,599.582336425781,12222566.5032181,"C4H5NO"
"9","FT017",86.0606226802208,615.952026367188,6686600.44728366,"C4H7NO"
"10","FT018",86.0969921863433,348.486419677734,5728423.0793472,"C5H11N"
"11","FT019",87.0446295451188,615.9297,4039199.68544693,"C4H6O2"
"12","FT020",87.0446135063118,531.747436523438,3734657.60721181,"C4H6O2"
"13","FT021",88.1126442081856,511.781066894531,4654474.05825284,"C5H13N"
"14","FT022",90.0555083897274,611.433837890625,10012443.5583767,"C3H7NO2"
"15","FT023",90.055514472377,580.981994628906,8963777.52320223,"C3H7NO2"
"16","FT024",90.0555064528119,538.239135742188,9712502.30117108,"C3H7NO2"
"17","FT025",90.0919002028268,328.030364990234,38170128.3596371,"C4H11NO"
"18","FT026",90.0918486551073,307.8017578125,134444776.111548,"C4H11NO"
"19","FT027",93.0452399308452,188.258575439453,2219318.89041633,"C5H4N2"
"20","FT029",100.039782532906,500.691986083984,1668005.56709383,"C4H5NO2"
"21","FT030",101.10777360144,525.771179199219,3226756.96675476,"C5H12N2"
"22","FT031",102.055399393485,652.153137207031,2745518.67449469,"C4H7NO2"
"23","FT032",102.128129897979,339.097076416016,4549596.54523622,"C6H15N"
"24","FT034",104.071037835995,615.974243164062,35944386.6367432,"C4H9NO2"
"25","FT035",104.107394205588,554.662139892578,122774820.813504,"C5H13NO"
"26","FT037",106.05029934585,626.029235839844,2839537.72566334,"C3H7NO3"
"27","FT038",106.086668391601,464.293731689453,8691248.33895551,"C4H11NO2"
"28","FT040",112.050892389643,325.503173828125,147264932.322095,"C4H5N3O"
"29","FT043",113.060055242104,102.689384460449,17058796.0983342,"C6H8O2"
"30","FT046",116.070895283883,449.276184082031,95730398.7766137,"C5H9NO2"
"31","FT047",117.048646940113,325.443603515625,150411511.072346,"C4H8N2S"
"32","FT048",117.054923969042,569.634429931641,8857687.20812548,"C5H8O3"
"33","FT050",117.074233539656,449.189422607422,4985428.91406837,"C6H12S"
"34","FT051",117.113766120021,563.303375244141,682791.655769311,"C4H12N4"
"35","FT054",118.086452895845,345.798004150391,4336769017.21976,"C5H11NO2"
"36","FT055",118.122704770433,345.765869140625,4590924.90829644,"C6H15NO"
"37","FT057",119.052849356816,325.347137451172,1971523.74551999,"C5H10OS"
"38","FT061",120.065785994173,587.6796875,5388496.44235689,"C4H9NO3"
"39","FT062",120.081002447234,266.394561767578,19634609.0577856,"C8H9N"
"40","FT067",121.032016412326,415.892395019531,294899076.16581,"C4H8O2S"
"41","FT068",121.039911327442,187.776519775391,14071400.9673438,"C6H4N2O"
"42","FT069",121.06842397102,558.725860595703,2456355.71248335,"C5H12OS"
"43","FT073",122.081448508027,425.107177734375,24746816.0448704,"C4H11NO3"
"44","FT075",123.02787459767,415.798065185547,12674297.6208919,"C3H6O5"
"45","FT081",124.039470708306,197.939636230469,110236864.63227,"C6H5NO2"
"46","FT084",126.022140374719,586.052856445312,9834655.47123704,"C2H7NO3S"
"47","FT088",129.066036125532,500.294097900391,54166801.5242338,"C5H8N2O2"
"48","FT089",130.050018310547,599.582336425781,46679731.0521776,"C5H7NO3"
"49","FT090",130.050019077549,652.103759765625,13157260.0051049,"C5H7NO3"
"50","FT091",130.06937282419,500.046966552734,2931376.53680288,"C6H11NS"
"51","FT092",130.15919935757,316.620056152344,15724664.6188751,"C8H19N"
"52","FT093",131.053425981896,599.473449707031,2388704.18810973,"C6H10OS"
"53","FT095",131.07037930161,453.304565429688,11506601.0018337,"C6H10O3"
"54","FT096",132.076886330929,576.462127685547,117513314.095843,"C4H9N3O2"
"55","FT097",132.101994407718,348.626312255859,31113777.7522353,"C6H13NO2"
"56","FT098",132.102012934193,476.324554443359,571758966.941855,"C6H13NO2"
"57","FT099",132.102045320014,306.426422119141,140379052.138593,"C6H13NO2"
"58","FT101",133.031877772777,368.569732666016,5115184.42866111,"C5H8O2S"
"59","FT104",133.105388037388,476.281005859375,36336673.3842838,"C7H16S"
"60","FT105",133.105409281608,306.678649902344,7656340.82850899,"C7H16S"
"61","FT107",134.081256648184,528.467620849609,3992011.65493372,"C5H11NO3"
"62","FT112",135.047465931711,493.390075683594,1217464893.94246,"C5H10O2S"
"63","FT116",136.061873030384,230.80989074707,247583948.266873,"C5H5N5"
"64","FT117",136.061823770771,178.357864379883,38713452.6853187,"C5H5N5"
"65","FT124",137.063160029834,561.09521484375,1758902.75532028,"C5H12O2S"
"66","FT127",138.055027125108,379.655944824219,240111516.158003,"C7H7NO2"
"67","FT136",139.059223626923,230.887466430664,26695180.4385314,"C4H10O5"
"68","FT140",141.065922369629,343.944427490234,15685399.4906005,"C6H8N2O2"
"69","FT141",141.113515855211,228.170433044434,1487737.29455631,"C6H12N4"
"70","FT144",143.081545617144,474.210388183594,597141378.175815,"C6H10N2O2"
"71","FT145",143.081604003906,453.509338378906,27842515.9325068,"C6H10N2O2"
"72","FT147",144.101969691465,300.531311035156,88177667.9918389,"C7H13NO2"
"73","FT148",144.101976014885,462.761352539062,39047941.5490115,"C7H13NO2"
"74","FT149",144.101943524173,486.120819091797,8440849.52319726,"C7H13NO2"
"75","FT151",145.105315687313,300.008819580078,6452983.99413484,"C8H16S"
"76","FT152",145.105325936295,462.691864013672,2818417.68413953,"C8H16S"
"77","FT155",146.117592278795,498.649734,185852835.914015,"C7H15NO2"
"78","FT156",146.117635638423,408.210403442383,79014634.0464743,"C7H15NO2"
"79","FT157",146.117610601875,256.093505859375,1735107.84702768,"C7H15NO2"
"80","FT160",147.047485602226,416.924163818359,27783458.3290213,"C6H10O2S"
"81","FT161",147.076453553814,599.473449707031,81598932.9551131,"C5H10N2O3"
"82","FT167",148.042785564332,483.188629150391,1542532.59851663,"C5H9NO2S"
"83","FT169",148.060477430879,652.121765136719,44649671.6179332,"C5H9NO4"
"84","FT171",148.07982503342,599.394897460938,4096451.78475616,"C6H13NOS"
"85","FT172",148.096864645164,410.573974609375,60480836.2311755,"C6H13NO3"
"86","FT177",149.063147582876,530.537811279297,4396607.10057981,"C6H12O2S"
"87","FT181",150.058358337386,364.119384765625,14619763.1581236,"C5H11NO2S"
"88","FT182",150.077504932,298.167053222656,2213623.6490761,"C6H7N5"
"89","FT183",150.112556804494,194.564758300781,13755195.7450249,"C6H15NO3"
"90","FT184",151.042380111909,514.084197998047,1883935.84702253,"C5H10O3S"
"91","FT185",151.042363299102,481.001281738281,3112655.09560396,"C5H10O3S"
"92","FT190",152.070667448376,130.325668334961,29642064.2376537,"C8H9NO2"
"93","FT195",154.053279716728,264.591949462891,13150881.8533241,"C4H11NO3S"
"94","FT196",154.072364091981,454.430374145508,1058027.13878469,"C5H7N5O"
"95","FT200",155.081529519569,438.65673828125,160101001.886825,"C7H10N2O2"
"96","FT206",157.097273247381,349.428192138672,12991005.7007391,"C7H12N2O2"
"97","FT207",158.081275161022,394.811676025391,8760724.02486438,"C7H11NO3"
"98","FT208",158.117651995376,446.966369628906,5426223.02319207,"C8H15NO2"
"99","FT210",159.027815148745,289.878265380859,8379915.50385754,"C6H6O5"
"100","FT215",160.096911475294,479.597564697266,20084527.6651757,"C7H13NO3"
"101","FT216",160.133314514382,497.420272827148,4542569.7807161,"C8H17NO2"
"102","FT217",160.133288737796,431.926788330078,9592569.5720741,"C8H17NO2"
"103","FT219",161.063141347127,469.843078613281,4578435.16102082,"C7H12O2S"
"104","FT220",161.100218496184,418.606567382812,19287248.3522055,"C8H16OS"
"105","FT221",162.112531827434,403.351165771484,146480395.041629,"C7H15NO3"
"106","FT222",162.112520955115,493.390075683594,153828539.488152,"C7H15NO3"
"107","FT223",162.112546971346,317.887359619141,13821988.0926507,"C7H15NO3"
"108","FT224",163.115837882067,403.291900634766,12058404.014891,"C8H18OS"
"109","FT225",163.11583426079,493.307495117188,11076405.528866,"C8H18OS"
"110","FT227",165.13252109518,534.012329101562,7323266.26606996,"CH12N10"
"111","FT229",166.086345597905,474.067565917969,11633470.9081256,"C9H11NO2"
"112","FT231",166.086357341595,418.087951660156,8192211.43183216,"C9H11NO2"
"113","FT233",168.069069612435,414.487396240234,3890109.16955077,"C5H13NO3S"
"114","FT238",170.117646684235,397.945678710938,14629910.0839781,"C9H15NO2"
"115","FT242",172.133258413408,111.558685302734,7482173.94770992,"C9H17NO2"
"116","FT243",173.092196012598,414.218872070312,12577590.5758187,"C7H12N2O3"
"117","FT244",174.022043816961,270.980346679688,8623559.70938089,"C6H7NO3S"
"118","FT251",175.119075003855,1008.79736328125,44086128.9471448,"C6H14N4O2"
"119","FT254",176.111190159306,396.996505737305,1117198.33013531,"C8H17NOS"
"120","FT255",176.128237619438,381.49040222168,5369773.38009512,"C8H17NO3"
"121","FT256",176.12823043881,449.315765380859,4462261.49848563,"C8H17NO3"
"122","FT261",178.107465331645,438.836990356445,4012966.61010641,"C7H15NO4"
"123","FT263",179.073718195047,495.961944580078,41155404.8146144,"C7H14O3S"
