"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT001",60.05817214526,565.036315917969,"None",1933942.69622975
"FT002",63.0270316120598,493.771423339844,"Glycine betaine, 13C5, 15N",5152879.56459345
"FT003",70.0658201288959,448.888397216797,"None",11993396.0627497
"FT004",72.0814611871385,422.611419677734,"Glycine betaine, 13C5, 15N",10203273.7967046
"FT005",74.0970861231854,542.670837402344,"Glycine betaine, 13C5, 15N",102311071.902961
"FT007",76.0399688618242,627.572143554688,"DL-Proline, 2H7",8894807.0444744
"FT008",76.0763258236447,312.959838867188,"Glycine betaine, 13C5, 15N",1166164748.45665
"FT009",76.103451504832,450.814453125,"Adenine, 15N2",1284060.77881522
"FT012",77.1097127085951,451.094085693359,"DL-Proline, 2H7",5099520.13060141
"FT014",80.1316299210448,425.907897949219,"DL-Valine, 2H8",5222546.80076936
"FT015",84.0449919850937,652.12646484375,"DL-Proline, 2H7",37808028.0843071
"FT016",84.0449965809106,599.582336425781,"DL-Proline, 2H7",37844060.8171239
"FT017",86.0606226802208,615.952026367188,"DL-Histidine, 15N",52350765.0164377
"FT018",86.0969921863433,348.486419677734,"Guanine, 13C, 15N2",6935922.716849
"FT019",87.0446295451188,615.9297,"Adenine, 15N2",3955766.3763701
"FT020",87.0446135063118,531.747436523438,"Adenine, 15N2",7182506.26003346
"FT021",88.1126442081856,511.781066894531,"Glycine betaine, 13C5, 15N",4814335.65678605
"FT022",90.0555083897274,611.433837890625,"Guanine, 13C, 15N2",14633412.9453284
"FT023",90.055514472377,580.981994628906,"DL-Histidine, 15N",27825437.5626511
"FT024",90.0555064528119,538.239135742188,"DL-Histidine, 15N",7864847.87107549
"FT025",90.0919002028268,328.030364990234,"Glycine betaine, 13C5, 15N",50677574.7248753
"FT026",90.0918486551073,307.8017578125,"Glycine betaine, 13C5, 15N",226830827.353561
"FT027",93.0452399308452,188.258575439453,"Adenine, 15N2",2708823.12892364
"FT028",93.0743160708291,581.4775390625,"DL-Histidine, 15N",8570640.64449637
"FT029",100.039782532906,500.691986083984,"DL-Histidine, 15N",4512280.67512433
"FT030",101.10777360144,525.771179199219,"Glycine betaine, 13C5, 15N",3443677.05664569
