"fileid","sample_group","depth","spindir","time"
"190715_Blk_KM1906U14-Blk_C.mzML","Blank","Blank","Blank","Blank"
"190715_Poo_TruePooFK180310_Full1.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Poo_TruePooFK180310_Full2.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Poo_TruePooFK180310_Full3.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Poo_TruePooFK180310_Half1.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Poo_TruePooFK180310_Half2.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Poo_TruePooFK180310_Half3.mzML","Pooled","Pooled","Pooled","Pooled"
"190715_Smp_FK180310S62C1-25m_A.mzML","Sample","DCM","Cyclone","Morning"
"190715_Smp_FK180310S62C1-25m_B.mzML","Sample","DCM","Cyclone","Morning"
"190715_Smp_FK180310S62C1-25m_C.mzML","Sample","DCM","Cyclone","Morning"
"190715_Smp_FK180310S62C1-DCM_A.mzML","Sample","25m","Cyclone","Morning"
"190715_Smp_FK180310S62C1-DCM_B.mzML","Sample","25m","Cyclone","Morning"
"190715_Smp_FK180310S62C1-DCM_C.mzML","Sample","25m","Cyclone","Morning"
"190715_Smp_FK180310S64C1-25m_A.mzML","Sample","DCM","Cyclone","Afternoon"
"190715_Smp_FK180310S64C1-25m_B.mzML","Sample","DCM","Cyclone","Afternoon"
"190715_Smp_FK180310S64C1-25m_C.mzML","Sample","DCM","Cyclone","Afternoon"
"190715_Smp_FK180310S64C1-DCM_A.mzML","Sample","25m","Cyclone","Afternoon"
"190715_Smp_FK180310S64C1-DCM_B.mzML","Sample","25m","Cyclone","Afternoon"
"190715_Smp_FK180310S64C1-DCM_C.mzML","Sample","25m","Cyclone","Afternoon"
"190715_Smp_FK180310S77C1-25m_A.mzML","Sample","DCM","Anticyclone","Morning"
"190715_Smp_FK180310S77C1-25m_B.mzML","Sample","DCM","Anticyclone","Morning"
"190715_Smp_FK180310S77C1-25m_C.mzML","Sample","DCM","Anticyclone","Morning"
"190715_Smp_FK180310S77C1-DCM_A.mzML","Sample","25m","Anticyclone","Morning"
"190715_Smp_FK180310S77C1-DCM_B.mzML","Sample","25m","Anticyclone","Morning"
"190715_Smp_FK180310S77C1-DCM_C.mzML","Sample","25m","Anticyclone","Morning"
"190715_Smp_FK180310S80C1-25m_A.mzML","Sample","DCM","Anticyclone","Afternoon"
"190715_Smp_FK180310S80C1-25m_B.mzML","Sample","DCM","Anticyclone","Afternoon"
"190715_Smp_FK180310S80C1-25m_C.mzML","Sample","DCM","Anticyclone","Afternoon"
"190715_Smp_FK180310S80C1-DCM_A.mzML","Sample","25m","Anticyclone","Afternoon"
"190715_Smp_FK180310S80C1-DCM_B.mzML","Sample","25m","Anticyclone","Afternoon"
"190715_Smp_FK180310S80C1-DCM_C.mzML","Sample","25m","Anticyclone","Afternoon"
"190715_Std_4uMStdsMix1InH2O_1.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InH2O_2.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InMatrix_1.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InMatrix_2.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InH2O_1.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InH2O_2.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InMatrix_1.mzML","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InMatrix_2.mzML","Std","Std","Std","Std"
"190715_Std_H2OinMatrix_1.mzML","Std","Std","Std","Std"
"190715_Std_H2OinMatrix_2.mzML","Std","Std","Std","Std"
