"file_name","depth","station","spindir","time","cruise"
"170706_Blk_Blk0p2_1.mzML","Blk","Blk","Blk","Blk","Blk"
"170706_Blk_Blk0p2_2.mzML","Blk","Blk","Blk","Blk","Blk"
"190715_Blk_KM1906U14-Blk_C.mzML","Blk","Blk","Blk","Blk","Blk"
"190715_Poo_TruePooFK180310_Full1.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Poo_TruePooFK180310_Full2.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Poo_TruePooFK180310_Full3.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Poo_TruePooFK180310_Half1.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Poo_TruePooFK180310_Half2.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Poo_TruePooFK180310_Half3.mzML","Poo","Poo","Poo","Poo","Poo"
"190715_Smp_FK180310S62C1-25m_A.mzML","25m","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S62C1-25m_B.mzML","25m","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S62C1-25m_C.mzML","25m","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S62C1-DCM_A.mzML","DCM","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S62C1-DCM_B.mzML","DCM","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S62C1-DCM_C.mzML","DCM","S62","Cyclone","4pm","Falkor"
"190715_Smp_FK180310S64C1-25m_A.mzML","25m","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S64C1-25m_B.mzML","25m","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S64C1-25m_C.mzML","25m","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S64C1-DCM_A.mzML","DCM","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S64C1-DCM_B.mzML","DCM","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S64C1-DCM_C.mzML","DCM","S64","Cyclone","4am","Falkor"
"190715_Smp_FK180310S77C1-25m_A.mzML","25m","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S77C1-25m_B.mzML","25m","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S77C1-25m_C.mzML","25m","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S77C1-DCM_A.mzML","DCM","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S77C1-DCM_B.mzML","DCM","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S77C1-DCM_C.mzML","DCM","S77","Anticyclone","4pm","Falkor"
"190715_Smp_FK180310S80C1-25m_A.mzML","25m","S80","Anticyclone","4am","Falkor"
"190715_Smp_FK180310S80C1-25m_B.mzML","25m","S80","Anticyclone","4am","Falkor"
"190715_Smp_FK180310S80C1-25m_C.mzML","25m","S80","Anticyclone","4am","Falkor"
"190715_Smp_FK180310S80C1-DCM_A.mzML","DCM","S80","Anticyclone","4am","Falkor"
"190715_Smp_FK180310S80C1-DCM_B.mzML","DCM","S80","Anticyclone","4am","Falkor"
"190715_Smp_FK180310S80C1-DCM_C.mzML","DCM","S80","Anticyclone","4am","Falkor"
"190715_Std_4uMStdsMix1InH2O_1.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InH2O_2.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InMatrix_1.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix1InMatrix_2.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InH2O_1.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InH2O_2.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InMatrix_1.mzML","Std","Std","Std","Std","Std"
"190715_Std_4uMStdsMix2InMatrix_2.mzML","Std","Std","Std","Std","Std"
"190715_Std_H2OinMatrix_1.mzML","Std","Std","Std","Std","Std"
"190715_Std_H2OinMatrix_2.mzML","Std","Std","Std","Std","Std"
