"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT001",61.9870728092564,289.749847412109,285983213.682222,"190715_Blk_KM1906U14-Blk_C.mzML",226469287.91375,"Uracil, 15N2, 2H2",207785253.647175
"FT001",61.9870536503308,282.238708496094,333270689.449122,"190715_Poo_TruePooFK180310_Full1.mzML",316074816.748535,"Uracil, 15N2, 2H2",288980648.881067
"FT001",61.9870792176821,281.355924,305895300.720526,"190715_Poo_TruePooFK180310_Full2.mzML",285860548.283424,"Uracil, 15N2, 2H2",397170994.359829
"FT001",61.9871143579171,278.825164794922,447085342.539848,"190715_Poo_TruePooFK180310_Full3.mzML",411848689.207596,"Uracil, 15N2, 2H2",404197343.438047
"FT001",61.9870546100363,286.277709960938,239964204.183429,"190715_Poo_TruePooFK180310_Half1.mzML",202952629.013863,"Uracil, 15N2, 2H2",151039999.498776
"FT001",61.9870715462413,281.399871826172,116308228.147732,"190715_Poo_TruePooFK180310_Half2.mzML",99842895.5930138,"Uracil, 15N2, 2H2",141942221.868334
"FT001",61.9871089262716,280.40869140625,267762332.219189,"190715_Poo_TruePooFK180310_Half3.mzML",236681637.659721,"Uracil, 15N2, 2H2",205912387.42532
"FT001",61.987079208166,280.420684814453,232644278.097769,"190715_Smp_FK180310S62C1-25m_A.mzML",188137379.342865,"Uracil, 15N2, 2H2",190287465.642205
"FT001",61.9870766134492,280.432281494141,536653292.298486,"190715_Smp_FK180310S62C1-25m_B.mzML",509364371.281998,"Uracil, 15N2, 2H2",394498764.969999
"FT001",61.9870527686606,278.604309082031,468951302.200327,"190715_Smp_FK180310S62C1-25m_C.mzML",451763698.686417,"Uracil, 15N2, 2H2",487981775.014631
"FT001",61.9871014314345,280.447723388672,306403270.174989,"190715_Smp_FK180310S62C1-DCM_A.mzML",289020513.521446,"Uracil, 15N2, 2H2",263332386.318183
"FT001",61.9870654086057,278.688049316406,295903421.659547,"190715_Smp_FK180310S62C1-DCM_B.mzML",268011420.898247,"Uracil, 15N2, 2H2",176405454.201038
"FT001",61.9870677510545,277.753540039062,873138218.101149,"190715_Smp_FK180310S62C1-DCM_C.mzML",862947476.648834,"Uracil, 15N2, 2H2",685809853.055035
"FT001",61.9870714885478,278.582763671875,425692287.769126,"190715_Smp_FK180310S64C1-25m_A.mzML",375096319.532532,"Uracil, 15N2, 2H2",294100176.779436
"FT001",61.9870640834786,278.466003417969,269226174.168869,"190715_Smp_FK180310S64C1-25m_B.mzML",236905411.333763,"Uracil, 15N2, 2H2",359751343.043806
"FT001",61.9870678453374,280.436004638672,475755461.562056,"190715_Smp_FK180310S64C1-25m_C.mzML",447134243.860199,"Uracil, 15N2, 2H2",494868122.414441
"FT001",61.9870867104473,281.363433837891,188541940.278044,"190715_Smp_FK180310S64C1-DCM_A.mzML",160148948.855782,"Uracil, 15N2, 2H2",193837827.39843
"FT001",61.987088215193,280.458343505859,229489383.023936,"190715_Smp_FK180310S64C1-DCM_B.mzML",200840383.876976,"Uracil, 15N2, 2H2",165838375.287563
"FT001",61.9870890778882,279.554534912109,346473739.324765,"190715_Smp_FK180310S64C1-DCM_C.mzML",302948543.802719,"Uracil, 15N2, 2H2",232871551.442255
"FT001",61.9870512157073,279.485443115234,344081469.474364,"190715_Smp_FK180310S77C1-25m_A.mzML",308076762.754066,"Uracil, 15N2, 2H2",256003610.870429
"FT001",61.987069158769,277.832092285156,190495564.975441,"190715_Smp_FK180310S77C1-25m_B.mzML",166482762.986073,"Uracil, 15N2, 2H2",253641380.558112
"FT001",61.987076096035,280.764038085938,472274920.385599,"190715_Smp_FK180310S77C1-25m_C.mzML",452661703.942856,"Uracil, 15N2, 2H2",585610045.982685
"FT001",61.9870726296612,276.744781494141,329217884.653551,"190715_Smp_FK180310S77C1-DCM_A.mzML",293822391.119125,"Uracil, 15N2, 2H2",265571145.529191
"FT001",61.9870764741877,277.648284912109,236039866.889622,"190715_Smp_FK180310S77C1-DCM_B.mzML",203859440.541512,"Uracil, 15N2, 2H2",239237020.803764
