"feature","mzmed","rtmed","avginto"
"FT015",97.9582468711365,782.675750732422,317183235.387999
"FT017",98.9546658320899,782.718017578125,1850695807.62165
"FT018",98.9630502344141,782.338592529297,346549218.799251
"FT056",134.882543492094,565.185036,73013611.2163765
"FT082",173.141826216888,89.4797210693359,705271.979261993
"FT083",174.838549787562,492.475494384766,63664585.1621461
"FT085",176.835941673017,492.151885986328,35742104.0049752
"FT087",176.916198178725,783.06005859375,61712637.3622169
"FT100",195.92645705961,782.752868652344,87550399.1388133
"FT101",196.922808878935,782.743530273438,531311297.581364
"FT102",196.930661897064,781.972900390625,85311955.7705698
"FT134",315.865036269848,782.85205078125,103688074.461602
"FT135",316.860918907472,783.308166503906,183172026.784265
"FT137",324.256840413638,75.9530448913574,546298.812766975
"FT148",353.149616398019,602.383026123047,23070785.1837212
