"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT014",101,94.955949027974,94.9558868408203,94.9559860229492,581.169982910156,570.873840332031,609.101013183594,9819581.62015159,9401125.34400296,475548.78125,47,1,"170706_Blk_Blk0p2_1.mzML","N15",8358506.94987726
"FT014",338,94.9559884636782,94.9559326171875,94.9560317993164,580.002502441406,561.410034179688,603.676391601562,6145312.32165754,5860692.04367423,368024.96875,36,2,"170706_Blk_Blk0p2_2.mzML","N15",5185604.61569452
"FT014",502,94.9559144893001,94.9558639526367,94.9560546875,571.403991699219,555.581604003906,591.406066894531,13194862.1716358,13111429.69456,1230996.875,52,3,"190715_Blk_KM1906U14-Blk_C.mzML","N15",12445903.4646368
"FT014",604,94.955891974453,94.9558563232422,94.9559631347656,580.100891113281,563.433349609375,614.769348144531,20846470.4141466,17424954.5959205,907485.6875,33,4,"190715_Poo_TruePooFK180310_Full1.mzML","N15",20478882.8542376
"FT014",673,94.9559183305088,94.9558410644531,94.9559707641602,578.383188,563.666412,592.063356,14624358.5955977,12866713.7260026,1182297.375,37,5,"190715_Poo_TruePooFK180310_Full2.mzML","N15",14448273.5685148
"FT014",756,94.9559894918614,94.955940246582,94.9560394287109,582.923217773438,565.055053710938,607.041748046875,27607601.4604894,27015352.2095184,1312171.375,29,6,"190715_Poo_TruePooFK180310_Full3.mzML","N15",26764386.8592567
"FT014",4429,94.9558931775718,94.9558639526367,94.9559860229492,574.398254394531,561.473083496094,598.927124023438,10029438.7188663,NA,874672.875,NA,7,"190715_Poo_TruePooFK180310_Half1.mzML","N15",13079349.3426542
"FT014",4529,94.9559120901686,94.9558639526367,94.9559860229492,570.803344726562,561.473083496094,598.927124023438,10192042.274016,NA,918774.25,NA,8,"190715_Poo_TruePooFK180310_Half2.mzML","N15",12477488.365984
"FT014",927,94.9559857507445,94.955924987793,94.9560394287109,573.974243164062,544.493957519531,604.301879882812,20259697.0795876,18839359.5957458,1004435.3125,59,9,"190715_Poo_TruePooFK180310_Half3.mzML","N15",20579701.8926497
"FT014",998,94.9559353199642,94.9558639526367,94.9560317993164,572.099426269531,549.4951171875,593.827819824219,17768563.7207956,17060571.3072246,1284101.125,34,10,"190715_Smp_FK180310S62C1-25m_A.mzML","N15",17528497.4356136
"FT014",1090,94.9559241996525,94.9558563232422,94.9559860229492,582.491333007812,566.492553710938,601.996704101562,21359961.3889576,18886129.7339072,1112833.25,35,11,"190715_Smp_FK180310S62C1-25m_B.mzML","N15",20198484.9494238
"FT014",1175,94.9559070256728,94.9558715820312,94.9559936523438,575.69873046875,561.439453125,599.098022460938,9291997.79334003,7657437.43252741,643789.5,30,12,"190715_Smp_FK180310S62C1-25m_C.mzML","N15",9596116.6533432
"FT014",1254,94.9559374169364,94.9558410644531,94.9560012817383,576.67578125,557.915710449219,598.927124023438,7380718.0469874,5997168.06635375,528043.6875,33,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","N15",7467351.4246521
"FT014",5057,94.9559120713268,94.9558639526367,94.9559860229492,580.463745117188,561.473083496094,598.927124023438,3631562.6981896,NA,298720.75,NA,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","N15",4762881.23891568
"FT014",1409,94.9559280939954,94.9558868408203,94.9559936523438,578.034240722656,561.686584472656,609.584716796875,22067624.3952032,18511909.2482013,1121752.375,30,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","N15",21799507.6013803
"FT014",5234,94.955916638887,94.9558639526367,94.9559860229492,580.358642578125,561.473083496094,598.927124023438,15393736.2879957,NA,974227.6875,NA,16,"190715_Smp_FK180310S64C1-25m_A.mzML","N15",16253635.0732231
"FT014",1581,94.9559030485683,94.955810546875,94.9561080932617,581.59619140625,566.886047363281,593.221496582031,2754697.17180524,2555309.56120123,292664.90625,30,17,"190715_Smp_FK180310S64C1-25m_B.mzML","N15",2814153.6753639
"FT014",1645,94.9559113983633,94.9558486938477,94.9559936523438,577.654235839844,560.016174316406,595.853637695312,16942180.8506469,14122919.7338399,1282215.5,47,18,"190715_Smp_FK180310S64C1-25m_C.mzML","N15",16452825.1779518
"FT014",5500,94.9559376345154,94.9558639526367,94.9559860229492,578.036010742188,561.473083496094,598.927124023438,7728263.38741191,NA,728659.5,NA,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","N15",10159907.3066907
