"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Cl","Ac","H2O_H","Br","X2H"
"FT001",61.9870714885478,280.436004638672,271112055.998621,0,0,0,0,0,0,0,0,0,0,0
"FT002",61.9870661282873,290.52249,145673243.577949,0,0,0,0,0,0,0,0,0,0,0
"FT003",71.012632968116,248.394500732422,18503015.6780499,0,0,0,0,0,0,0,0,0,0,0
"FT004",71.01262140141,259.4052734375,17161602.3427354,0,0,0,0,0,0,0,0,0,0,0
"FT005",78.9176798027042,449.145172119141,2007993890.08927,0,0,0,0,0,0,0,0,0,0,0
"FT006",78.9176753927355,457.437622070312,1222414643.65845,0,0,0,0,0,0,0,0,0,0,0
"FT007",79.9561330279072,788.286254882812,196963240.845332,0,0,14015902,0,0,0,0,0,0,0,0
"FT008",80.9156253622767,449.164749145508,2349234653.14074,0,0,0,0,0,0,0,0,0,0,0
"FT009",80.915630184369,459.284484863281,1372365526.10102,0,0,0,0,0,0,0,0,0,0,0
"FT010",80.9156396840808,451.822601318359,1983724064.41952,0,0,0,0,0,0,0,0,0,0,0
"FT011",91.0208997001033,138.30501,21350675.3299045,0,0,0,0,0,0,0,0,0,0,0
"FT012",92.9587548972871,577.850891113281,44473043.4290842,0,0,0,0,0,0,0,0,0,0,0
"FT013",92.9587535929516,504.178207397461,55655316.1952156,0,0,0,0,0,0,0,0,0,0,0
"FT015",96.958866224386,787.353271484375,41908375902.8687,61805005,0,1897506404,323968043,0,332972580,0,0,0,0,0
"FT016",96.9589480526179,164.290435791016,4288212.13213135,0,0,0,0,0,0,0,0,0,0,0
"FT017",96.9686376158025,574.2265625,212139538.431302,0,0,0,0,0,0,0,0,0,0,0
"FT022",98.965688985987,575.031524658203,93254101.2501158,0,0,0,0,0,0,0,0,0,0,0
"FT023",99.0076109418449,136.07299041748,21326316.7367411,0,0,0,0,0,0,0,0,0,0,0
"FT024",102.026539604042,693.567321777344,465679.80487287,0,0,0,0,0,0,0,0,0,0,0
"FT025",108.936349100792,577.139404296875,6512117.1412685,0,0,0,0,0,0,0,0,0,0,0
"FT026",110.924924365883,572.036499023438,85452882.6753265,0,0,0,0,0,0,0,0,0,0,0
"FT027",110.974644727717,219.216415405273,3087253.87934262,0,0,0,0,0,0,0,0,0,0,0
"FT028",111.925725168455,572.409484863281,9206085.74190885,0,0,0,0,60159909,0,0,0,0,0,0
"FT030",114.019234229685,200.901641845703,12596581.4361683,0,0,0,0,0,0,0,0,0,0,0
"FT032",114.935175323593,180.693984985352,68060223.3017098,0,0,0,0,0,0,0,0,0,0,0
"FT033",114.935213696331,178.069786071778,40312069.1306502,0,0,0,0,0,0,0,0,0,0,0
"FT034",115.02551127201,200.958679199219,23128320.4811963,0,0,0,0,0,0,0,0,0,0,0
"FT035",116.927460107778,948.140014648438,27543634.4638153,0,0,0,0,0,0,0,0,0,0,0
"FT036",116.933383495975,179.883163452148,25538565.4716779,0,0,0,0,0,0,0,0,0,0,0
"FT037",116.933396058201,177.966293334961,20909822.2160048,0,0,0,0,0,0,0,0,0,0,0
"FT038",117.018232745628,694.076599121094,59814811.7075059,0,0,0,0,0,0,0,0,0,0,0
"FT039",121.028425096001,640.088500976562,7120904.13749899,0,0,0,0,0,0,0,0,0,0,0
"FT040",121.043376428326,691.434997558594,29749857.7732054,0,0,0,0,0,0,0,0,0,0,0
"FT041",122.046648227082,691.603424072266,705769.298148874,0,0,0,0,0,0,0,0,0,0,0
