"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT001",61.9870714885478,279.274475097656,"Thymine, D4",310483230.77995
"FT002",71.0126322408146,248.430557250977,"None",20571531.9805481
"FT003",78.9176798027042,447.511047363281,"Adenosine Monophosphate, 15N5",2315824088.90756
"FT004",78.9176750579834,454.646453857422,"Adenosine Monophosphate, 15N5",1471296771.0944
"FT005",79.9561330279072,783.624877929688,"None",211875035.572439
"FT006",80.9156282814241,447.786682128906,"Adenosine Monophosphate, 15N5",2670913468.80037
"FT007",80.915628875669,452.642154,"Thymine, D4",1835906441.44994
"FT008",91.0208999866846,138.096397399903,"Adenosine Monophosphate, 15N5",23663470.8219913
"FT009",92.9587560726902,574.435699462891,"Adenosine Monophosphate, 15N5",46748618.1114042
"FT010",92.9587538629653,502.700439453125,"Adenosine Monophosphate, 15N5",63951757.4751375
"FT011",94.955911759139,574.380676269531,"Thymine, D4",15543149.6162389
"FT012",96.958866224386,782.61376953125,"None",47455036339.7058
"FT013",96.9589477898294,163.861373901367,"Thymine, D4",4229911.30301638
"FT014",96.9686383914817,571.647705078125,"Adenosine Monophosphate, 15N5",234027265.716045
"FT016",97.963040780911,781.97998046875,"None",65150695.4243964
"FT019",98.9656891371642,571.693420410156,"Thymine, D4",91388483.839241
"FT020",99.0076120341295,137.502487182617,"None",13582385.0644741
"FT021",102.02653503418,691.950744628906,"None",417675.658134987
"FT022",108.936349837994,573.527258042969,"Adenosine Monophosphate, 15N5",6503080.1860614
"FT023",110.924924240634,568.583862304688,"Adenosine Monophosphate, 15N5",79764407.132349
"FT024",110.974644854532,218.83098602295,"Thymine, D4",3989676.26762927
"FT025",111.925727233498,569.099212646484,"Adenosine Monophosphate, 15N5",8904147.31610367
"FT026",112.922058635941,568.405059814453,"Adenosine Monophosphate, 15N5",62915333.4215612
"FT027",114.019234229685,200.408660888672,"Thymine, D4",12444864.9033519
"FT028",114.919255388148,569.533569335938,"Adenosine Monophosphate, 15N5",13307539.0306669
"FT029",114.935182069039,179.93514251709,"Adenosine Monophosphate, 15N5",83416084.8845873
"FT030",115.002580625569,594.745056152344,"Adenosine Monophosphate, 15N5",8037822.63730133
"FT031",115.02551127201,200.714828491211,"Thymine, D4",23057171.8816961
"FT032",116.92745936044,949.410522460938,"Adenosine Monophosphate, 15N5",30804256.5593754
"FT033",116.933382391459,177.572479248047,"Thymine, D4",37154942.2542268
"FT034",117.018232812159,689.883880615234,"Adenosine Monophosphate, 15N5",55597785.4088952
"FT035",118.940951448587,817.218092177734,"Adenosine Monophosphate, 15N5",67944164.0952017
"FT036",121.02842578378,615.671356201172,"Adenosine Monophosphate, 15N5",9645097.3198315
"FT037",121.043376428326,687.321655273438,"None",29411154.4009595
"FT038",122.04664372907,688.082489013672,"None",674703.394171575
"FT039",124.006345509056,582.71240234375,"None",24740642.7505971
"FT040",124.006337904358,592.059448242188,"Thymine, D4",12828114.2194683
"FT041",124.990367753417,367.736877441406,"Thymine, D4",31237681.7932708
"FT042",124.990366440807,163.884414672852,"Thymine, D4",10084442.9966224
"FT043",124.990359741313,389.471618652344,"Thymine, D4",44311085.2116333
"FT044",126.90398959443,286.602081298828,"None",82582689.1559633
"FT045",126.997065624242,367.909545898438,"Thymine, D4",14018920.7607821
"FT046",126.997085288228,392.5595703125,"Thymine, D4",5311034.09004584
"FT047",128.031491556537,583.164847601563,"None",4393651.89395076
"FT048",128.034293368459,373.256591796875,"Thymine, D4",36655869.5785006
"FT049",128.891123396428,565.752990722656,"None",1334320274.51857
"FT051",131.083433589182,388.842422485351,"None",1294471.40998051
"FT052",132.866885293715,574.91796875,"Thymine, D4",16324700.3654129
"FT053",133.013257107299,731.00927734375,"None",6982639.39782776
"FT054",134.046223292792,227.837768554688,"Thymine, D4",48373567.6204009
"FT055",134.046208300701,143.469024658203,"None",30514816.8984278
"FT057",136.040315622504,229.492523193359,"Thymine, D4",36884957.2162993
"FT058",136.939090642427,818.815856933594,"None",289267663.902274
"FT059",136.939071313487,812.327087402344,"Adenosine Monophosphate, 15N5",465712553.817538
"FT060",140.918328336825,450.34437918457,"Adenosine Monophosphate, 15N5",224072305.914851
"FT061",140.918323881387,459.463836669922,"Thymine, D4",123131663.594331
"FT062",140.964631487108,1186.5951538086,"Adenosine Monophosphate, 15N5",57591229.1113986
"FT063",140.976394147801,776.680786132812,"None",6899268.29485653
"FT064",142.916296162583,451.971023559571,"Adenosine Monophosphate, 15N5",234822695.732921
"FT065",142.916287612586,459.219390869141,"Thymine, D4",129785995.396231
"FT066",143.106836369263,104.461811065674,"Adenosine Monophosphate, 15N5",11133832.8190645
"FT067",145.060946234628,593.599884033203,"None",7331437.67604424
"FT068",145.060927506098,611.456207275391,"Thymine, D4",4750421.36738636
"FT069",146.044966901371,647.139343261719,"None",23519667.4190829
"FT070",150.041255408338,401.640762329101,"None",33141062.358405
"FT071",150.041267719445,418.306488037109,"Thymine, D4",5712878.281125
"FT072",152.946881909812,574.77392578125,"Adenosine Monophosphate, 15N5",3973725.7872166
"FT073",153.038677795654,400.739501953125,"None",12686902.4097043
"FT074",155.058476664056,580.345611572266,"None",2568144.46173688
"FT075",162.992440897509,823.539215087891,"None",1135815.25999769
"FT076",165.018573533464,612.744262695313,"Adenosine Monophosphate, 15N5",20638204.0611687
"FT077",165.01856268684,720.972778320312,"None",5222880.76636894
"FT078",167.836046447836,575.828216552734,"Thymine, D4",2639129.21369735
"FT079",169.833299845912,575.661315917969,"Thymine, D4",3398484.81171602
"FT081",172.840942739817,492.151885986328,"None",38635003.5944998
"FT084",175.839400931047,491.618560791016,"None",6914512.62650029
"FT086",176.83593354805,507.610321044922,"Thymine, D4",7132235.85640724
"FT088",178.814584416043,477.296142578125,"Adenosine Monophosphate, 15N5",7954734.59154897
"FT089",178.833221111187,491.242218017578,"None",7952780.1753311
"FT090",179.086790388123,245.568138122558,"None",19064361.3126161
"FT091",179.086832822023,275.703521728516,"Thymine, D4",6524739.49247157
"FT092",180.03309650401,115.674236297608,"None",1959535.39974206
"FT093",180.826368122654,472.168548583984,"Adenosine Monophosphate, 15N5",36307263.264261
"FT094",182.82434311519,472.605026245118,"Adenosine Monophosphate, 15N5",83078743.7198259
"FT095",184.822316266749,470.014221191406,"Adenosine Monophosphate, 15N5",35928827.8861595
"FT096",186.006414389627,214.189811706543,"Thymine, D4",2063880.94232839
"FT097",186.025296679771,652.741088867188,"Thymine, D4",2802535.58133563
"FT098",186.154168607431,87.9489059448242,"None",662551.496538615
"FT099",194.926965806523,782.718017578125,"None",6547858260.93723
"FT103",203.868557889061,178.526397705078,"Adenosine Monophosphate, 15N5",25915767.3665451
"FT104",205.866790706011,175.587295532227,"None",18835027.5740313
"FT105",207.011805229119,110.675964355469,"None",525537.669165216
"FT106",209.008899938495,946.472534179688,"None",1827266.87441248
"FT107",212.07475299721,98.3743438720703,"Adenosine Monophosphate, 15N5",448157368.151155
"FT108",216.790841621619,485.384567260743,"Thymine, D4",12911555.1894593
"FT109",216.896628566849,808.151569140625,"Adenosine Monophosphate, 15N5",180926143.124905
"FT110",216.89657255713,784.509399414062,"Adenosine Monophosphate, 15N5",274943253.98049
"FT111",216.909064797857,785.478179931641,"Adenosine Monophosphate, 15N5",207262444.628703
"FT112",217.048206421306,519.893615722656,"None",3886411.05602269
"FT113",218.788696683399,485.695709228516,"L-Cysteic Acid, D3",29077030.815815
"FT114",218.893716476693,792.339691162109,"Adenosine Monophosphate, 15N5",41561490.7675524
"FT115",220.786422411309,485.550491333008,"Thymine, D4",24049718.4665582
"FT116",222.783975105322,484.606711670899,"Thymine, D4",6403778.09770265
"FT117",222.814704702261,505.6796875,"Thymine, D4",3724513.7274054
"FT118",224.811794404374,506.159606933594,"Thymine, D4",15341014.5629815
"FT119",224.811842323271,501.784606933594,"Thymine, D4",6957595.0099677
"FT120",226.808906504633,505.498077392578,"Thymine, D4",9916066.10799643
"FT121",238.891858717821,1041.66589355468,"Adenosine Monophosphate, 15N5",1168217.79532351
"FT122",244.082670975461,516.697448730469,"None",8901841.76995788
"FT123",246.057411638923,537.714538574219,"Thymine, D4",2175451.99763966
"FT124",261.096554168176,194.41219329834,"Thymine, D4",5491323.52980725
"FT125",262.738740494598,449.590179443359,"L-Cysteic Acid, D3",54719774.7509073
"FT126",264.736711519338,449.574172973632,"L-Cysteic Acid, D3",57789615.8264201
"FT127",266.734554009867,449.912918090821,"L-Cysteic Acid, D3",22976575.0884736
"FT128",267.072442974281,595.798950195312,"None",28037451.3836204
"FT129",267.072392282795,609.6103515625,"Thymine, D4",14704908.2143489
"FT130",267.073791284702,373.335174560547,"Thymine, D4",14984210.2114521
"FT131",292.895166560271,783.686096191406,"Adenosine Monophosphate, 15N5",54099444.757526
"FT132",309.271109176792,75.0441207885742,"None",4328480.46198664
"FT133",314.864670871858,782.85205078125,"None",852063621.11034
"FT136",317.055042100284,656.481994628906,"Thymine, D4",5876289.35246973
"FT138",330.842138448491,782.753936767578,"Adenosine Monophosphate, 15N5",133180984.574926
"FT139",332.264924823194,75.0441207885742,"None",5738675.57398419
"FT140",338.238990503877,83.613410949707,"None",612484.48078463
"FT141",341.109222180842,602.652618408203,"None",9751389.10509419
"FT142",341.109145213563,616.880981445312,"Thymine, D4",4474362.2738338
"FT143",343.273318078395,85.3291320800781,"None",1414215.07982422
"FT145",352.146433177353,654.515838623047,"None",2163404.36519703
"FT146",353.149573465702,612.475952148438,"Thymine, D4",6160985.54412603
"FT147",353.149596301105,654.744995117188,"None",21799615.1166782
"FT149",412.831926597392,784.280944824219,"None",47266222.4935243
"FT150",620.851130985402,784.163391113281,"L-Cysteic Acid, D3",6155900.10366901
