"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","M_area","C13_match","C13_area","X2C13_match","X2C13_area","S34_match","S34_area","S33_match","S33_area","N15_match","N15_area","O18_match","O18_area","Na_match","Na_area","NH4_match","NH4_area","H2O_H_match","H2O_H_area","K_match","K_area","X2H_match","X2H_area","BMIS","BMISed_area"
"FT001",476,61.9870728092564,61.9870567321777,61.9870834350586,278.124847412109,261.832366943359,330.398742675781,285983213.682222,252867096.592009,10664139,86,3,"190715_Blk_KM1906U14-Blk_C.mzML",267824847.979393,0,0,0,0,0,0,0,0,0,0,0.104999574632276,765089.078352928,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",251978685.548803
"FT001",566,61.9870536503308,61.9870414733887,61.9870643615723,279.21807,264.626166,322.131786,333270689.449122,311266844.19035,14193469,89,4,"190715_Poo_TruePooFK180310_Full1.mzML",330096529.315239,0,0,0,0,0,0,0,0,0,0,0.227827971510684,2517442.81142402,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",301710612.4269
"FT001",641,61.9870792176821,61.9870681762695,61.9870948791504,278.336090087891,258.186492919922,343.118011474609,305895300.720526,292606321.347004,10525461,73,5,"190715_Poo_TruePooFK180310_Full2.mzML",303136877.77549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",376430114.906926
"FT001",714,61.9871143579171,61.9871025085449,61.9871253967285,278.978515625,256.105010986328,342.855102539062,447085342.539848,426913251.705044,15484680,72,6,"190715_Poo_TruePooFK180310_Full3.mzML",447265164.554733,0,0,0,0,0,0,0,0,0,0,0.587230871321487,4649862.05300379,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",428616792.562179
"FT001",791,61.9870546100363,61.9870376586914,61.9870643615723,279.935638427734,263.769958496094,315.555511474609,239964204.183429,162333300.041812,8962552,65,7,"190715_Poo_TruePooFK180310_Half1.mzML",201555297.258255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",160306791.86216
"FT001",842,61.9870715462413,61.9870529174805,61.9870910644531,282.929840087891,270.080352783203,297.549285888672,116308228.147732,108589101.459338,6625923,62,8,"190715_Poo_TruePooFK180310_Half2.mzML",114220004.049957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",142069328.647138
"FT001",898,61.9871089262716,61.9870910644531,61.9871292114258,278.328857421875,263.723999023438,331.273132324219,267762332.219189,248002155.395085,9078730,91,9,"190715_Poo_TruePooFK180310_Half3.mzML",264650999.038155,0,0,0,0,0,0,0,0,0,0,0.595670986362843,3560558.91550958,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",243016549.223043
"FT001",970,61.987079208166,61.9870681762695,61.9870948791504,281.773681640625,262.573272705078,329.192016601562,232644278.097769,220997694.993037,8242973,64,10,"190715_Smp_FK180310S62C1-25m_A.mzML",230480664.191559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",228507872.840618
"FT001",1039,61.9870766134492,61.9870681762695,61.9870910644531,281.833679199219,255.657409667969,327.51611328125,536653292.298486,522021907.845662,19001166,88,11,"190715_Smp_FK180310S62C1-25m_B.mzML",527258969.130127,0,0,0,0,0,0,0,0,0,0,0.649373330086241,4362065.82330656,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",419253756.541717
"FT001",1129,61.9870527686606,61.9870452880859,61.9870643615723,278.36376953125,260.876586914062,346.642761230469,468951302.200327,445515133.38969,17484502,93,12,"190715_Smp_FK180310S62C1-25m_C.mzML",475358090.730774,0,0,0,0,0,0,0,0,0,0,0.517572632518301,3783764.34106457,0,0,0,0,0,0,0,0,0,0,"Thymine, D4",492276617.050931
