"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT001",60.0581492423036,568.8212890625,230097.409875122,"190715_Blk_KM1906U14-Blk_C.mzML",827845.162145674,"Adenine, 15N2",731117.782389716
"FT001",60.0581670753579,559.50244140625,2540095.35855021,"190715_Poo_TruePooFK180310_Full1.mzML",2179384.09704483,"Adenine, 15N2",2030696.92555577
"FT001",60.0581927025199,562.295178,2334229.16741705,"190715_Poo_TruePooFK180310_Full2.mzML",1991620.71329129,"Adenine, 15N2",2334142.2946059
"FT001",60.0581965080995,561.313171386719,2597752.86953753,"190715_Poo_TruePooFK180310_Full3.mzML",2524091.45292282,"Adenine, 15N2",2376583.31346982
"FT001",60.0581795868196,569.98193359375,864961.99072367,"190715_Poo_TruePooFK180310_Half1.mzML",868221.658457518,"Adenine, 15N2",831925.744564108
"FT001",60.0581685088188,556.627563476562,500983.12817793,"190715_Poo_TruePooFK180310_Half2.mzML",534988.354865283,"Adenine, 15N2",606720.143307406
"FT001",60.0581793020519,567.232971191406,863946.12823387,"190715_Poo_TruePooFK180310_Half3.mzML",848392.840276837,"Adenine, 15N2",1077617.74778385
"FT001",60.0581841963569,569.924621582031,1345760.71540927,"190715_Smp_FK180310S62C1-25m_A.mzML",1279633.16727918,"Adenine, 15N2",1182552.05400707
"FT001",60.0581628812792,561.3876953125,3441257.31877949,"190715_Smp_FK180310S62C1-25m_B.mzML",3094555.13228095,"Adenine, 15N2",2250429.18673481
"FT001",60.0581861164514,562.50732421875,2403477.43267271,"190715_Smp_FK180310S62C1-25m_C.mzML",2302204.72904444,"Adenine, 15N2",1749815.89989596
"FT001",60.0582223839651,564.248229980469,2874264.65591516,"190715_Smp_FK180310S62C1-DCM_A.mzML",2657491.42970181,"Adenine, 15N2",2510535.94706946
"FT001",60.0581783160219,553.936218261719,627841.781511903,"190715_Smp_FK180310S62C1-DCM_B.mzML",596203.082193792,"Adenine, 15N2",402882.351580554
"FT001",60.0581327226854,565.903198242188,4762159.94402858,"190715_Smp_FK180310S62C1-DCM_C.mzML",4644109.26749849,"Adenine, 15N2",3365485.81353083
"FT001",60.0581508445129,557.562194824219,1445551.15943757,"190715_Smp_FK180310S64C1-25m_A.mzML",2867664.34677899,"Adenine, 15N2",2029927.66709988
"FT001",60.0581742159433,558.300659179688,2396687.11814563,"190715_Smp_FK180310S64C1-25m_B.mzML",2319993.78009355,"Adenine, 15N2",2480779.39846873
"FT001",60.0581973942653,561.633911132812,2208738.67799325,"190715_Smp_FK180310S64C1-25m_C.mzML",2126076.28685999,"Adenine, 15N2",1887502.68173895
"FT001",60.0581881369853,561.488830566406,2060636.66197813,"190715_Smp_FK180310S64C1-DCM_A.mzML",2333486.27157247,"Adenine, 15N2",2273653.24113463
"FT001",60.0581781483363,557.647827148438,2996970.85793463,"190715_Smp_FK180310S64C1-DCM_B.mzML",2685987.03563893,"Adenine, 15N2",2144801.6228724
"FT001",60.0581593129847,568.725830078125,3206269.8527765,"190715_Smp_FK180310S64C1-DCM_C.mzML",3115811.14477229,"Adenine, 15N2",2157279.32355563
"FT001",60.0581491142349,554.909240722656,534018.96651669,"190715_Smp_FK180310S77C1-25m_A.mzML",2714945.4176966,"Adenine, 15N2",2382016.00490605
"FT001",60.0581568033089,555.445373535156,1474046.48605588,"190715_Smp_FK180310S77C1-25m_B.mzML",1662625.01842535,"Adenine, 15N2",2146018.72421813
"FT001",60.0581679524529,559.436889648438,2368829.14107464,"190715_Smp_FK180310S77C1-25m_C.mzML",2385006.60175157,"Adenine, 15N2",2518717.96675738
"FT001",60.0581761664976,564.991882324219,1874415.43121824,"190715_Smp_FK180310S77C1-DCM_A.mzML",1790089.63944602,"Adenine, 15N2",1533325.49169714
"FT001",60.0581720597858,561.371398925781,2652686.64332075,"190715_Smp_FK180310S77C1-DCM_B.mzML",2430515.85618603,"Adenine, 15N2",2300594.60749692
"FT001",60.0581254316556,563.916870117188,3448066.45118337,"190715_Smp_FK180310S77C1-DCM_C.mzML",3141242.66937578,"Adenine, 15N2",2376060.53150048
"FT001",60.0581502811197,559.413940429688,630218.109080358,"190715_Smp_FK180310S80C1-25m_A.mzML",2557665.07406771,"Adenine, 15N2",2436892.02267815
"FT001",60.0581893503456,564.266784667969,2568206.24300753,"190715_Smp_FK180310S80C1-25m_B.mzML",2469119.30582893,"Adenine, 15N2",1964500.09530202
"FT001",60.0581816491814,563.212097167969,2582380.88581437,"190715_Smp_FK180310S80C1-25m_C.mzML",2346037.58465695,"Adenine, 15N2",2078245.30280988
"FT001",60.0581611941153,556.130126953125,2270140.93715245,"190715_Smp_FK180310S80C1-DCM_A.mzML",2452212.74798477,"Adenine, 15N2",2885575.09299869
"FT001",60.0581589110354,562.279479980469,3063060.82967805,"190715_Smp_FK180310S80C1-DCM_B.mzML",2987593.50439942,"Adenine, 15N2",2389024.04227152
"FT001",60.0581746098141,568.069580078125,1919173.07989784,"190715_Smp_FK180310S80C1-DCM_C.mzML",1840257.31584215,"Adenine, 15N2",2148709.56026218
"FT001",60.0582033807855,555.640014648438,28371.7286880179,"190715_Std_4uMStdsMix1InH2O_1.mzML",225834.653637171,"Adenine, 15N2",NA
"FT001",60.0581632483809,571.684448242188,486974.654382684,"190715_Std_4uMStdsMix1InH2O_2.mzML",788109.2367118,"Adenine, 15N2",NA
"FT001",60.0581667601643,558.776062011719,701842.232627765,"190715_Std_4uMStdsMix1InMatrix_2.mzML",872408.148856878,"Adenine, 15N2",3322096.72441478
"FT001",60.058173546337,558.267883300781,23853.8500644972,"190715_Std_4uMStdsMix2InH2O_1.mzML",108563.064761549,"Adenine, 15N2",NA
"FT001",60.0581714486566,564.964660644531,740425.260697537,"190715_Std_4uMStdsMix2InH2O_2.mzML",710809.137839615,"Adenine, 15N2",NA
"FT001",60.0581665039062,558.353393554688,16962.371645882,"190715_Std_4uMStdsMix2InMatrix_1.mzML",64688.7634214163,"Adenine, 15N2",187937.173250371
"FT001",60.0581665161088,570.105895996094,694346.139222741,"190715_Std_4uMStdsMix2InMatrix_2.mzML",811487.69975698,"Adenine, 15N2",2666663.08186609
"FT001",60.0581855773926,574.415405273438,14215.9506478093,"190715_Std_H2OinMatrix_1.mzML",51820.9885497093,"Adenine, 15N2",150469.703429437
"FT001",60.0581676684185,564.456115722656,554855.612853075,"190715_Std_H2OinMatrix_2.mzML",716164.028415799,"Adenine, 15N2",3210881.56981521
"FT002",63.0270286499586,496.874572753906,36594.3223796436,"190715_Blk_KM1906U14-Blk_C.mzML",150345.982139722,"Glycine betaine, 13C5, 15N",163454.413794417
"FT002",63.0270495125122,492.618743896484,5306354.06810362,"190715_Poo_TruePooFK180310_Full1.mzML",5089961.79073238,"Glycine betaine, 13C5, 15N",5169877.45036683
"FT002",63.0270540744148,492.58614,4614864.68337671,"190715_Poo_TruePooFK180310_Full2.mzML",4399084.56202555,"Glycine betaine, 13C5, 15N",4833499.61545232
"FT002",63.0270579703004,493.498382568359,6721632.23806504,"190715_Poo_TruePooFK180310_Full3.mzML",6583430.75086451,"Glycine betaine, 13C5, 15N",4743122.83762787
"FT002",63.0270595464714,492.618438720703,2363891.59744939,"190715_Poo_TruePooFK180310_Half1.mzML",2353264.89955115,"Glycine betaine, 13C5, 15N",2725340.64135234
"FT002",63.0270316120598,494.39794921875,2444380.7413157,"190715_Poo_TruePooFK180310_Half2.mzML",2430872.34210086,"Glycine betaine, 13C5, 15N",2536266.59777995
"FT002",63.0270334143784,495.043151855469,4001451.46757516,"190715_Poo_TruePooFK180310_Half3.mzML",4185121.56894231,"Glycine betaine, 13C5, 15N",3129548.60170694
"FT002",63.0270601774705,492.170257568359,1924042.78728644,"190715_Smp_FK180310S62C1-25m_A.mzML",1965630.02021021,"Glycine betaine, 13C5, 15N",2243068.534656
"FT002",63.0270439707956,492.688537597656,4030728.50445111,"190715_Smp_FK180310S62C1-25m_B.mzML",3873629.60960269,"Glycine betaine, 13C5, 15N",2711746.08932771
"FT002",63.0270369630109,491.640350341797,7851046.48571573,"190715_Smp_FK180310S62C1-25m_C.mzML",7159914.2962141,"Glycine betaine, 13C5, 15N",8138291.91203526
"FT002",63.0270848944319,492.597442626953,4901676.25157389,"190715_Smp_FK180310S62C1-DCM_A.mzML",4680904.50332737,"Glycine betaine, 13C5, 15N",4957243.75377381
"FT002",63.0270527357625,491.6328125,6745066.55793781,"190715_Smp_FK180310S62C1-DCM_B.mzML",6279476.57137299,"Glycine betaine, 13C5, 15N",4912736.97983648
"FT002",63.0269986359522,492.261413574219,2689700.68890748,"190715_Smp_FK180310S62C1-DCM_C.mzML",2624157.38868368,"Glycine betaine, 13C5, 15N",1828202.46449241
"FT002",63.0269908907303,493.529418945312,22106298.3389698,"190715_Smp_FK180310S64C1-25m_A.mzML",20665714.1975908,"Glycine betaine, 13C5, 15N",14973111.7972742
"FT002",63.0270315744484,489.864898681641,12244768.9315454,"190715_Smp_FK180310S64C1-25m_B.mzML",11529657.43576,"Glycine betaine, 13C5, 15N",15243935.7320801
"FT002",63.0270603569297,491.696899414062,8871617.28523531,"190715_Smp_FK180310S64C1-25m_C.mzML",8632860.01278353,"Glycine betaine, 13C5, 15N",9443364.96385224
"FT002",63.027049218128,492.588897705078,813429.123867819,"190715_Smp_FK180310S64C1-DCM_A.mzML",1870181.84092706,"Glycine betaine, 13C5, 15N",2137758.508722
"FT002",63.0270318231677,492.188293457031,1857830.59092118,"190715_Smp_FK180310S64C1-DCM_B.mzML",2440087.39503431,"Glycine betaine, 13C5, 15N",2002840.81779173
"FT002",63.027016456906,492.507019042969,6877201.77081274,"190715_Smp_FK180310S64C1-DCM_C.mzML",6647174.96812201,"Glycine betaine, 13C5, 15N",4702789.8194578
"FT002",63.0270086926257,492.570190429688,4669673.84262971,"190715_Smp_FK180310S77C1-25m_A.mzML",4534613.835778,"Glycine betaine, 13C5, 15N",3402462.2423532
"FT002",63.0270327073202,492.801391601562,3107505.96673566,"190715_Smp_FK180310S77C1-25m_B.mzML",2971559.64256227,"Glycine betaine, 13C5, 15N",3375301.54362653
"FT002",63.0270380229727,492.76904296875,2319993.82965851,"190715_Smp_FK180310S77C1-25m_C.mzML",2197620.9665736,"Glycine betaine, 13C5, 15N",2625815.20924202
"FT002",63.0270356429743,492.637878417969,7186928.26499983,"190715_Smp_FK180310S77C1-DCM_A.mzML",6644434.05640602,"Glycine betaine, 13C5, 15N",6829401.29405346
"FT002",63.0270234599509,492.585632324219,1799526.77426684,"190715_Smp_FK180310S77C1-DCM_B.mzML",1735224.44422066,"Glycine betaine, 13C5, 15N",1852031.11602962
"FT002",63.027007104922,493.523773193359,3543946.27859286,"190715_Smp_FK180310S77C1-DCM_C.mzML",3487151.50683081,"Glycine betaine, 13C5, 15N",2388542.76522401
"FT002",63.026985323172,492.586151123047,5406019.42236374,"190715_Smp_FK180310S80C1-25m_A.mzML",5359449.87789655,"Glycine betaine, 13C5, 15N",3940495.55587947
"FT002",63.0270606367544,492.586151123047,8243359.98902668,"190715_Smp_FK180310S80C1-25m_B.mzML",7956986.06212187,"Glycine betaine, 13C5, 15N",7807404.75225715
"FT002",63.0270525088338,492.577484130859,5902984.28650585,"190715_Smp_FK180310S80C1-25m_C.mzML",5618105.55753279,"Glycine betaine, 13C5, 15N",5841557.41817451
"FT002",63.0270206128632,491.4453125,2402884.94983341,"190715_Smp_FK180310S80C1-DCM_A.mzML",2286663.69817066,"Glycine betaine, 13C5, 15N",2506494.3232564
"FT002",63.0270309004171,492.586151123047,7689069.76888186,"190715_Smp_FK180310S80C1-DCM_B.mzML",7361172.20794272,"Glycine betaine, 13C5, 15N",5244667.74091496
"FT002",63.0270494250762,493.469848632812,4664732.63906097,"190715_Smp_FK180310S80C1-DCM_C.mzML",4605482.16129327,"Glycine betaine, 13C5, 15N",4876952.68099757
"FT002",63.0269885318548,490.705902099609,1596220.98855323,"190715_Std_4uMStdsMix1InMatrix_1.mzML",1605490.31961244,"Glycine betaine, 13C5, 15N",2899752.82773704
"FT002",63.02703175485,491.330078125,718734.291520211,"190715_Std_4uMStdsMix1InMatrix_2.mzML",1138076.1769067,"Glycine betaine, 13C5, 15N",2230186.02307987
"FT002",63.0270048305645,501.268859863281,3135527.93624289,"190715_Std_4uMStdsMix2InH2O_1.mzML",3785527.51850104,"Glycine betaine, 13C5, 15N",NA
"FT002",63.0270220696391,502.929565429688,3868815.33902378,"190715_Std_4uMStdsMix2InH2O_2.mzML",5130578.91584921,"Glycine betaine, 13C5, 15N",NA
