"feature","mzmed","rtmed","adduct_type"
"FT014",75.1004451578595,540.361511230469,"C13"
"FT022",77.0733815698439,311.51123046875,"N15"
"FT023",77.0796731070098,312.069213867188,"C13"
"FT025",78.0806044439337,311.703460693359,"O18"
"FT038",86.0606231643725,613.540741298828,"mH2OpH"
"FT055",91.0888778200668,292.209716796875,"N15"
"FT056",91.0951857412567,323.252838134766,"C13"
"FT071",100.024810388716,1180.00524902344,"mH2OpH"
"FT082",104.071036757742,613.821838378906,"NH4"
"FT087",105.110737332191,552.148109572266,"C13"
"FT088",105.110738917546,633.675170898438,"C13"
"FT091",106.075206187542,410.707122802734,"O18"
"FT104",113.054220041634,290.355270385742,"C13"
"FT105",113.054215961578,323.539413452149,"C13"
"FT121",117.074231232415,448.125,"C13"
"FT123",118.05201212321,324.179504394531,"C13"
"FT129",119.052849356816,324.129272460938,"O18"
"FT130",119.083537628621,344.842346191406,"N15"
"FT131",119.089837436047,344.417495727539,"C13"
"FT135",120.081042345954,262.968872070312,"NH4"
"FT136",120.090725877672,344.703308105469,"O18"
"FT137",120.093156448181,344.702880859375,"C13"
"FT141",121.039911327442,189.819213867188,"mH2OpH"
"FT147",122.031568251363,414.542984008789,"S33"
"FT148",122.035384565863,414.705786810547,"C13"
"FT149",122.04323510564,190.335815429688,"C13"
"FT156",123.027880636247,414.702162,"S34"
"FT161",124.004057830953,1190.5376586914,"N15"
"FT163",124.041335876907,1176.02587890625,"mH2OpH"
"FT164",124.041337127248,467.652923583984,"mH2OpH"
"FT165",124.041327831343,767.035034179688,"mH2OpH"
"FT166",124.100250336383,344.132110595703,"C13"
"FT167",124.118099117775,450.158386230469,"C13"
"FT168",125.042749619693,200.727081298828,"C13"
"FT176",127.063470651407,263.20118713379,"N15"
"FT179",128.069884717696,320.472518920898,"N15"
"FT185",130.069365337692,498.923406236328,"C13"
"FT190",131.053428914316,597.437347412109,"C13"
"FT191",131.053453707339,647.3203125,"C13"
"FT205",133.069076211052,573.521484375,"C13"
"FT207",133.080208319166,573.084228515625,"C13"
"FT212",133.099274342521,475.633148193359,"N15"
"FT213",133.105389129918,475.354553222656,"C13"
"FT214",133.105405527253,305.492340087891,"C13"
"FT217",134.027302493521,787.7890625,"S33"
"FT222",134.106230278321,475.362731933594,"O18"
"FT223",135.023640135424,787.560974121094,"S34"
"FT225",135.032047999511,787.779907226562,"O18"
"FT227",136.047028484695,492.590240478516,"S33"
"FT228",136.050830954959,492.597442626953,"C13"
"FT234",137.043274085914,492.605987548828,"S34"
"FT239",137.051584127184,493.492263793945,"O18"
"FT242",137.065210439917,231.506042480469,"C13"
"FT247",138.046748540417,492.586151123047,"C13"
"FT248",138.049194710843,289.39826965332,"C13"
"FT255",139.058379926416,378.901214599609,"C13"
"FT256",139.058370187204,259.854583740234,"C13"
"FT257",139.05922368258,231.532440185547,"C13"
"FT264",141.00649815987,576.077006123047,"mH2OpH"
"FT269",143.003716844213,575.336975097656,"N15"
"FT273",144.078720092773,472.593536376953,"N15"
"FT274",144.084900909354,471.690032958984,"C13"
"FT275",144.08496204994,418.976135253906,"C13"
"FT285",145.105315687313,300.064331054688,"C13"
"FT286",145.105325936295,461.640075683594,"C13"
"FT288",145.985529514045,182.672439575195,"C13"
"FT305",147.120983431312,497.174224853516,"C13"
"FT307",147.983680257708,183.402488708496,"C13"
"FT311",148.050821757233,415.994750976562,"C13"
