"feature","mz","rt","into","file_name","M_area"
"FT0007",61.0848738716092,319.765716552734,1607843.94016447,"190715_Std_4uMStdsMix1InH2O_1.mzML",1689697.76965934
"FT0007",61.0848722975789,299.821960449219,1045750.96820562,"190715_Std_4uMStdsMix1InH2O_2.mzML",777013.246459514
"FT0007",61.0848504127249,322.645416259766,679185.927457638,"190715_Std_4uMStdsMix1InMatrix_1.mzML",924472.118950546
"FT0007",61.084879950258,306.084808349609,881358.132481337,"190715_Std_4uMStdsMix1InMatrix_2.mzML",975435.324158072
"FT0028",75.1004196108802,529.237976074219,263533.491827175,"190715_Blk_KM1906U14-Blk_C.mzML",691651.394103348
"FT0028",75.1004533333009,541.563354492188,4398368.89222956,"190715_Poo_TruePooFK180310_Full1.mzML",4284884.1586175
"FT0028",75.1004594364725,539.29758,4438245.16567289,"190715_Poo_TruePooFK180310_Full2.mzML",4404696.7063942
"FT0028",75.1004757327942,540.74267578125,7412804.41860514,"190715_Poo_TruePooFK180310_Full3.mzML",7078719.44119072
"FT0028",75.1004658031384,525.7685546875,2660321.90307702,"190715_Poo_TruePooFK180310_Half1.mzML",2831234.32174933
"FT0028",75.1004317523208,540.241394042969,1920067.96153066,"190715_Poo_TruePooFK180310_Half2.mzML",2836292.57958579
"FT0028",75.1004511460459,547.04150390625,4071827.89839778,"190715_Poo_TruePooFK180310_Half3.mzML",3947595.9174695
"FT0028",75.1004537536052,538.607482910156,2060757.05489775,"190715_Smp_FK180310S62C1-25m_A.mzML",1982703.61902428
"FT0028",75.1004318020871,539.481140136719,5929611.31520462,"190715_Smp_FK180310S62C1-25m_B.mzML",5721823.79483771
"FT0028",75.1004457503188,542.033508300781,3519906.65400538,"190715_Smp_FK180310S62C1-25m_C.mzML",3506538.77350235
"FT0028",75.1004874803109,539.7373046875,4871127.87246222,"190715_Smp_FK180310S62C1-DCM_A.mzML",4727113.42564297
"FT0028",75.1004602151566,539.732482910156,2418995.55380078,"190715_Smp_FK180310S62C1-DCM_B.mzML",2253371.22008729
"FT0028",75.1003870686149,541.438232421875,7407988.6817475,"190715_Smp_FK180310S62C1-DCM_C.mzML",7200682.95211983
"FT0028",75.1004021174685,540.782287597656,4967212.35642524,"190715_Smp_FK180310S64C1-25m_A.mzML",4594703.86073232
"FT0028",75.1004451578595,539.610107421875,4096676.24877385,"190715_Smp_FK180310S64C1-25m_B.mzML",3993324.49905849
"FT0028",75.1004653422718,537.096069335938,11274578.8536363,"190715_Smp_FK180310S64C1-25m_C.mzML",11056459.0104094
"FT0028",75.100487983515,538.780578613281,2044742.78266004,"190715_Smp_FK180310S64C1-DCM_A.mzML",1986727.06979644
"FT0028",75.1004575881389,540.361511230469,4465937.10948091,"190715_Smp_FK180310S64C1-DCM_B.mzML",4353837.52238417
"FT0028",75.1004088413445,540.763061523438,3624918.15697685,"190715_Smp_FK180310S64C1-DCM_C.mzML",3449184.13530767
"FT0028",75.1004050244065,540.341857910156,7161058.2202689,"190715_Smp_FK180310S77C1-25m_A.mzML",6988510.97548532
"FT0028",75.1004379997457,541.106018066406,3840492.51245677,"190715_Smp_FK180310S77C1-25m_B.mzML",3905693.76605892
"FT0028",75.1004288434317,537.604431152344,10659745.3977095,"190715_Smp_FK180310S77C1-25m_C.mzML",10441492.4071822
"FT0028",75.1004439403733,541.251953125,5400961.34122591,"190715_Smp_FK180310S77C1-DCM_A.mzML",5209412.36522961
"FT0028",75.1004490544844,542.069580078125,2784225.3809993,"190715_Smp_FK180310S77C1-DCM_B.mzML",2794439.33042085
"FT0028",75.1003930025585,543.236145019531,7731621.8923218,"190715_Smp_FK180310S77C1-DCM_C.mzML",7543566.46926928
"FT0028",75.1003849824107,541.412475585938,8130817.82249149,"190715_Smp_FK180310S80C1-25m_A.mzML",7864127.02800655
"FT0028",75.1004708133037,543.006591796875,1444320.85907636,"190715_Smp_FK180310S80C1-25m_B.mzML",1435005.3522644
"FT0028",75.1004595598875,536.489501953125,4773008.30528831,"190715_Smp_FK180310S80C1-25m_C.mzML",4726220.09275293
"FT0028",75.100435061915,541.122741699219,5454134.05812763,"190715_Smp_FK180310S80C1-DCM_A.mzML",5370818.1757226
"FT0028",75.1004211642495,539.232116699219,6925144.10876602,"190715_Smp_FK180310S80C1-DCM_B.mzML",6916474.28073382
"FT0028",75.1004670581729,539.898742675781,4104882.2448606,"190715_Smp_FK180310S80C1-DCM_C.mzML",3995686.21882129
"FT0028",75.1004425222423,542.561218261719,1745683.66885271,"190715_Std_4uMStdsMix1InH2O_1.mzML",1983034.0101068
"FT0028",75.1004551742238,548.150512695312,176422.369061038,"190715_Std_4uMStdsMix1InH2O_2.mzML",510227.689548641
"FT0028",75.1004207033082,545.968078613281,625402.156626892,"190715_Std_4uMStdsMix1InMatrix_1.mzML",1286662.29972363
"FT0028",75.1004457449821,547.288208007812,140993.646797687,"190715_Std_4uMStdsMix1InMatrix_2.mzML",374404.595961779
"FT0028",75.1004304274507,537.666687011719,1162681.7121824,"190715_Std_4uMStdsMix2InH2O_1.mzML",1924169.63571942
"FT0028",75.1004526571778,527.970520019531,197885.110693856,"190715_Std_4uMStdsMix2InH2O_2.mzML",482039.573356837
"FT0028",75.1004198336784,548.476989746094,307692.665867391,"190715_Std_4uMStdsMix2InMatrix_1.mzML",1403417.28537321
"FT0028",75.1004264401173,533.369689941406,818877.491900925,"190715_Std_4uMStdsMix2InMatrix_2.mzML",974239.46130985
"FT0028",75.1004289688156,544.292297363281,1264530.31969628,"190715_Std_H2OinMatrix_1.mzML",1845172.76272929
"FT0028",75.1004503299214,528.029052734375,292520.270742646,"190715_Std_H2OinMatrix_2.mzML",403710.365476429
"FT0037",77.0733823813317,310.611785888672,5410968.61843027,"190715_Poo_TruePooFK180310_Full1.mzML",5462535.21999168
"FT0037",77.0733868884493,311.23584,5581658.48839233,"190715_Poo_TruePooFK180310_Full2.mzML",5568949.68354094
"FT0037",77.073404113927,311.074951171875,7700574.58228736,"190715_Poo_TruePooFK180310_Full3.mzML",7456617.30857515
"FT0037",77.0734084233399,317.343811035156,2980975.23848021,"190715_Poo_TruePooFK180310_Half1.mzML",2534135.08348018
"FT0037",77.0733749068153,310.944061279297,2992059.79222696,"190715_Poo_TruePooFK180310_Half2.mzML",3001974.11415118
"FT0037",77.073406137343,312.1318359375,3908691.31173154,"190715_Poo_TruePooFK180310_Half3.mzML",3673656.0091393
