"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT001",60.0581717542212,561.956695556641,1823123.91025828,0,0,0,0,0,0,0,0,0,0,0
"FT002",63.02703175485,492.586151123047,4712612.37722055,0,0,0,0,0,0,0,0,0,0,0
"FT003",70.0658201288959,447.946533203125,11905222.8641287,0,0,0,0,0,0,0,0,0,0,0
"FT004",72.0814611988826,421.477172851562,9891400.34059572,0,0,0,0,0,0,0,0,0,0,0
"FT005",74.0970910360697,540.351684570312,94217530.8921884,4261084,0,0,0,356365,0,0,0,0,0,0
"FT007",76.0399688618242,624.963134765625,5527118.70681919,0,0,0,0,0,0,0,0,0,0,0
"FT008",76.0763258236447,311.809417724609,1030292365.87913,35591810,0,0,0,4056795,2445937,0,0,0,0,0
"FT009",76.103451504832,449.758270263672,1119648.80935575,0,0,0,0,0,0,0,0,0,0,0
"FT012",77.1097127085951,449.818786621094,5053541.07954396,0,0,0,0,0,0,0,0,0,0,0
"FT014",80.1316299210448,425.021728515625,4996431.43851589,0,0,0,0,0,0,0,0,0,0,0
"FT015",84.0449958067887,596.982299804688,11771273.2649724,0,0,0,0,0,0,0,0,0,0,0
"FT016",84.0449911082374,650.383270263672,7856344.19313498,0,0,0,0,0,0,0,0,0,0,0
"FT017",86.0606231876097,613.994750976562,6607929.15447986,0,0,0,0,0,0,0,0,0,0,0
"FT018",86.0969930725249,348.260284423828,5212744.39834178,0,0,0,0,0,0,0,0,0,0,0
"FT019",87.0446299501363,613.284423828125,3851520.91153601,0,0,0,0,0,0,0,21914455,0,0,0
"FT020",87.044613576935,528.730407714844,2697348.18298305,0,0,0,0,0,0,0,0,0,0,0
"FT021",88.1126451500049,508.923614501953,4373784.97012366,0,0,0,0,0,0,0,0,0,0,0
"FT022",90.0555074590479,609.544189453125,10382914.6909013,0,0,0,0,0,0,0,0,0,0,0
"FT023",90.0555117274545,577.636901855469,8815442.61859072,0,0,0,0,0,0,0,0,0,0,0
"FT024",90.0555057246396,535.394226074219,8908057.15430793,0,0,0,0,0,0,0,0,0,0,0
"FT025",90.0919002028268,326.78271484375,37073434.8367028,0,0,0,0,0,0,0,0,0,0,0
"FT026",90.0918496949313,302.836685180665,126028711.312731,0,0,0,0,0,0,0,0,0,0,0
"FT027",93.0452418476202,191.659439086914,2031448.88406867,0,0,0,0,0,0,0,0,0,0,0
"FT028",93.0743183379092,578.247314453125,8435538.53820388,0,0,0,0,0,0,0,0,0,0,0
"FT029",97.0844760679125,194.241149902344,488215.30379569,0,0,0,0,0,0,0,0,0,0,0
"FT030",100.039782955354,498.990844726562,1612004.95286674,0,0,0,0,0,0,0,0,0,0,0
"FT031",101.107772099832,523.662475585938,3007808.26498657,0,0,0,0,0,0,0,0,0,0,0
"FT032",102.055396911816,649.904296875,2646782.23005615,0,0,0,0,0,0,0,0,0,0,0
