"feature","mzmed","rtmed","avgarea","formula"
"FT0001",60.0581717542212,562.287328990235,1843263.43038,""
"FT0002",60.0644878094138,563.908081054688,6544048.37892385,""
"FT0003",60.0815353393555,552.31201171875,414718.993945842,"C3H9N"
"FT0004",60.081512277492,319.765716552734,2366714.30922006,"C3H9N"
"FT0005",61.011429289347,493.776992797852,621225.875512387,"C2H4S"
"FT0006",61.0403970952578,288.149597167969,16181372.753973,"CH4N2O"
"FT0008",62.0193309457731,493.102325439453,690368.255250287,"C2H5S"
"FT0009",62.0607806131972,767.896697998047,88569119.7519166,"C2H7NO"
"FT0010",63.02703175485,492.586151123047,4699495.57662053,"C2H6S"
"FT0011",68.050182416488,468.974731445312,856654.946968672,"C4H5N"
"FT0012",68.0501554341038,573.425811767578,280837.062681398,"C4H5N"
"FT0013",68.0501713428414,611.674438476562,253334.69011134,"C4H5N"
"FT0014",69.0341796730626,612.507397294922,774508.674800622,"C4H4O"
"FT0015",70.0658201288959,447.946533203125,11882445.8843583,"C4H7N"
"FT0016",71.0691590546849,447.705017089844,426806.713616964,""
"FT0017",72.0814604588924,421.827133178711,9657145.74264454,"C4H9N"
"FT0018",72.0814423043868,314.041839599609,14657972.6433534,"C4H9N"
"FT0019",72.081454148541,326.595336914063,6453969.99046186,"C4H9N"
"FT0020",73.0291050762398,492.76904296875,816531.71199278,"C3H4O2"
"FT0021",73.0767040720375,558.742065429688,1200271.08734985,"C3H8N2"
"FT0022",73.0847854614258,289.944610595703,443268.433675978,""
"FT0023",74.0607102002642,592.717559814453,2889598.14291508,"C3H7NO"
"FT0024",74.0606951965403,554.105773925781,2034452.37741656,"C3H7NO"
"FT0025",74.0970955134819,586.862609863281,38203366.6291749,"C4H11N"
"FT0026",74.0970887750725,540.241394042969,93420239.6753005,"C4H11N"
"FT0027",75.0941050562316,540.800537109375,314575.671623923,""
"FT0029",76.0399688618242,624.963134765625,5518730.4403633,"C2H5NO2"
"FT0030",76.0399507331252,652.685546875,739363.166132934,"C2H5NO2"
"FT0031",76.0399408152733,249.267158508301,2076630.87076694,"C2H5NO2"
"FT0032",76.0399322509766,206.579582214355,2861675.40980897,"C2H5NO2"
"FT0033",76.039932270351,360.888366699219,1486740.96764425,"C2H5NO2"
"FT0034",76.0763258236447,311.809417724609,1030291452.63917,"C3H9NO"
"FT0035",76.0763354841072,777.173889160156,1698767.08018213,"C3H9NO"
"FT0036",76.1034513493013,449.717163085938,1102910.95307198,""
"FT0039",77.1097127085951,449.818786621094,5053541.07954396,""
"FT0041",80.0501128935253,9.60870838165283,13866635.3890611,"C5H5N"
"FT0042",80.1316299210448,425.080688476562,4971182.46809825,""
"FT0043",80.980326862944,1229.87310791015,3901971.3083602,"C4S"
"FT0045",84.0449901638482,650.560241699219,7763073.80463484,"C4H5NO"
"FT0046",84.0449936160455,596.982299804688,11768046.1752956,"C4H5NO"
"FT0047",84.0449853916619,438.69140625,1672411.98381021,"C4H5NO"
"FT0048",84.0449748019621,359.443603515625,11849443.7131126,"C4H5NO"
"FT0049",84.0813429017398,842.116577148438,1208986.95445296,"C5H9N"
"FT0050",84.0813575541182,467.327758789062,3719582.5176211,"C5H9N"
"FT0051",84.0813594642816,434.416259765625,842341.741466973,"C5H9N"
"FT0052",84.0813710612321,962.163757324219,1161392.89083946,"C5H9N"
"FT0053",85.0290144261161,601.005126953125,1554360.0832436,"C4H4O2"
"FT0054",85.0289601227809,267.810119628906,1933318.50186075,"C4H4O2"
"FT0055",85.0289615617996,344.108001708984,4292530.6183418,"C4H4O2"
"FT0056",85.0289712292493,218.385757446289,3945982.35136979,"C4H4O2"
"FT0057",85.0289763985258,152.945892333984,6531874.80084623,"C4H4O2"
"FT0058",85.0289760137153,731.361572265625,843738.253718799,"C4H4O2"
"FT0059",85.0289883229314,473.458953857422,1439237.95062255,"C4H4O2"
"FT0060",85.028968192131,521.814086914062,1154190.87362268,"C4H4O2"
"FT0061",85.0483326596956,595.998168945312,527802.812914288,""
"FT0062",85.0514307068676,324.6572265625,1884355.03866136,"C2H4N4; C4H6NO"
"FT0063",86.0605996016604,582.999633789062,3625234.22321783,"C4H7NO"
"FT0065",86.0718542480472,560.519348144531,791300.745562408,"C3H7N3; C5H9O"
"FT0066",86.0970071500502,342.866882324219,5888766.73912271,"C5H11N"
"FT0067",86.0970011489524,556.770745207031,429752.145190362,"C5H11N"
"FT0068",87.0446037001786,495.858673095703,2336601.84045255,"C4H6O2"
"FT0069",87.0445954199135,137.853607177734,18114299.0290006,"C4H6O2"
"FT0070",87.0446214735487,415.609466552734,5415091.17232212,"C4H6O2"
"FT0071",87.0446062807738,400.458435058594,6019236.08659791,"C4H6O2"
"FT0072",87.0446333737975,613.306945800781,3818495.31180945,"C4H6O2"
"FT0073",87.0446137250409,527.914611816406,2799664.93819188,"C4H6O2"
"FT0074",87.0446120880154,586.096313476562,4451245.36548456,"C4H6O2"
"FT0075",87.0639506618967,612.519683837891,203034.111502278,""
"FT0076",87.0940223352947,342.062316894531,3079887.01875526,""
"FT0077",88.0398766182322,660.694458007812,1097611.04730037,"C3H5NO2"
"FT0078",88.0479525974731,614.0068359375,240994.35642424,""
"FT0081",88.0762496520508,234.441040039062,10961980.6131738,"C4H9NO"
"FT0082",88.0874880563099,558.635962525391,190016.006637794,"C3H9N3; C5H11O"
"FT0083",88.112645063888,508.923614501953,4311518.12051072,"C5H13N"
"FT0084",89.0423874326679,603.243469238281,549323.163942554,"C4H8S"
"FT0085",89.0602580044197,135.084457397461,2829872.33077783,"C4H8O2"
"FT0087",90.0555074590479,609.544189453125,10361963.9162355,"C3H7NO2"
"FT0088",90.0555117274545,577.636901855469,8816179.23264923,"C3H7NO2"
"FT0089",90.0555067665124,535.43896484375,8794057.32804665,"C3H7NO2"
"FT0090",90.0919002028268,326.768280029297,62084025.1336704,"C4H11NO"
"FT0091",90.0918496514279,294.024703979493,122975976.462473,"C4H11NO"
"FT0092",91.054752519145,197.751007080078,10956957.2427135,"C7H6"
"FT0093",91.0588112813978,543.440551757812,871296.801438405,""
"FT0094",91.0588358879781,620.254272460938,205460.308782281,""
"FT0097",91.095218757875,325.843048095703,1218189.4754875,""
"FT0099",93.0452399308452,191.659439086914,1908966.30952243,"C5H4N2"
"FT0100",93.0452295918196,409.900146484375,2873500.05305261,"C5H4N2"
"FT0101",93.0551216694202,515.1103515625,593703.339507551,"C3H8O3"
"FT0102",93.0703863665289,206.060195922852,4169374.08597568,"C7H8"
"FT0103",93.0743183379092,578.247314453125,8435538.53820388,"C4H12S"
"FT0104",93.1378039441742,364.31884765625,1078901.81709391,""
"FT0105",94.0292491294335,666.200378417969,5050859.86599046,"C5H3NO"
"FT0106",94.0405067100424,326.446044921875,1129950.93683052,"H6N4P; C4H3N3; C6H5O"
"FT0107",94.045571576588,788.667297363281,136664476.501841,""
"FT0108",94.0455775710572,562.856475830078,113871208.117303,""
"FT0109",94.0656623241396,15.2833833694458,7204438.71577761,"C6H7N"
"FT0110",94.0656411043761,260.040588378906,4599566.97917514,"C6H7N"
"FT0111",95.0244851484402,394.84228515625,4172953.05940959,"C4H2N2O"
"FT0112",95.0244879686511,330.553955078125,6306496.96877384,"C4H2N2O"
"FT0113",95.0608688491068,425.441986083984,6139212.25977766,"C5H6N2"
"FT0114",96.0448917742736,232.649932861328,1331452.243287,"C5H5NO"
"FT0115",96.0448739023261,404.937774658203,3077274.7063529,"C5H5NO"
"FT0116",96.9577799071039,1191.89282226562,13107777.5735988,""
"FT0117",96.9577802156613,1225.15209960938,8259817.85322214,""
"FT0118",97.0401392050372,160.673049926758,2850738.20188434,"C4H4N2O"
"FT0119",97.0764865753424,470.77326965332,14844573.2693364,"C5H8N2"
"FT0120",97.0764842371472,168.912200927734,6046636.31193813,"C5H8N2"
"FT0121",97.0844760679125,194.241149902344,488334.653820314,""
"FT0122",97.9918189774562,1176.32775878906,84970665.2331384,"H5NOP2"
"FT0123",97.9918360185763,136.705604553222,8778499.81485738,"H5NOP2"
"FT0124",97.9918050808692,466.326751708984,31112115.0965908,"H5NOP2"
"FT0125",98.0604707655062,550.330383300781,1158534.7865153,"C5H7NO"
"FT0126",98.0717356084643,1284.51458740234,11920375.5638463,"C4H7N3; C6H9O"
"FT0127",98.0798106543506,474.395446777344,646806.381944988,""
"FT0128",98.0843773131856,477.669052124023,2339548.04370476,"C5H9N2"
"FT0129",98.9846522538587,102.508281707764,824181.127844254,"H3O4P"
"FT0130",98.9846299271754,702.223205566406,909043.873346372,"H3O4P"
"FT0131",99.0445214992769,590.137390136719,5403023.47344165,"C5H6O2"
"FT0133",100.039783275051,498.990844726562,1555248.42211105,"C4H5NO2"
"FT0134",101.023765563965,577.981140136719,6825354.57687369,"C4H4O3"
"FT0135",101.071402163496,597.428955078125,4236079.75768278,"C4H8N2O"
"FT0136",101.107774004294,523.662475585938,3043525.38311612,"C5H12N2"
"FT0137",101.107767106409,554.925903320312,2228469.27799827,"C5H12N2"
"FT0138",102.045640928386,603.240631103516,530564.944094629,"C8H5; C4H8NP"
"FT0139",102.055402392748,649.904296875,2628872.91987393,"C4H7NO2"
"FT0140",102.055414587032,367.042358398438,3946256.66040153,"C4H7NO2"
"FT0141",102.055366060641,560.276123046875,815311.075209652,"C4H7NO2"
"FT0142",102.05538366055,359.551025390625,13738015.1900001,"C4H7NO2"
