"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT001",60.0581703161295,559.665344238281,"None",2032522.57974999
"FT002",63.02703175485,491.390808105469,"Betaine, 13C5-15N",4885190.26208297
"FT003",70.0658201288959,446.740326,"None",12706788.08638
"FT004",72.0814613240688,420.104019165039,"None",10429234.0249027
"FT005",74.0970888515595,539.262298583984,"Betaine, 13C5-15N",99016830.4862299
"FT007",76.0399695481672,622.791839599609,"DL-Proline, D7",9072067.96908999
"FT008",76.0763258236447,310.596466064453,"Betaine, 13C5-15N",1126474700.66604
"FT009",76.103451504832,448.498962402344,"Adenine, 15N2",1285300.44080378
"FT012",77.1097127085951,448.628112792969,"Adenine, 15N2",5872119.87127701
"FT014",80.131626762559,423.538619995118,"DL-Valine, D8",4932205.39383702
"FT015",84.0449895412548,646.783874511719,"Adenine, 15N2",12404128.5876018
"FT016",84.0449985924538,594.924896240234,"DL-Proline, D7",37819932.3566777
"FT017",86.0606226802208,611.437377929688,"DL-Histidine, 15N",33769003.2165915
"FT018",86.0969952179008,346.370239257812,"Guanine, 13C-15N2",9345582.14275713
"FT019",87.0446301773362,611.330444335938,"Adenine, 15N2",6609069.01144887
"FT020",88.1126442826538,508.640655517578,"Betaine, 13C5-15N",4732803.96176539
"FT021",90.0555074590479,606.515197753906,"Adenine, 15N2",13363487.8809336
"FT022",90.0555138670014,575.665863037109,"DL-Histidine, 15N",26142259.015988
"FT023",90.055506375465,534.0234375,"DL-Histidine, 15N",5961837.53136869
"FT024",90.0919002028268,325.449645996094,"Betaine, 13C5-15N",57950966.7544493
"FT025",90.0918499009925,302.249618530273,"Betaine, 13C5-15N",255047175.240351
"FT026",93.0452419364879,186.226745605469,"Adenine, 15N2",2857268.81901881
"FT027",93.0743211350254,575.724761962891,"DL-Histidine, 15N",7938283.84482096
"FT028",97.0844760814645,190.909767150879,"Betaine, 13C5-15N",384870.779262995
"FT029",100.039782384649,497.705123901368,"DL-Histidine, 15N",4808087.50115074
"FT030",101.10777310411,522.006066,"Betaine, 13C5-15N",3275776.09919095
"FT031",102.055400003054,646.303771972656,"None",2681953.8655819
"FT032",102.128136091344,337.241760253906,"Arsenobetaine, 13C2",2592449.53362466
"FT033",103.955910535836,177.803916931152,"DL-Histidine, 15N",13525747.8923878
"FT035",104.107394381967,550.041839599609,"Adenine, 15N2",242805316.141378
"FT037",106.050297937011,621.227752685547,"DL-Proline, D7",19530998.1301693
"FT038",106.086665512316,462.027206420898,"Betaine, 13C5-15N",10501850.0686306
"FT039",111.068698591138,577.980285644531,"DL-Histidine, 15N",5562445.48913969
"FT040",112.050892389643,323.100006103516,"Cytosine, 13C2-15N3",126492688.343353
"FT041",112.050901816212,387.236328125,"Guanine, 13C-15N2",55103667.7436026
"FT042",112.062116847136,233.752777099609,"Guanine, 13C-15N2",644558.948720605
"FT044",113.060053551878,98.8258600461426,"Adenine, 15N2",19319837.7936985
"FT045",114.066502760621,241.106719970703,"Guanine, 13C-15N2",6392231.15256108
"FT046",114.091668872368,121.577362060547,"DL-Histidine, 15N",24476975.3624011
"FT047",115.095028022562,121.504505157471,"DL-Histidine, 15N",1362178.01181846
"FT048",116.051672182098,323.243713378906,"Cytosine, 13C2-15N3",2982046.19116439
"FT049",116.07089543031,447.050552368164,"DL-Proline, D7",839432953.043352
"FT050",116.984830403794,448.203125,"DL-Valine, D8",759212.456956576
"FT052",117.054922816896,564.938598632812,"DL-Histidine, 15N",8045968.47918815
"FT054",117.113766120021,558.13157225,"DL-Histidine, 15N",826722.081260178
"FT056",118.061589825013,619.512817382812,"Adenine, 15N2",2378012.42887946
"FT057",118.086451658846,343.542663574219,"Betaine, 13C5-15N",4864574295.30371
"FT058",118.122704030685,344.554977416992,"Betaine, 13C5-15N",4825318.0113321
"FT059",119.035460660613,227.334762573243,"DL-Valine, D8",1593454.96560231
"FT063",120.032551443347,229.16340637207,"DL-Valine, D8",1672157.59223541
"FT064",120.065792098085,585.776062011719,"DL-Proline, D7",123334834.022874
"FT065",120.065753788051,570.551025390625,"DL-Histidine, 15N",13432833.0373168
"FT066",120.081042345954,259.6875,"Adenine, 15N2",34970678.5425179
"FT069",120.972496438231,1227.92016601562,"Betaine, 13C5-15N",106016711.179833
"FT070",121.032016412326,413.496215820312,"Arsenobetaine, 13C2",213230129.168562
"FT072",121.068427628409,554.406829833984,"Adenine, 15N2",2894578.78203689
"FT073",121.10227389425,459.518905639648,"None",4194298.6292252
"FT074",122.006539764285,1225.5551147461,"Betaine, 13C5-15N",108466441.493486
"FT077",122.081440869438,422.605575561523,"DL-Proline, D7",26465144.5543978
"FT078",122.108472505666,448.561498942383,"DL-Proline, D7",13184046.3711307
"FT080",123.055490903844,152.394790649414,"Cytosine, 13C2-15N3",62554201.2341703
"FT081",123.084737330205,422.488586425781,"DL-Histidine, 15N",582333.136340142
"FT082",123.096950574851,343.406585693359,"Arsenobetaine, 13C2",13076946.367132
