"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT001",60.0581492423036,568.8212890625,230678.447361182,"190715_Blk_KM1906U14-Blk_C.mzML",827845.162145674,"None",827845.162145674
"FT001",60.0581670753579,559.50244140625,2546509.55774648,"190715_Poo_TruePooFK180310_Full1.mzML",2179384.09704483,"None",2179384.09704483
"FT001",60.0581927025199,562.295178,2334229.16741705,"190715_Poo_TruePooFK180310_Full2.mzML",1991620.71329129,"None",1991620.71329129
"FT001",60.0581965080995,561.313171386719,2597752.86953753,"190715_Poo_TruePooFK180310_Full3.mzML",2524091.45292282,"None",2524091.45292282
"FT001",60.0581795868196,569.98193359375,867146.175851613,"190715_Poo_TruePooFK180310_Half1.mzML",868221.658457518,"None",868221.658457518
"FT001",60.0581685088188,556.627563476562,502248.200989975,"190715_Poo_TruePooFK180310_Half2.mzML",534988.354865283,"None",534988.354865283
"FT001",60.0581793020519,567.232971191406,866127.748125692,"190715_Poo_TruePooFK180310_Half3.mzML",848392.840276837,"None",848392.840276837
"FT001",60.0581841963569,569.924621582031,1349159.00408772,"190715_Smp_FK180310S62C1-25m_A.mzML",1279633.16727918,"None",1279633.16727918
"FT001",60.0581628812792,561.3876953125,3441257.31877949,"190715_Smp_FK180310S62C1-25m_B.mzML",3094555.13228095,"None",3094555.13228095
"FT001",60.0581859165905,565.304748535156,2988859.08570822,"190715_Smp_FK180310S62C1-25m_C.mzML",2973294.07525802,"None",2973294.07525802
"FT001",60.0582223839651,564.248229980469,2874264.65591516,"190715_Smp_FK180310S62C1-DCM_A.mzML",2657491.42970181,"None",2657491.42970181
"FT001",60.0581783160219,553.936218261719,629427.195318043,"190715_Smp_FK180310S62C1-DCM_B.mzML",596203.082193792,"None",596203.082193792
"FT001",60.0581327226854,565.903198242188,4762159.94402858,"190715_Smp_FK180310S62C1-DCM_C.mzML",4644109.26749849,"None",4644109.26749849
"FT001",60.0581508445129,557.562194824219,1386192.67886628,"190715_Smp_FK180310S64C1-25m_A.mzML",2902762.9689194,"None",2902762.9689194
"FT001",60.0581742159433,558.300659179688,2396687.11814563,"190715_Smp_FK180310S64C1-25m_B.mzML",2319993.78009355,"None",2319993.78009355
"FT001",60.0581973942653,561.633911132812,2214316.14177054,"190715_Smp_FK180310S64C1-25m_C.mzML",2126076.28685999,"None",2126076.28685999
"FT001",60.058194003828,562.396484375,2582367.24944249,"190715_Smp_FK180310S64C1-DCM_A.mzML",2519475.16409194,"None",2519475.16409194
"FT001",60.0581778053946,558.564208984375,2887093.91283757,"190715_Smp_FK180310S64C1-DCM_B.mzML",2685117.32756674,"None",2685117.32756674
"FT001",60.0581593129847,568.725830078125,3206269.8527765,"190715_Smp_FK180310S64C1-DCM_C.mzML",3115811.14477229,"None",3115811.14477229
"FT001",60.058150095469,554.909240722656,569327.007773855,"190715_Smp_FK180310S77C1-25m_A.mzML",2774570.53669906,"None",2774570.53669906
"FT001",60.0581568033089,555.445373535156,1477768.71945719,"190715_Smp_FK180310S77C1-25m_B.mzML",1662625.01842535,"None",1662625.01842535
"FT001",60.0581655186532,561.294677734375,2322340.45181331,"190715_Smp_FK180310S77C1-25m_C.mzML",2298346.64976335,"None",2298346.64976335
"FT001",60.0581761664976,564.991882324219,1874415.43121824,"190715_Smp_FK180310S77C1-DCM_A.mzML",1790089.63944602,"None",1790089.63944602
"FT001",60.0581720597858,561.371398925781,2652686.64332075,"190715_Smp_FK180310S77C1-DCM_B.mzML",2430515.85618603,"None",2430515.85618603
"FT001",60.0581254316556,563.916870117188,3448066.45118337,"190715_Smp_FK180310S77C1-DCM_C.mzML",3141242.66937578,"None",3141242.66937578
"FT001",60.0581502811197,559.413940429688,631809.523542469,"190715_Smp_FK180310S80C1-25m_A.mzML",2557665.07406771,"None",2557665.07406771
"FT001",60.0581893503456,564.266784667969,2568206.24300753,"190715_Smp_FK180310S80C1-25m_B.mzML",2469119.30582893,"None",2469119.30582893
"FT001",60.0581816491814,563.212097167969,2582380.88581437,"190715_Smp_FK180310S80C1-25m_C.mzML",2304026.78878903,"None",2304026.78878903
"FT001",60.0581611941153,556.130126953125,2275873.45271549,"190715_Smp_FK180310S80C1-DCM_A.mzML",2452212.74798477,"None",2452212.74798477
"FT001",60.0581589110354,562.279479980469,3063060.82967805,"190715_Smp_FK180310S80C1-DCM_B.mzML",2987593.50439942,"None",2987593.50439942
"FT001",60.0581746098141,568.069580078125,1924019.33828147,"190715_Smp_FK180310S80C1-DCM_C.mzML",1840257.31584215,"None",1840257.31584215
"FT001",60.0582033807855,555.640014648438,28443.372423256,"190715_Std_4uMStdsMix1InH2O_1.mzML",225834.653637171,"None",225834.653637171
"FT001",60.0581632483809,571.684448242188,488204.35327026,"190715_Std_4uMStdsMix1InH2O_2.mzML",788109.2367118,"None",788109.2367118
"FT001",60.0581667601643,558.776062011719,703614.510927978,"190715_Std_4uMStdsMix1InMatrix_2.mzML",872408.148856878,"None",872408.148856878
"FT001",60.058173546337,558.267883300781,23914.0853408606,"190715_Std_4uMStdsMix2InH2O_1.mzML",108563.064761549,"None",108563.064761549
"FT001",60.0581714486566,564.964660644531,742294.96810678,"190715_Std_4uMStdsMix2InH2O_2.mzML",710809.137839615,"None",710809.137839615
"FT001",60.0581665039062,558.353393554688,17005.2046955199,"190715_Std_4uMStdsMix2InMatrix_1.mzML",64688.7634214163,"None",64688.7634214163
"FT001",60.0581665161088,570.105895996094,696099.488534272,"190715_Std_4uMStdsMix2InMatrix_2.mzML",811487.69975698,"None",811487.69975698
