"","id","parent","class"
"2","CHEMONTID:0000000","CHEMONTID:9999999","Organic compounds"
"3","CHEMONTID:0000001","CHEMONTID:9999999","Inorganic compounds"
"4","CHEMONTID:0000002","CHEMONTID:0000000","Organoheterocyclic compounds"
"5","CHEMONTID:0000004","CHEMONTID:0000000","Organosulfur compounds"
"6","CHEMONTID:0000012","CHEMONTID:0000000","Lipids and lipid-like molecules"
"7","CHEMONTID:0000016","CHEMONTID:0000000","Allenes"
"8","CHEMONTID:0002448","CHEMONTID:0000000","Benzenoids"
"9","CHEMONTID:0000261","CHEMONTID:0000000","Phenylpropanoids and polyketides"
"10","CHEMONTID:0000264","CHEMONTID:0000000","Organic acids and derivatives"
"11","CHEMONTID:0000279","CHEMONTID:0000000","Alkaloids and derivatives"
"12","CHEMONTID:0003865","CHEMONTID:0000000","Organic salts"
"13","CHEMONTID:0000267","CHEMONTID:0000000","Organohalogen compounds"
"14","CHEMONTID:0000462","CHEMONTID:0000000","Organometallic compounds"
"15","CHEMONTID:0004707","CHEMONTID:0000000","Organic nitrogen compounds"
"16","CHEMONTID:0000289","CHEMONTID:0000000","Nucleosides, nucleotides, and analogues"
"17","CHEMONTID:0004603","CHEMONTID:0000000","Organic oxygen compounds"
"18","CHEMONTID:0000400","CHEMONTID:0000000","Organophosphorus compounds"
"19","CHEMONTID:0000422","CHEMONTID:0000001","Homogeneous metal compounds"
"20","CHEMONTID:0000423","CHEMONTID:0000001","Homogeneous non-metal compounds"
"21","CHEMONTID:0000424","CHEMONTID:0000001","Mixed metal/non-metal compounds"
"22","CHEMONTID:0001568","CHEMONTID:0000001","Miscellaneous inorganic compounds"
"23","CHEMONTID:0001392","CHEMONTID:0000000","Lignans, neolignans and related compounds"
"24","CHEMONTID:0003297","CHEMONTID:0000000","Organic Polymers"
"25","CHEMONTID:0004150","CHEMONTID:0000000","Hydrocarbon derivatives"
"26","CHEMONTID:0002837","CHEMONTID:0000000","Hydrocarbons"
"27","CHEMONTID:0003608","CHEMONTID:0000000","Organic anions"
"28","CHEMONTID:0003609","CHEMONTID:0000000","Organic cations"
"29","CHEMONTID:0003610","CHEMONTID:0000000","Organic zwitterions"
"30","CHEMONTID:0003629","CHEMONTID:0000000","Carbenes"
"31","CHEMONTID:0003630","CHEMONTID:0000000","Organic 1,3-dipolar compounds"
"32","CHEMONTID:0003866","CHEMONTID:0000001","Inorganic salts"
"33","CHEMONTID:0004469","CHEMONTID:0001568","Carbides"
"34","CHEMONTID:0004557","CHEMONTID:0000000","Organopnictogen compounds"
"35","CHEMONTID:0000003","CHEMONTID:0000002","Thiepanes"
"36","CHEMONTID:0000006","CHEMONTID:0000002","Benzoxazolines"
"37","CHEMONTID:0000278","CHEMONTID:0004707","Organonitrogen compounds"
"38","CHEMONTID:0001198","CHEMONTID:0000004","Thiocarbonyl compounds"
"39","CHEMONTID:0000323","CHEMONTID:0004603","Organooxygen compounds"
"40","CHEMONTID:0000265","CHEMONTID:0000264","Carboxylic acids and derivatives"
"41","CHEMONTID:0002279","CHEMONTID:0002448","Benzene and substituted derivatives"
"42","CHEMONTID:0000301","CHEMONTID:0000002","Benzofurans"
"43","CHEMONTID:0000018","CHEMONTID:0002448","Anthracenes"
"44","CHEMONTID:0000019","CHEMONTID:0002448","Dibenzocycloheptenes"
"45","CHEMONTID:0000020","CHEMONTID:0002448","Fluorenes"
"46","CHEMONTID:0000021","CHEMONTID:0002448","Indenes and isoindenes"
"47","CHEMONTID:0000022","CHEMONTID:0002448","Naphthacenes"
"48","CHEMONTID:0000023","CHEMONTID:0002448","Naphthalenes"
"49","CHEMONTID:0000024","CHEMONTID:0002448","Pentacenes"
"50","CHEMONTID:0000025","CHEMONTID:0002448","Phenanthrenes and derivatives"
"51","CHEMONTID:0000027","CHEMONTID:0002448","Indanes"
"52","CHEMONTID:0000029","CHEMONTID:0000261","Cinnamaldehydes"
"53","CHEMONTID:0000039","CHEMONTID:0000264","Sulfamic acid derivatives"
"54","CHEMONTID:0001510","CHEMONTID:0001392","Lignan lactones"
"55","CHEMONTID:0000048","CHEMONTID:0002448","Tetralins"
"56","CHEMONTID:0000050","CHEMONTID:0000002","Lactones"
"57","CHEMONTID:0001253","CHEMONTID:0000002","Quinolines and derivatives"
"58","CHEMONTID:0002566","CHEMONTID:0000002","Isoquinolines and derivatives"
"59","CHEMONTID:0000317","CHEMONTID:0000002","Benzothiazepines"
"60","CHEMONTID:0000058","CHEMONTID:0000279","Morphinans"
"61","CHEMONTID:0000488","CHEMONTID:0000264","Organic nitric acids and derivatives"
"62","CHEMONTID:0000064","CHEMONTID:0000261","Macrolactams"
"63","CHEMONTID:0002052","CHEMONTID:0000002","Metalloheterocyclic compounds"
"64","CHEMONTID:0000066","CHEMONTID:0000002","Oxazepines"
"65","CHEMONTID:0001346","CHEMONTID:0000002","Diazines"
"66","CHEMONTID:0000068","CHEMONTID:0000002","Thiazepines"
"67","CHEMONTID:0000069","CHEMONTID:0000002","Azepines"
"68","CHEMONTID:0000070","CHEMONTID:0000002","Oxetanes"
"69","CHEMONTID:0000071","CHEMONTID:0000002","Diazepines"
"70","CHEMONTID:0000295","CHEMONTID:0000002","Benzodiazepines"
"71","CHEMONTID:0000073","CHEMONTID:0000002","Oxetenes"
"72","CHEMONTID:0000076","CHEMONTID:0000002","Furans"
"73","CHEMONTID:0000436","CHEMONTID:0000002","Azoles"
"74","CHEMONTID:0002490","CHEMONTID:0000002","Azolines"
"75","CHEMONTID:0001629","CHEMONTID:0000002","Benzopyrazoles"
"76","CHEMONTID:0000082","CHEMONTID:0000002","Oxazines"
"77","CHEMONTID:0000086","CHEMONTID:0000002","Pyrans"
"78","CHEMONTID:0000089","CHEMONTID:0000002","Pyridines and derivatives"
"79","CHEMONTID:0000090","CHEMONTID:0000002","Pyrroles"
"80","CHEMONTID:0000091","CHEMONTID:0000002","Pyrrolines"
"81","CHEMONTID:0000092","CHEMONTID:0000002","Tetrazines"
"82","CHEMONTID:0000094","CHEMONTID:0000002","Thiazines"
"83","CHEMONTID:0000096","CHEMONTID:0000002","Thiepins"
"84","CHEMONTID:0000097","CHEMONTID:0000002","Thiophenes"
"85","CHEMONTID:0000098","CHEMONTID:0000002","Triazines"
"86","CHEMONTID:0000102","CHEMONTID:0000002","Azetidines"
"87","CHEMONTID:0000103","CHEMONTID:0000002","Aziridines"
"88","CHEMONTID:0000104","CHEMONTID:0000002","Azirines"
"89","CHEMONTID:0000105","CHEMONTID:0000002","Dioxolanes"
"90","CHEMONTID:0000106","CHEMONTID:0000002","Oxathiolanes"
"91","CHEMONTID:0000107","CHEMONTID:0000002","Oxazinanes"
