Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
60.0582,,,,,Positive,9,13,FT001
60.0645,,,,,Positive,9,13,FT002
60.0815,,,,,Positive,9,12,FT003
63.027,,,,,Positive,8,12,FT004
69.0342,,,,,Positive,10,14,FT005
70.0658,,,,,Positive,7,11,FT006
72.0814,,,,,Positive,7,11,FT007
72.0814,,,,,Positive,4,9,FT008
74.0607,,,,,Positive,9,13,FT009
74.0971,,,,,Positive,9,12,FT010
76.0399,,,,,Positive,10,14,FT012
76.0399,,,,,Positive,3,7,FT013
76.0399,,,,,Positive,2,6,FT014
76.0763,,,,,Positive,5,9,FT015
76.1034,,,,,Positive,8,11,FT016
77.1097,,,,,Positive,8,11,FT019
80.1316,,,,,Positive,7,10,FT021
84.045,,,,,Positive,10,13,FT022
84.045,,,,,Positive,11,14,FT023
84.045,,,,,Positive,7,11,FT024
84.045,,,,,Positive,5,10,FT025
84.0814,,,,,Positive,16,19,FT026
84.0814,,,,,Positive,8,12,FT027
85.029,,,,,Positive,5,10,FT028
85.029,,,,,Positive,4,8,FT029
85.029,,,,,Positive,4,8,FT030
85.029,,,,,Positive,2,6,FT031
85.029,,,,,Positive,3,7,FT032
85.0514,,,,,Positive,5,9,FT033
86.0606,,,,,Positive,10,14,FT034
86.0606,,,,,Positive,9,13,FT035
86.097,,,,,Positive,6,9,FT036
87.0446,,,,,Positive,1,4,FT037
87.0446,,,,,Positive,10,14,FT038
87.0446,,,,,Positive,8,13,FT039
87.0639,,,,,Positive,10,14,FT040
87.094,,,,,Positive,6,9,FT041
88.0399,,,,,Positive,11,14,FT042
88.048,,,,,Positive,10,14,FT043
88.1126,,,,,Positive,8,12,FT044
89.0603,,,,,Positive,1,5,FT045
90.0377,,,,,Positive,1,4,FT046
90.0555,,,,,Positive,10,14,FT047
90.0555,,,,,Positive,9,13,FT048
90.0555,,,,,Positive,9,12,FT049
90.0919,,,,,Positive,5,9,FT050
90.0918,,,,,Positive,4,9,FT051
91.0547,,,,,Positive,1,4,FT052
91.0547,,,,,Positive,2,6,FT053
91.0588,,,,,Positive,9,12,FT054
91.0889,,,,,Positive,5,8,FT055
91.0952,,,,,Positive,4,9,FT056
93.0452,,,,,Positive,2,6,FT057
93.0452,,,,,Positive,7,11,FT058
93.0578,,,,,Positive,4,7,FT059
93.0743,,,,,Positive,9,13,FT060
93.1378,,,,,Positive,6,9,FT061
94.0292,,,,,Positive,11,15,FT062
94.0405,,,,,Positive,5,9,FT063
94.0456,,,,,Positive,13,16,FT064
94.0656,,,,,Positive,4,8,FT065
94.0656,,,,,Positive,-1,2,FT066
94.0656,,,,,Positive,6,10,FT067
95.0245,,,,,Positive,5,9,FT068
96.0449,,,,,Positive,4,8,FT069
96.9578,,,,,Positive,19,23,FT070
97.0401,,,,,Positive,1,5,FT071
97.0765,,,,,Positive,8,12,FT072
97.9918,,,,,Positive,19,23,FT073
98.0798,,,,,Positive,8,11,FT074
98.9846,,,,,Positive,11,15,FT075
100.0398,,,,,Positive,8,12,FT076
100.1125,,,,,Positive,9,13,FT077
101.0238,,,,,Positive,9,13,FT078
101.1078,,,,,Positive,9,12,FT079
101.1078,,,,,Positive,9,13,FT080
102.0554,,,,,Positive,11,14,FT081
102.1281,,,,,Positive,5,9,FT082
103.0546,,,,,Positive,4,8,FT083
103.0546,,,,,Positive,2,6,FT084
103.9559,,,,,Positive,1,5,FT085
104.0533,,,,,Positive,6,10,FT086
104.071,,,,,Positive,6,11,FT087
104.071,,,,,Positive,10,14,FT088
104.1074,,,,,Positive,9,13,FT089
104.1074,,,,,Positive,10,14,FT090
104.1074,,,,,Positive,11,15,FT091
105.068,,,,,Positive,7,10,FT092
105.0743,,,,,Positive,6,10,FT093
105.0743,,,,,Positive,10,14,FT094
105.954,,,,,Positive,1,5,FT097
106.0503,,,,,Positive,10,14,FT098
106.0752,,,,,Positive,7,10,FT099
106.0867,,,,,Positive,7,11,FT100
106.0866,,,,,Positive,7,10,FT101
106.0866,,,,,Positive,5,9,FT102
108.0448,,,,,Positive,4,7,FT103
108.056,,,,,Positive,4,8,FT104
109.0288,,,,,Positive,12,16,FT105
109.04,,,,,Positive,4,8,FT106
109.0764,,,,,Positive,7,11,FT107
110.0274,,,,,Positive,10,14,FT108
110.0352,,,,,Positive,7,10,FT109
110.0716,,,,,Positive,1,4,FT110
110.0716,,,,,Positive,9,13,FT111
110.0841,,,,,Positive,7,11,FT112
111.0687,,,,,Positive,10,13,FT113
112.0509,,,,,Positive,5,9,FT114
112.0509,,,,,Positive,6,10,FT115
112.0508,,,,,Positive,2,6,FT116
112.0509,,,,,Positive,1,5,FT117
