"","x"
"60.05817_565.7",1
"63.02703_493.3",4
"70.06582_448.9",28
"72.08146_422.3",20
"74.09709_542.1",2
"75.10045_542.8",2
"76.03997_627.3",10
"76.07633_313",11
"76.10347_450.8",3
"77.07338_312.2",11
"77.07968_312.8",11
"77.10971_451.1",11
"78.08062_312.3",11
"80.13163_425.9",1
"84.04499_652.1",2
"84.045_598.8",5
"86.06062_615.6",24
"86.09698_360.5",31
"87.04463_615.8",30
"87.04461_530.1",1
"88.11265_512.8",1
"90.05551_611.4",1
"90.05551_580.5",3
"90.05551_539.5",19
"90.09191_327.6",1
"90.09184_296.6",31
"93.04524_187.3",3
"93.07432_581.4",1
"100.03979_500.5",3
"101.10777_525.3",1
"102.05541_652.1",4
"102.12812_338.9",1
"103.95591_183.8",26
"104.07104_615.9",2
"104.10739_554.6",1
"105.11074_554.6",1
"106.0503_626.4",5
"106.08667_464.3",1
"111.0687_584",2
"112.05089_325.5",26
"112.0509_389.7",26
"113.0542_326.5",25
"113.06006_101.8",1
"114.06651_242.9",1
"116.05167_325.4",5
"116.07089_449.1",30
"117.04864_325.5",5
"117.05493_567.3",11
"117.05489_590.8",3
"117.07423_449",30
"117.11376_562.7",1
"118.052_325.3",4
"118.06157_625",1
"118.08645_345.7",6
"118.1227_345.8",1
"119.03546_229.2",29
"119.05287_325.4",5
"119.08353_345.7",8
"119.08984_345.7",6
"120.03255_230.9",4
"120.06577_589.1",11
"120.08099_278.1",28
"120.08106_260.5",1
"120.09073_345.7",6
"120.09316_345.8",6
"120.9725_1197.6",1
"121.03202_415.9",1
"121.03991_187.1",3
"121.06842_558.4",1
"122.00654_1193.1",1
"122.03159_416.1",6
"122.03538_415.9",6
"122.08145_425.3",8
"122.10847_450.6",11
"123.02787_415.9",6
"123.0555_154.7",1
"123.09695_345.8",9
"123.10312_345.7",9
"123.11473_450.8",11
"124.03949_194.9",25
"124.03946_211.8",26
"124.10025_345.8",10
"124.1181_450.8",7
"126.02214_585",1
"126.13667_426",14
"127.07286_323.3",26
"128.13114_263.8",1
"129.06603_500",4
"130.05002_599.4",5
"130.05002_651.9",10
"130.06939_499.8",4
"130.15921_314.5",1
"131.05342_599.6",5
"131.0704_496.2",3
"131.07037_460.5",5
"132.07689_576.6",30
"132.10198_360.2",28
"132.10201_476.4",6
"132.10205_306.1",1
"133.02782_789.3",1
"133.03187_379.2",31
"133.099_343",13
"133.09898_360.7",1
"133.10538_476.5",6
"133.10542_306.1",1
"134.04493_668",1
