"Module_RTclust","mz","time","X190715_Blk_KM1906U14.Blk_C.mzML","X190715_Poo_TruePooFK180310_Full1.mzML","X190715_Poo_TruePooFK180310_Full2.mzML","X190715_Poo_TruePooFK180310_Full3.mzML","X190715_Poo_TruePooFK180310_Half1.mzML","X190715_Poo_TruePooFK180310_Half2.mzML","X190715_Poo_TruePooFK180310_Half3.mzML","X190715_Smp_FK180310S62C1.25m_A.mzML","X190715_Smp_FK180310S62C1.25m_B.mzML","X190715_Smp_FK180310S62C1.25m_C.mzML","X190715_Smp_FK180310S62C1.DCM_A.mzML","X190715_Smp_FK180310S62C1.DCM_B.mzML","X190715_Smp_FK180310S62C1.DCM_C.mzML","X190715_Smp_FK180310S64C1.25m_A.mzML","X190715_Smp_FK180310S64C1.25m_B.mzML","X190715_Smp_FK180310S64C1.25m_C.mzML","X190715_Smp_FK180310S64C1.DCM_A.mzML","X190715_Smp_FK180310S64C1.DCM_B.mzML","X190715_Smp_FK180310S64C1.DCM_C.mzML","X190715_Smp_FK180310S77C1.25m_A.mzML","X190715_Smp_FK180310S77C1.25m_B.mzML","X190715_Smp_FK180310S77C1.25m_C.mzML","X190715_Smp_FK180310S77C1.DCM_A.mzML","X190715_Smp_FK180310S77C1.DCM_B.mzML","X190715_Smp_FK180310S77C1.DCM_C.mzML","X190715_Smp_FK180310S80C1.25m_A.mzML","X190715_Smp_FK180310S80C1.25m_B.mzML","X190715_Smp_FK180310S80C1.25m_C.mzML","X190715_Smp_FK180310S80C1.DCM_A.mzML","X190715_Smp_FK180310S80C1.DCM_B.mzML","X190715_Smp_FK180310S80C1.DCM_C.mzML","X190715_Std_4uMStdsMix1InH2O_1.mzML","X190715_Std_4uMStdsMix1InH2O_2.mzML","X190715_Std_4uMStdsMix1InMatrix_1.mzML","X190715_Std_4uMStdsMix1InMatrix_2.mzML","X190715_Std_4uMStdsMix2InH2O_1.mzML","X190715_Std_4uMStdsMix2InH2O_2.mzML","X190715_Std_4uMStdsMix2InMatrix_1.mzML","X190715_Std_4uMStdsMix2InMatrix_2.mzML","X190715_Std_H2OinMatrix_1.mzML","X190715_Std_H2OinMatrix_2.mzML"
"1_1",154.07717,191.3,748495.4,1715748.8,1633389.4,2729557.3,655682.1,746653.6,1233450.5,1502889.1,2888432.4,1726967.8,1956643.9,2517416,2597770.7,1640816.6,1570568.4,1376536.1,1886758.5,3099070.5,2704266.6,2624885.8,1450151.6,1808548.5,1604705.9,1591564.6,2907937.2,2779420.4,1971605.1,1748358.7,1538047.5,2419333.7,1706293.8,0,0,85926,107381.6,0,0,344768.2,212233.4,498278.4,122793.2
"1_1",171.08441,191.7,42002949.3,40175812.8,35795045.8,51143072.7,18975170.5,18841374.2,27974080.5,35596937.2,54939522.2,37684729.3,40418719.4,54695975.6,50693124.9,51990278.4,32845435.7,37524919.3,37561962.3,56080943.6,50896838.5,49961781,31921552,38333645,36579880.8,37776058.1,54369275.1,51672565.5,43206184.5,37143846,35277003.3,48546790.6,34812263.6,0,0,15600723.6,10205672.8,0,0,19981627.7,18971323.1,17687339.2,7989383.1
"1_1",154.08023,195,1034964.2,1025852.6,1271418.3,1825574.7,406082.8,503053,521443.5,806098.5,2037531.3,1136024.7,1027139.7,1923996.1,1801425.3,1949252,880747.6,981806,944396.3,2054932.4,1885056.6,1671358.6,711533.7,1150735,1102678.3,1344267,2069278.9,1855520.8,1143495.1,932538.3,1000433.1,1782806.3,983056.1,0,0,287426.8,169771.3,0,0,295238.8,275233.6,453130.9,77438
"1_3",141.11351,228.3,2395739.6,1480711.9,1340667.6,2254932.4,704318.5,676234.4,983031.9,1266548.6,2307893.4,1422301,645646.2,2142495.4,2927244.5,2063278.2,1218437,1206498.3,1360702.5,2244249.5,2250377.2,1175898.4,1597400.4,1204673.4,1567630.2,1249803.4,2694658.9,2908867,1670575.4,1360771.4,1717976.6,2969697.3,1515829.1,17422.7,0,48107.4,68766.5,27050.3,10118.7,366828.3,112342.6,767398.9,337889.7
"1_3",120.03255,230.9,2876784.2,2165970.8,1165564,603900.6,699950.4,582920.8,692049.3,1984678.2,2646864.3,1986398.1,545680.1,2718272.1,2443247.1,2639416.1,1488469.4,1788592,1743261.3,2475016.7,2689655.2,1843354.7,989227.3,1663437.5,1850134.9,1733922.5,2602792.3,2118221.3,2208701.7,2041537.3,1484768.5,2125266.4,1466230.2,7719,12105.7,165280.6,219757.8,0,11449.2,366940,282696,436346.6,407231.2
"1_3",138.05587,230.9,818361927.8,620857806.2,442786150.1,568953259,356778066.7,184639980.9,159841408.8,566869432,746993227.7,488633704.4,560241765.2,786742756,742306322.4,744630931.6,360760696.8,468682122.5,543875121.3,709597820,770246896.4,605830330.9,410702489.6,496880969.2,610277698.6,555364124.5,782543368.1,639421425.8,656673815.9,613027291.5,442824271.5,654248484.1,438989496.3,0,0,216895951,207167934.2,0,0,136965929.6,36838959,114477367.4,202640894.4
"1_3",139.05293,230.9,10135223.7,7919437.1,5690445.8,7013650.8,4342881.3,2697625.4,4060422.6,7165216.3,9265505.2,5830796.3,7349020.8,9818263,9315456.3,9405300.9,5643341.9,6722958.3,6897057.2,8952979.2,9555806.8,7739698.7,5263949.9,6111970.2,7597882.3,6953728.4,9675340.4,7958191.5,8224449.8,7100988.3,5677068.9,8043919.5,5174732.2,0,0,2701366.6,2376494.3,0,0,2404978,2361029.7,2467996.3,2279092.5
"1_3",139.05923,230.9,42825105.3,32777325.4,20388465.9,2905372.8,18438609.8,9990877.2,10927788.3,29967775.9,39367443.8,22762654,30313917.3,42004714.4,38230407.7,38961777.9,18295256.9,26894567.9,28503358.5,37312097.4,40310523.8,32210679.5,21519092.8,26002711.6,32622306.4,29158180.3,41336809.7,32715757.7,34023658,32384503.5,22873810.4,34558849.3,22646633.1,0,0,460456.6,1376820,0,0,6949558.8,564368.1,5496686.9,4348961.1
"1_3",388.03646,230.9,14411057,9981577.7,5808700.5,8481454.6,6828973.7,2640790.4,4963586.2,10050092.2,12804355.9,7291579.5,9180927.4,12972509.4,11645519,13016880.1,5290839.4,7085271.9,6691764.5,10576518.2,11150085.3,12668572.1,6134725.9,6280681.4,9912046.5,6676705.2,13812062.3,10162167.3,10568464.9,10279120.8,10593377.9,13259855.1,10261934.6,0,0,3203930.8,3014229.5,0,0,3154472.5,1292713.2,3342744.5,1059882.4
"1_13",181.01149,332.8,774195281,810354112.6,748513069.1,1144393413.7,394188327.7,384559523.6,540656530.7,699280446.9,1134424534.2,670381434.9,774189194.1,1059646879.6,1138197674,1133055700.8,690527735.9,773832629,758187635.8,1135740666.1,1216198133,1074599199.8,699224748.3,751343990.1,728640393.6,766792571.6,1191568217.1,1115699786.4,803854517.8,736313620,717181608.2,1096446459.5,773298474.1,0,0,0,0,0,0,0,0,0,0
"1_13",182.01478,332.8,23774399.2,24725256.4,20570554.6,34313711.4,3915100.2,11719802.3,15507028.7,21339276,35154415.1,19484870.2,23674008.5,32351920,34752352,34978868.2,20940778.7,21591848.8,23180569.4,34989975.4,37435526,33099841.3,21273802.8,22945812,22459907.2,23540137.9,36614057.3,32304185.1,24537735.2,22254309.7,21986211.6,33793466.6,23621520.5,0,0,0,0,0,0,0,0,0,0
"1_13",123.10312,345.7,4195130.9,4242027,3771297,5331046.5,2074618.1,2024485.8,2687655.3,3636469.3,6079131.2,3319930,4091221.2,3999431,6161679.2,6042530.6,3260365.4,3592321.6,3464651,6165104.9,4522965.6,5873690.6,3738809.3,3610936,4249724.3,4096360.9,6116313.6,5531001.5,4406247.4,3737073.9,3893665,5432332.5,3510052.2,0,0,1717788.4,2019334.7,0,0,1687822.6,1763306.3,2780876.4,934381.5
"1_13",123.09695,345.8,11804946.2,11966655.1,11196881.2,17457597.8,5809712.4,5593390.5,8368821.8,10747216,17802926.1,3790469.3,11961936.3,17197950.2,18487751.5,17542583.1,9569386.5,12213370.7,11196282.6,17244949.8,19094623.2,16608051.3,10611099.7,10502759.5,12237950.8,11804236.5,18105182.6,17447457.9,12658860.3,12147773.1,11416872.3,17411633.1,11819631.8,0,0,1833075,2890721.2,0,0,6615505.1,6999926.1,7700925.5,7330837
"1_13",124.10025,345.8,495201194.2,518445621.7,480304040,738172957.3,251250497.8,251659524.2,352135217.1,463784157.7,751716603.7,472580359.2,496925578.9,689319506.9,757857143.9,728112023.6,399779159,494600914.6,463800846.2,708289971.5,795134455.1,702530844.5,447259373.3,440462897.3,507700094.6,494329291.5,771229451.6,709858458,534475674.4,511991685.6,474004121.1,740645098.2,494706883.2,0,0,310874142.2,290333001.1,0,0,307227905.2,302105640,334315917.9,312879576
"1_18",156.05751,403.2,4887201.4,5199358.8,3395871.4,4383389.4,2767435.9,1893081.4,2277437.4,4377413.1,4921718,4580792.9,6152356.1,7319768.5,4590049.7,5644755.3,3151415,4237896.2,3913414.2,4476928.7,5225160,4867984.2,3160034,3130262.1,6085844.5,4339857.5,5089712.2,4235565.3,6236152.9,5465180.1,5694211,5227989.8,5539407.8,0,0,1480334.9,595287.1,0,0,964229.1,654863,848710.8,673867.9
"1_18",155.05413,403.4,118185794.9,129147060.4,80701533.5,104796962.7,66652411.5,46334891.2,57069175,105443089.9,125616000.7,111986717.3,144204022.5,173753759.3,113146979.7,131400864.3,75113740.1,101811589.7,93731211.1,105930221.5,127724342.8,113132593.3,77370108.7,86523599.8,145294503.7,101923882.4,121575500.9,104510581.6,146974791.7,127103659.5,132279939.2,125967235.2,129112039.7,0,0,39841565.1,27552407.5,0,0,40945405,29923724.1,39571758.3,28355713.5
"1_37",377.13312,606.1,2319127.2,2315692.2,1888521.2,2559671.7,910286,800678.5,1029020.2,2321340.9,2100121.8,1648413.2,1479290.5,1340500.2,2435262.7,1651015.9,58941.8,2082530.6,1523865.1,2233391,2223200.7,2452294.3,1679183.6,2118590.7,1684853.3,1151169.7,2578774,2477568.2,2060379.3,2102673.5,2052280.1,2107827.9,2513130.5,0,0,1285234,692828.5,0,0,1380050.2,1898675.3,1669083,580328.9
"1_41",418.15982,660.4,1898738.3,2103230.4,1888395.6,2612185,783766.7,500187.2,1241357.4,2192451.7,2183891.7,1698090.8,1609811.7,1661804.3,2408929,2129202.8,653436.4,2113965.4,1467679.7,2363850.1,2148069.7,1798700.1,1669094.5,2233558.4,1532690.9,1240860.3,2392257.4,1653500.3,1977230.2,2037243.9,1753479.4,1951227.9,2178489.2,0,0,501234.2,1025992.7,0,0,814248,915186.9,1147595.7,992847.5
"2_1",298.09682,149.5,0,536047.2,174181.6,120175.3,179599,19213.2,98890.3,4999703.3,1024247.1,835363.5,0,223865.4,435175.3,796768.8,1404650.2,87981.7,60347.9,180858.6,181186.3,295880.5,327095,192347.6,43514.3,80295.4,566419.4,264280.8,203248.1,276164.1,116966.5,349136.8,388049.4,92364346.2,98952320.3,7439246.1,162542381.1,1035848400,459239578.9,133119468.4,52805383,4944604.6,6113914.4
"2_1",300.09242,158.6,0,0,0,0,0,0,0,24320.7,0,0,0,0,0,0,0,0,8484.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843216.9,2198594.2,4174084.5,6749315,42760898.1,53441249,43357126,49941438.1,12599.8,49803.3
"2_1",136.06182,159.3,204876.8,264495.3,703358.3,22531.4,394693.6,209728.2,343271.6,850738.5,827346.6,586510.6,22709.4,543847.9,730862.9,482775.3,657832.5,338872.2,164609.5,269972.7,320847.2,7428570.7,859300.7,354088.7,65585.3,692257.6,314526.1,914897.5,182327.6,290646,335917.6,975484.7,129148.3,7653217,7917477.5,4303414.9,14220568.7,67267267.4,87473165.9,71804305.8,85000631.9,5449146.3,1678718
"2_3",136.06183,182.3,395601.7,2589072.3,1348070.9,2418608.6,845672,574861.7,830624,920214.7,2780711,1488038.8,41871.1,2420328.5,1947611.1,1045387.3,1311857.1,530553.9,325286,764654.6,777036.9,31072921.9,3316709.8,619035.8,87089.5,1096172.5,959140.8,2841521.3,802044.8,2174637.6,652299.9,2923388.2,616316.4,711721.7,4050846.6,34005463.9,33221541.3,506235996,596139077.6,538646784.5,597290776.5,35168884.6,29607861.5
"2_3",253.11245,190.7,0,19923.8,31486.3,30306.1,5090.2,0,0,8072.3,19198.1,46632.2,0,66811,12147.4,0,41813.9,0,25345.2,16904,0,4081010.6,61018.1,0,0,64247.3,0,90037.5,0,0,0,0,0,0,0,8945594,3464529.2,161244732,181970227.2,178874019.2,186990370.5,2210591.7,8195778.2
"2_3",124.03949,194.9,0,10383927.8,19284472.3,3468924.8,12486634.2,7369607.4,7018567.5,41776085.9,21843166.3,71971272.9,3354129,28049139,11117929.4,26431518.7,25916734.5,65537229.8,8282156.8,12595048,6121926.5,6786517,6708026.4,107070988.9,10166659.5,5622750.6,2179345.5,2070976,15684922.3,26274556.9,894968.9,8570574,8296942.2,0,0,26983645.7,25312299.7,799873431.6,597191975.5,822577250.5,652275743.6,20926117.4,16512227.4
"2_4",124.03946,211.8,0,2205344.4,6935516.8,1510152,7437905.9,3883363,3096516.2,5247865.7,6563759.7,27314198.5,292744.8,18173536.8,5000565.1,12861097.2,10831423,35535768.9,1649669,4248600.9,2662218.5,1100019,2014731.6,60212478.1,2769323.2,1344773.2,2028072.6,1010179.7,2899994.8,2372402.1,951775.6,4209778.1,5293314,0,0,70413692,50823902.5,1411712674.6,1281349149.5,1503407750.3,1351445120.1,71226950.4,48236740.8
"2_4",269.10757,214.4,161429.7,5575703.9,2519137.5,811505.7,3411132.2,572103.8,1062270.1,9070583,4941714.2,15080317,60818.7,8237432.6,3397079.6,3574789.9,2522373.8,6824095.4,759940,3101725.8,1195543.1,10902521.7,4063520.1,619671,39149.6,1557559.6,2504218.1,958426,3905594.4,5267516,500629.6,2341543.6,3592542,0,0,35344673.5,31068977.5,131224106.2,135141449.7,146986828.2,139452352.6,35818283.7,24442951.9
"2_4",518.08481,219.4,0,127428,10135.2,10874.2,80823.3,0,11993.6,375754.2,74324.2,318345,0,256771.2,61223,19081.3,0,76573,0,49134.2,0,289893.5,20693.3,0,0,0,32004.1,37064.4,38686.7,154016.3,0,52717.6,25227.5,0,0,1303460.6,650193,9993057.4,10897795.3,9208965.8,5022429.3,3201364.6,1873320.3
"2_10",137.04588,289.5,1991379.5,41218195,23572562.7,26688331.9,24611520.9,12323174.9,16202059.4,57032829.4,29924489.4,44900376.3,26196323.8,175995702,21410222.8,23952215.7,13568253.3,135504320.8,15688363.4,15839351.7,24937871.4,70691126.7,13343007.3,11582479.8,18301196.8,9278919.4,16349068.2,9841957.4,24338172,39486488.2,8929373.5,20408850,26345736.4,0,0,44266177.7,37228173.5,987216102.9,948455906.3,1027244004.8,944021439.9,43599908.9,32518682.6
"2_13",127.07286,323.3,42302620.7,27549506.5,23046377.6,32365144.6,14497804.9,11282227.9,16467296.5,6623098.5,42268587.9,8146766.9,8020697.1,3990563.4,16952796.8,3419217.1,3884135.3,2615030.1,1472287.2,2281263.5,4501848.3,66638114.5,31190308.7,85353957.9,48518906.1,18515103.7,26518621.4,16181983.5,5008625.8,53454420.9,18048466.8,19186988.9,143774276.4,146963.4,137927.6,6044881.3,5878518.3,2064159819.9,2371616034.3,2214616905.6,2230251654.9,6421056.9,4403595.1
"2_13",112.05089,325.5,5208903.1,40043959.8,21753654.9,25850315.9,25587040.8,11009894.6,17405274.9,59019087.3,49075283.2,21360250.9,18163883.7,86779128.6,47292388.4,27362399.4,28804833.4,25522900.1,26865763.1,36567716.2,32695143,22577500.3,23620707.8,21815923.6,19067459.7,23443938.4,39890663.4,29939655.1,46064753.1,53695480.3,23740017.4,36510333.1,29957440.7,2563266.4,1809115.1,59366110.1,53201974.7,1269465182.2,1289074423.8,1314414291.2,1249108619,65150163,52154077.1
