"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB00001",0,"1_1",377.13312,606.1,"Multiple","377.13341","1-Methylhistidine","C7H11N3O2","169.085126611","2M+K","ISgroup_1_37_14",1595263.3,0.133
"HMDB00001",0,"5_1",252.14415,554.7,"Multiple","252.1455","1-Methylhistidine","C7H11N3O2","169.085126611","M+2ACN+H","ISgroup_5_27_15",69411936.2,0.144
"HMDB00005",0,"7_24",246.09731,518.3,"Multiple","246.09721","2-Ketobutyric acid","C4H6O3","102.031694058","2M+ACN+H","ISgroup_7_12_10",7246894.9,0.097
"HMDB00005",0,"17_1",120.06577,589.1,"Multiple","120.06552","2-Ketobutyric acid","C4H6O3","102.031694058","M+NH4","ISgroup_17_22_7",4659204.9,0.066
"HMDB00005",0,"7_1",154.05328,264.6,"Multiple","154.05482","2-Ketobutyric acid","C4H6O3","102.031694058","3M+2H","ISgroup_7_6_6",13185458.2,0.053
"HMDB00005",0,"7_19",246.09737,455.4,"Multiple","246.09721","2-Ketobutyric acid","C4H6O3","102.031694058","2M+ACN+H","ISgroup_7_11_10",3839852.4,0.097
"HMDB00005",0,"15_1",185.0922,394.9,"Multiple","185.09207","2-Ketobutyric acid","C4H6O3","102.031694058","M+2ACN+H","ISgroup_15_11_10",10069500.9,0.092
"HMDB00005",0,"5_1",246.09723,495.6,"Multiple","246.09721","2-Ketobutyric acid","C4H6O3","102.031694058","2M+ACN+H","ISgroup_5_24_10",12035588.6,0.097
"HMDB00008",0,"13_1",122.08145,425.3,"Multiple","122.08117","2-Hydroxybutyric acid","C4H8O3","104.047344122","M+NH4","ISgroup_13_6_9",25011583.6,0.081
"HMDB00008",0,"17_1",87.04463,615.8,"Multiple","87.04464","2-Hydroxybutyric acid","C4H8O3","104.047344122","M+H-H2O","ISgroup_17_24_5",4130444.4,0.045
"HMDB00008",0,"14_1",135.02364,788.9,"Multiple","135.02353","2-Hydroxybutyric acid","C4H8O3","104.047344122","2M+Na+K","ISgroup_14_1863_3",15522477.4,0.024
