"chemical_ID","Confidence","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB00034",3,25714.2857142857,"17_1",136.06188,230.8,"Multiple",136.06177,0.81,"Adenine","C5H5N5","135.054495185","M+H","ISgroup_17_1_7",266677820.7,0.062
"HMDB00034",3,25714.2857142857,"17_1",137.06522,230.3,"Multiple",NA,NA,"Adenine","C5H5N5","-","M+H_[+1]","ISgroup_17_1_7",14420037.397561,0.0652200000000107
"HMDB00062",3,26732.6732673268,"7_1",162.11253,403.4,"Multiple",162.11247,0.37,"L-Carnitine","C7H15NO3","161.105193351","M+H","ISgroup_7_11_12",148634947.5,0.113
"HMDB00062",3,26732.6732673268,"7_1",163.11583,403.3,"Multiple",NA,NA,"L-Carnitine","C7H15NO3","-","M+H_[+1]","ISgroup_7_11_12",10571668.2,0.115829999999988
"HMDB00079",3,26470.5882352941,"4_1",129.06603,500,"Multiple",129.06585,1.39,"Dihydrothymine","C5H8N2O2","128.05857751","M+H","ISgroup_4_13_7",53216568.1,0.066
"HMDB00079",3,26470.5882352941,"4_1",130.06939,499.8,"Multiple",NA,NA,"Dihydrothymine","C5H8N2O2","-","M+H_[+1]","ISgroup_4_13_7",2488997.50243902,0.0693899999999985
"HMDB00132",3,27000,"4_1",152.05673,403.3,"Multiple",152.05669,0.26,"Guanine","C5H5N5O","151.049409807","M+H","ISgroup_4_5_6",272928839,0.057
"HMDB00132",3,27000,"4_1",153.06008,403.3,"Multiple",NA,NA,"Guanine","C5H5N5O","-","M+H_[+1]","ISgroup_4_5_7",14279827.0170732,0.0600799999999992
"HMDB00172",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"L-Isoleucine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB00172",3,25714.2857142857,"8_1",133.10538,476.5,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M+H_[+1]","ISgroup_8_26_11",33905553.8097561,0.105379999999997
"HMDB00172",3,25714.2857142857,"8_1",134.10618,476.9,"Multiple",NA,NA,"L-Isoleucine","C6H13NO2","-","M+H_[+2]","ISgroup_8_26_11",1403676.49512195,0.106179999999995
"HMDB00403",3,27000,"4_1",152.05673,403.3,"Multiple",152.05669,0.26,"2-Hydroxyadenine","C5H5N5O","151.049409807","M+H","ISgroup_4_5_6",272928839,0.057
"HMDB00403",3,27000,"4_1",153.06008,403.3,"Multiple",NA,NA,"2-Hydroxyadenine","C5H5N5O","-","M+H_[+1]","ISgroup_4_5_7",14279827.0170732,0.0600799999999992
"HMDB00542",3,27000,"4_1",152.05673,403.3,"Multiple",152.05669,0.26,"8-Hydroxyadenine","C5H5N5O","151.049409807","M+H","ISgroup_4_5_6",272928839,0.057
"HMDB00542",3,27000,"4_1",153.06008,403.3,"Multiple",NA,NA,"8-Hydroxyadenine","C5H5N5O","-","M+H_[+1]","ISgroup_4_5_7",14279827.0170732,0.0600799999999992
"HMDB00557",3,25714.2857142857,"8_1",133.10538,476.5,"Multiple",NA,NA,"L-Alloisoleucine","C6H13NO2","-","M+H_[+1]","ISgroup_8_26_11",33905553.8097561,0.105379999999997
"HMDB00557",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"L-Alloisoleucine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB00557",3,25714.2857142857,"8_1",134.10618,476.9,"Multiple",NA,NA,"L-Alloisoleucine","C6H13NO2","-","M+H_[+2]","ISgroup_8_26_11",1403676.49512195,0.106179999999995
"HMDB00641",3,25714.2857142857,"16_1",147.07646,599.1,"Multiple",147.07642,0.27,"L-Glutamine","C5H10N2O3","146.069142196","M+H","ISgroup_16_12_8",75809094.2,0.076
"HMDB00641",3,25714.2857142857,"16_1",148.07983,599.6,"Multiple",NA,NA,"L-Glutamine","C5H10N2O3","-","M+H_[+1]","ISgroup_16_12_8",3833957.0804878,0.079829999999987
"HMDB00687",3,25714.2857142857,"8_1",133.10538,476.5,"Multiple",NA,NA,"L-Leucine","C6H13NO2","-","M+H_[+1]","ISgroup_8_26_11",33905553.8097561,0.105379999999997
"HMDB00687",3,25714.2857142857,"8_1",132.10201,476.4,"Multiple",132.1019,0.83,"L-Leucine","C6H13NO2","131.094628665","M+H","ISgroup_8_26_11",534401891,0.102
"HMDB00687",3,25714.2857142857,"8_1",134.10618,476.9,"Multiple",NA,NA,"L-Leucine","C6H13NO2","-","M+H_[+2]","ISgroup_8_26_11",1403676.49512195,0.106179999999995
"HMDB00875",3,27000,"12_1",139.05838,379.6,"Multiple",NA,NA,"Trigonelline","C7H7NO2","-","M+H_[+1]","ISgroup_12_9_6",17539383.4268293,0.0583799999999997
"HMDB00875",3,27000,"12_1",138.05503,379.6,"Multiple",138.05495,0.58,"Trigonelline","C7H7NO2","137.047678473","M+H","ISgroup_12_9_6",243089071.2,0.055
"HMDB00875",3,27000,"1_1",139.05923,230.9,"Multiple",NA,NA,"Trigonelline","C7H7NO2","-","M+H_[+1]","ISgroup_1_3_6",22254338.6341463,0.0592300000000137
