"","feature","mzmed","rtmed","avgarea","formula"
"1","FT002",63.0270316120598,493.771423339844,4926490.74350863,"C2H6S"
"2","FT003",70.0658201288959,448.888397216797,11993396.0627497,"C4H7N"
"3","FT004",72.0814611871385,422.611419677734,9884526.00634355,"C4H9N"
"4","FT005",74.0970861231854,542.670837402344,95908310.4114719,"C4H11N"
"5","FT007",76.0399688618242,627.572143554688,5440375.56603835,"C2H5NO2"
"6","FT008",76.0763258236447,312.959838867188,1054512346.94342,"C3H9NO"
"7","FT015",84.0449919850937,652.12646484375,8120525.64261063,"C4H5NO"
"8","FT016",84.0449965809106,599.582336425781,12216585.1901747,"C4H5NO"
"9","FT017",86.0606226802208,615.952026367188,6663780.40713365,"C4H7NO"
"10","FT018",86.0969921863433,348.486419677734,5710406.54380289,"C5H11N"
"11","FT019",87.0446295451188,615.9297,4036585.4300517,"C4H6O2"
"12","FT020",87.0446135063118,531.747436523438,3726190.27795751,"C4H6O2"
"13","FT021",88.1126442081856,511.781066894531,4622407.69245835,"C5H13N"
"14","FT022",90.0555083897274,611.433837890625,9980351.31900049,"C3H7NO2"
"15","FT023",90.055514472377,580.981994628906,8955096.51516344,"C3H7NO2"
"16","FT024",90.0555064528119,538.239135742188,9709007.33667174,"C3H7NO2"
"17","FT025",90.0919002028268,328.030364990234,38153724.4493199,"C4H11NO"
"18","FT026",90.0918486551073,307.8017578125,134438883.710379,"C4H11NO"
"19","FT027",93.0452399308452,188.258575439453,2216941.45194325,"C5H4N2"
"20","FT029",100.039782532906,500.691986083984,1665955.09092883,"C4H5NO2"
"21","FT030",101.10777360144,525.771179199219,3217923.66061126,"C5H12N2"
"22","FT031",102.055399393485,652.153137207031,2741508.78150131,"C4H7NO2"
"23","FT032",102.128129897979,339.097076416016,4546777.79864788,"C6H15N"
"24","FT035",104.107394205588,554.662139892578,122269894.524233,"C5H13NO"
"25","FT037",106.05029934585,626.029235839844,2838957.77240489,"C3H7NO3"
"26","FT038",106.086668391601,464.293731689453,8654235.59226629,"C4H11NO2"
"27","FT040",112.050892389643,325.503173828125,147038316.95035,"C4H5N3O"
"28","FT043",113.060055242104,102.689384460449,17071420.0563935,"C6H8O2"
"29","FT046",116.070895283883,449.276184082031,95721471.2688241,"C5H9NO2"
"30","FT048",117.054923969042,569.634429931641,8851508.74447284,"C5H8O3"
"31","FT051",117.113766120021,563.303375244141,682791.655769311,"C4H12N4"
"32","FT054",118.086452895845,345.798004150391,4336461843.83181,"C5H11NO2"
"33","FT055",118.122704770433,345.765869140625,4583730.50371738,"C6H15NO"
"34","FT061",120.065785994173,587.6796875,5376415.90265657,"C4H9NO3"
"35","FT062",120.081002447234,266.394561767578,19633383.9117162,"C8H9N"
"36","FT067",121.032016412326,415.892395019531,294896912.028922,"C4H8O2S"
"37","FT069",121.06842397102,558.725860595703,2453178.36683398,"C5H12OS"
"38","FT073",122.081448508027,425.107177734375,24745290.4152582,"C4H11NO3"
"39","FT081",124.039470708306,197.939636230469,110236864.63227,"C6H5NO2"
"40","FT084",126.022140374719,586.052856445312,9834655.47123704,"C2H7NO3S"
"41","FT088",129.066036125532,500.294097900391,54154183.7873894,"C5H8N2O2"
"42","FT089",130.050018310547,599.582336425781,46667303.2916848,"C5H7NO3"
"43","FT090",130.050019077549,652.103759765625,13143266.7770257,"C5H7NO3"
"44","FT092",130.15919935757,316.620056152344,15674223.6556845,"C8H19N"
"45","FT095",131.07037930161,453.304565429688,11502905.209041,"C6H10O3"
"46","FT096",132.076886330929,576.462127685547,117507820.337238,"C4H9N3O2"
"47","FT097",132.101994407718,348.626312255859,30954585.7829929,"C6H13NO2"
"48","FT098",132.102012934193,476.324554443359,571770423.419183,"C6H13NO2"
"49","FT099",132.102045320014,306.426422119141,140291281.383162,"C6H13NO2"
"50","FT101",133.031877772777,368.569732666016,5115184.42866111,"C5H8O2S"
"51","FT107",134.081256648184,528.467620849609,3981039.43542191,"C5H11NO3"
