"","Compound.Type","Compound.Name","Emperical.Formula","RT..min.","rt.sec","m.z","mass","premass"
"1","New2","Trimethylamine","C3H9N",5.96,357.6,60.081324,59.073499317,1.007824683
"2","Amino Acid","Glycine","C2H5NO2",11.51,690.6,76.039854,75.032028437,1.00782556300001
"3","New2","Trimethylamine N-oxide","C3H9NO",6.59,395.4,76.076239,75.068413947,1.007825053
"4","Amino Acid","Alanine","C3H7NO2",11.3,678,90.055504,89.047678507,1.007825493
"5","Amino Acid - degraded","Aminobutyric Acid","C4H9NO2",11.155,669.3,104.071154,103.063328577,1.00782542300001
"6","Amino Acid derivative","Dimethyl Glycine","C4H9NO2",8.97,538.2,104.071154,103.063328577,1.00782542300001
"7","Amino Acid","Serine","C3H7NO3",11.86,711.6,106.050419,105.042593137,1.00782586300001
"8","Amino Acid","Proline","C5H9NO2",9.49,569.4,116.071154,115.063328577,1.00782542300001
"9","New","Homocysteine Thiolactone","C4H7NOS",2.78,166.8,118.032661,117.024834577,1.00782642300001
"10","Amino Acid derivative","Betaine","C5H11NO2",7.86,471.6,118.086804,117.078978647,1.007825353
"11","Amino Acid","Valine","C5H11NO2",9.09,545.4,118.086804,117.078978647,1.007825353
"12","New","Homoserine","C4H9NO3",11.32,679.2,120.066069,119.058243207,1.00782579299999
"13","Amino Acid","Threonine","C4H9NO3",10.92,655.2,120.066069,119.058243207,1.00782579299999
"14","New2","L-Pyroglutamic acid ","C5H7NO3",7.97,478.2,130.050419,129.042593137,1.00782586299999
"15","Amino Acid - collagen","trans Hydroxyl proline","C5H9NO3",10.07,604.2,132.066069,131.058243207,1.00782579299999
"16","Organic Acid - nitrogenous","Creatine","C4H9N3O2",11.34,680.4,132.077302,131.069476581,1.007825419
"17","Amino Acid","Isoleucine","C6H13NO2",8.17,490.2,132.102454,131.094628717,1.00782528299999
"18","Amino Acid","Leucine","C6H13NO2",7.63,457.8,132.102454,131.094628717,1.00782528299999
"19","Amino Acid","Asparagine","C4H8N2O3",11.86,711.6,133.061318,132.053492174,1.00782582599999
"20","New","Ornithine","C5H12N2O2",16.79,1007.4,133.097703,132.089877684,1.00782531600001
"21","Amino Acid","Aspartic acid","C4H7NO4",12.86,771.6,134.045334,133.037507767,1.007826233
"22","Nucleic Acid","Adenine","C5H5N5",4.72,283.2,136.06232,135.054495185,1.00782481499999
"23","New","Trigonelline","C7H7NO2",8.36,501.6,138.055503,137.047678507,1.00782449299999
"24","New","Stachydrine hydrochloride","C7H13NO2",7.18,430.8,144.102454,143.094628717,1.00782528299999
"25","Amino Acid","Glutamine","C5H10N2O3",11.7,702,147.076968,146.069142244,1.00782575599999
"26","Amino Acid","Lysine","C6H14N2O2",17.5,1050,147.113353,146.105527754,1.00782524599998
"27","Amino Acid","Glutamic acid","C5H9NO4",12.41,744.6,148.060984,147.053157837,1.007826163
"28","New","N-Acetyl-Serine","C5H9NO4",6.27,376.2,148.060984,147.053157837,1.007826163
"29","Amino Acid","Methionine","C5H11NO2S",7.96,477.6,150.058876,149.051049347,1.007826653
"30","Amino Acid","Histidine","C6H9N3O2",11.45,687,156.077302,155.069476581,1.007825419
"31","New","Carnitine","C7H15NO3",10.21,612.6,162.113019,161.105193417,1.007825583
"32","Amino Acid - collagen","Hydroxylysine","C6H14N2O3",16.37,982.2,163.108268,162.100442384,1.00782561600002
"33","New","Methionine Sulfoxide","C5H11NO3S",9.73,583.8,166.053791,165.045963977,1.00782702299998
"34","New6","Pyridinedicarboxylic acid","C7H5NO4",10.17,610.2,168.029684,167.021857697,1.007826303
"35","Amino Acid","Arginine","C6H14N4O2",17.93,1075.8,175.119501,174.111675758,1.00782524200002
"36","New6","Succinylglycine","C6H9NO5",12.58,754.8,176.055899,175.048072467,1.00782653300001
"37","New","Citrulline","C6H13N3O3",12.21,732.6,176.103517,175.095691351,1.00782564900001
"38","New","Cys-Gly","C5H10N2O3S",9.53,571.8,179.04904,178.041212944,1.007827056
"39","New2","Glucosamine","C6H13NO5",9.97,598.2,180.087199,179.079372607,1.00782639299999
"40","Amino Acid","Tyrosine","C9H11NO3",9.76,585.6,182.081719,181.073893277,1.007825723
"41","New","N(e)-Acetyl-Lysine","C8H16N2O3",9.71,582.6,189.123918,188.116092454,1.00782554599999
"42","New6","Acetylglutamic acid","C7H11NO5",11.84,710.4,190.071549,189.063722537,1.00782646300001
"43","New2","Acetyl-L-carnitine","C9H17NO4",7.22,433.2,204.123584,203.115758117,1.00782588299998
"44","New2","Propionyl-L-carnitine","C10H19NO4",5.63,337.8,218.139234,217.131408187,1.00782581299998
"45","New6","Ergothioneine","C9H15N3O2S",11.29,677.4,230.096324,229.088497491,1.00782650900001
"46","New2","Butyryl-L-carnitine","C11H21NO4",4.47,268.2,232.154884,231.147058257,1.00782574300001
"47","Amino Acid","Cystine","C6H12N2O4S2",13.1,786,241.031677,240.023848344,1.00782865600002
"48","Peptidoglycan","Muramic Acid","C9H17NO7",11,660,252.108329,251.100502007,1.00782699300001
"49","Quorum sensing","PQS","C16H21NO2",2.16,129.6,260.165054,259.157228997,1.00782500299999
