"Peak_id","Peak_mz","Peak_center","Peak_height","Peak_width","Peak_area","Peak_start_time","Peak_end_time","Peak_area_top","Peak_ridge_length","Peak_ridge_drift","Peak_gauss_fit","Peak_SNR"
"1.1.1",135.047506037199,493.20951,67720792,60.4876733515502,1471774871.66846,463.16334,523.83369,65715130.6666667,56,0.0714285714285714,0.965866713453045,10.682853167166
"2.1.1",138.055874174779,231.902388,39359684,32.9932763735728,661677118.457031,213.706632,246.739536,37238556,56,0.0535714285714286,0.948921337048223,4.00528507563256
"3.1.1",123.040581598348,464.984454,14326999,54.9887939559547,685471625.5,437.610258,492.307896,14209143.6666667,56,0.821428571428571,0.635520403692141,1.49386289880102
"3.1.2",123.040530441028,589.452,32865534,69.6524723442093,1658542332.5,554.45661,624.12636,32610148.6666667,56,0.946428571428571,0.5555563891763,1.40824868532596
"3.1.3",123.040541937283,850.39824,25484628,124.641266300164,2767952007,788.57856,912.98874,25291819.3333333,56,0.964285714285714,0.524969640514878,1.46385762487908
"3.1.4",123.040560642196,135.00216,7588580.5,60.4876733515502,344412357.375,104.436852,165.206076,7374714.16666667,48,0.6875,0.858524926565158,1.59957406793133
"3.1.5",123.040551962962,977.95656,25217422,42.158075366232,1042194103,956.90502,999.02892,24773452,32,0.34375,0.379255339005285,1.38186091069213
"3.1.6",123.040540316429,746.0283,29835220,98.9798291207185,2432966906,696.85854,794.87676,29493298.6666667,30,0.933333333333333,0.480777592985674,1.42564761500956
"3.1.7",123.040576856572,227.360664,5749634,38.4921557691683,218371952.75,208.209666,246.739536,5677774.16666667,15,0.666666666666667,0.21413554726517,1.36626789225255
"3.1.8",123.040528503564,656.82816,30767606,45.8239949632956,1399562264,634.11942,679.54866,30455828,9,0.555555555555556,0.340620630509132,1.37738803456968
"3.1.9",123.040557830866,1023.79782,24088414,78.8172713368685,1888741428,984.38748,1063.26834,23939030,8,0.25,0.0298389203386898,1.35504585085719
"3.1.11",123.040553363128,898.32066,25422074,43.9910351647638,1080402289,876.18372,920.28642,25135633.3333333,5,0.8,0.327312479965621,1.38027868549402
"3.1.12",123.040572002216,422.094366,14326999,131.973105494291,1562353087,356.506428,487.789176,14169834.3333333,4,0.75,0.549389263185859,1.46742113343499
"3.1.13",123.040562106946,1014.6273,24088414,47.6569547618274,1142851116,990.7776,1038.45876,23898493.3333333,2,0.5,0.126018033441831,1.36069934439158
"3.1.14",123.040558375408,933.11856,24899654,53.1558341574229,1306597137,906.56886,959.64066,24650637.3333333,1,1,0.142984442781819,1.36286224733581
"4.1.1",124.100288458403,343.55277,25091288,58.6547135530184,550873410.515625,314.201964,372.950556,23689980,56,0.0892857142857143,0.983414165892731,12.0275765572033
"5.1.1",138.055036384956,148.710318,73013.1640625,108.144628113378,5001786.43457031,94.335804,202.736082,66394.8854166667,56,0.571428571428571,0.233249467282933,0.987569179600285
"5.1.2",138.055039864477,84.239868,54251.66015625,61.4041532508161,2524976.43945312,60.322902,122.223366,52653.484375,21,0.80952380952381,0.481940668007073,1.00256835447459
"5.1.3",138.055031557966,135.911778,73013.1640625,65.9865527471457,3068541.05664062,102.605376,168.860802,64201.7734375,12,0.25,0.716730630980585,1.07330175293673
"5.2.1",138.055094346513,259.6092,23245306,36.6591959706365,413900171.375,249.469266,286.098024,22099358.6666667,56,0.0892857142857143,0.938916194589744,2.4752650874951
"5.3.1",138.055065665756,378.436908,11535438,65.9865527471457,269767526.441406,346.370244,412.096806,10896335.6666667,56,0.0892857142857143,0.976850138572779,10.6835908374268
"5.4.1",138.055174683277,498.666726,2183847.25,32.9932763735728,4353038.921875,482.334582,515.43612,336882.41796875,56,0.107142857142857,0.328538052576282,2.8041455837395
"5.5.1",138.055117336481,620.47194,159918.578125,65.9865527471457,1879619.52636719,606.86124,672.2958,39373.5924479167,56,0.321428571428571,0.518510974226898,2.13723706775215
"5.5.2",138.055114380997,660.45354,39608.3671875,32.9932763735728,781269.592773438,639.55638,672.2958,33181.3899739583,3,0.666666666666667,0.603041032246053,2.22835594285999
"5.6.1",138.055098234031,820.19418,55300.8984375,79.7337512361344,2136912.30615234,784.99518,864.24876,44592.171875,56,0.339285714285714,0.716795122436356,1.46191561040192
"5.6.2",138.055094341107,846.75216,39960.265625,43.0745552654979,1060459.81982422,821.13132,864.24876,33816.7845052083,3,1,0.37045501203363,1.26772546915668
"6.1.1",132.102078810339,304.29303,5534853.5,54.9887939559547,141488486.546875,276.955452,331.69572,5426511.16666667,56,0.321428571428571,0.986325647155714,11.8372701966249
"6.1.2",132.102063613085,475.02189,21941432,51.3228743588911,467249852.375,449.472804,500.485218,21457319.3333333,56,0.107142857142857,0.971374501548564,10.4161834605794
"6.1.3",132.102101953843,821.13132,174850.125,56.8217537544866,8640179.7578125,793.083,849.48564,172446.114583333,56,0.660714285714286,0.391717887613842,2.95175395662807
"6.1.4",132.102133058439,1040.28852,162057.75,124.641266300164,16484265.3554688,974.30652,1099.08534,152357.442708333,38,0.447368421052632,0.225805144601834,2.69763816014042
"6.1.5",132.102104575422,723.27084,197838.5,131.973105494291,19875519.7226562,657.73254,788.57856,179917.5,33,0.757575757575758,0.222102707553282,2.82792882690049
"6.1.6",132.10209357266,609.57372,402266.5625,124.641266300164,18714559.8242188,546.956658,671.39034,194998.015625,24,0.875,0.495160588186431,3.09582588747857
"6.1.7",132.102087762767,187.16643,272790.875,78.8172713368685,18172836.8125,147.799446,226.4568,261157.703125,14,0.428571428571429,0.554907005250278,3.09022713943559
"6.1.8",132.102120178546,890.01852,183100.71875,45.8239949632956,6718016.484375,867.04464,912.98874,172839.697916667,13,0.538461538461538,0.445593847236165,3.0030940295191
"6.1.9",132.102073942391,122.223366,372757.5,47.6569547618274,10874419.09375,98.002158,145.975452,326473.635416667,9,0.444444444444444,0.649305343748594,3.38658367266033
"6.1.10",132.102127908107,989.86506,162057.75,49.4899145603593,6585345.8359375,965.14626,1014.6273,151155.286458333,6,0.666666666666667,0.268816073820363,2.844989526512
"6.1.11",132.10209946218,679.54866,170263.734375,49.4899145603593,7599317.0390625,655.01406,704.15238,166815.90625,3,0.666666666666667,0.0925152010319881,2.72662947139913
"6.1.12",132.10212775557,937.6788,163715.046875,34.8262361721047,4718651.39453125,920.28642,955.08006,157811.46875,1,1,0.205878281305064,2.78807058203525
"7.1.1",133.027858391796,785.89182,18727474,62.320633150082,521488997.466797,769.7229,831.1809,17567284.6666667,56,0.107142857142857,0.925853510528842,6.03181901073125
"8.1.1",121.032038061093,414.810156,12926606,45.8239949632956,227419534.269531,392.126688,437.610258,12682172,56,0.0714285714285714,0.971696508900802,11.0263816917651
"10.1.1",138.091443859539,341.7774,4189848,97.1468693221867,359799993.875,293.409474,390.30933,4014528.58333333,56,0.410714285714286,0.650513916774978,1.49222381368204
